n_estimators,max_depth,random_state,ccp_alpha,max_samples,max_features,Train score,Val score,Test score,Time
50.0,25.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,34.72
50.0,25.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,31.83
50.0,25.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,48.16
50.0,25.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,23.08
50.0,25.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,34.86
50.0,25.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,31.89
50.0,25.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,47.89
50.0,25.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,23.11
50.0,25.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,34.7
50.0,25.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,31.82
50.0,25.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,47.87
50.0,50.0,19421220.0,0.0,0.5,0.5,0.7972,0.4789,0.4413,23.19
50.0,50.0,19421220.0,0.0,0.5,0.75,0.7979,0.4658,0.448,35.11
50.0,50.0,19421220.0,0.0,0.75,0.5,0.8761,0.4735,0.4466,32.45
50.0,50.0,19421220.0,0.0,0.75,0.75,0.8748,0.4646,0.4417,49.15
50.0,50.0,19421220.0,0.0001,0.5,0.5,0.5918,0.4862,0.4527,23.2
50.0,50.0,19421220.0,0.0001,0.5,0.75,0.6036,0.4858,0.4559,35.1
50.0,50.0,19421220.0,0.0001,0.75,0.5,0.5712,0.4805,0.451,32.52
50.0,50.0,19421220.0,0.0001,0.75,0.75,0.5768,0.4794,0.4513,49.38
50.0,50.0,19421220.0,0.01,0.5,0.5,0.194,0.197,0.1945,23.37
50.0,50.0,19421220.0,0.01,0.5,0.75,0.2182,0.2222,0.2195,35.1
50.0,50.0,19421220.0,0.01,0.75,0.5,0.191,0.1944,0.1916,32.48
50.0,50.0,19421220.0,0.01,0.75,0.75,0.2153,0.2196,0.2162,49.19
50.0,50.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,23.21
50.0,50.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,35.12
50.0,50.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,32.49
50.0,50.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,49.18
50.0,50.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,23.21
50.0,50.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,35.12
50.0,50.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,32.48
50.0,50.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,49.19
50.0,50.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,23.21
50.0,50.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,35.11
50.0,50.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,32.49
50.0,50.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,49.19
50.0,100.0,19421220.0,0.0,0.5,0.5,0.7972,0.4789,0.4413,23.19
50.0,100.0,19421220.0,0.0,0.5,0.75,0.7979,0.4658,0.448,35.07
50.0,100.0,19421220.0,0.0,0.75,0.5,0.8761,0.4735,0.4466,32.45
50.0,100.0,19421220.0,0.0,0.75,0.75,0.8748,0.4646,0.4417,49.16
50.0,100.0,19421220.0,0.0001,0.5,0.5,0.5918,0.4862,0.4527,23.21
