num_iterations,max_depth,bagging_fraction,feature_fraction,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
50.0,25.0,0.25,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.13
100.0,75.0,0.75,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.15
50.0,100.0,0.25,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.09
50.0,10.0,0.25,0.25,0.242,0.0841,0.0967,0.1295,0.1424,0.1415,82876599422338.5,91022514029140.25,89676172400900.36,0.08
50.0,10.0,0.25,0.5,0.2781,0.0864,0.0947,0.1264,0.1422,0.1416,79788110887239.75,90529449462004.97,89326699095721.86,0.13
50.0,100.0,0.75,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.08
50.0,100.0,0.5,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.18
50.0,10.0,0.5,0.5,0.2781,0.0864,0.0947,0.1264,0.1422,0.1416,79788110887239.75,90529449462004.97,89326699095721.86,0.13
100.0,10.0,0.5,0.75,0.3997,0.0696,0.0959,0.1153,0.1435,0.1415,73505162029482.86,93478969290029.6,87928892031405.83,0.35
100.0,10.0,0.5,0.25,0.3295,0.0768,0.0936,0.1218,0.1429,0.1417,79043686815850.48,91991834473632.38,90958699281884.17,0.18
50.0,100.0,0.25,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.14
50.0,10.0,0.75,0.75,0.2953,0.0875,0.1042,0.1249,0.1421,0.1409,78577011631538.77,90406299093923.31,86434796372191.58,0.17
50.0,10.0,0.25,0.75,0.2953,0.0875,0.1042,0.1249,0.1421,0.1409,78577011631538.77,90406299093923.31,86434796372191.58,0.18
100.0,10.0,0.75,0.25,0.3295,0.0768,0.0936,0.1218,0.1429,0.1417,79043686815850.48,91991834473632.38,90958699281884.17,0.17
50.0,100.0,0.5,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.2
50.0,100.0,0.25,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.17
100.0,100.0,0.75,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.18
50.0,100.0,0.5,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.14
100.0,100.0,0.25,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.27
50.0,10.0,0.25,0.5,0.2781,0.0864,0.0947,0.1264,0.1422,0.1416,79788110887239.75,90529449462004.97,89326699095721.86,0.13
100.0,10.0,0.25,0.25,0.3295,0.0768,0.0936,0.1218,0.1429,0.1417,79043686815850.48,91991834473632.38,90958699281884.17,0.17
50.0,10.0,0.75,0.5,0.2781,0.0864,0.0947,0.1264,0.1422,0.1416,79788110887239.75,90529449462004.97,89326699095721.86,0.14
50.0,100.0,0.75,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.16
50.0,10.0,0.25,0.25,0.242,0.0841,0.0967,0.1295,0.1424,0.1415,82876599422338.5,91022514029140.25,89676172400900.36,0.09
50.0,10.0,0.75,0.5,0.2781,0.0864,0.0947,0.1264,0.1422,0.1416,79788110887239.75,90529449462004.97,89326699095721.86,0.14
50.0,100.0,0.75,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.2
100.0,10.0,0.75,0.75,0.3997,0.0696,0.0959,0.1153,0.1435,0.1415,73505162029482.86,93478969290029.6,87928892031405.83,0.35
100.0,10.0,0.25,0.75,0.3997,0.0696,0.0959,0.1153,0.1435,0.1415,73505162029482.86,93478969290029.6,87928892031405.83,0.35
100.0,100.0,0.5,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.16
50.0,10.0,0.25,0.75,0.2953,0.0875,0.1042,0.1249,0.1421,0.1409,78577011631538.77,90406299093923.31,86434796372191.58,0.18
50.0,10.0,0.5,0.25,0.242,0.0841,0.0967,0.1295,0.1424,0.1415,82876599422338.5,91022514029140.25,89676172400900.36,0.09
50.0,10.0,0.5,0.5,0.2781,0.0864,0.0947,0.1264,0.1422,0.1416,79788110887239.75,90529449462004.97,89326699095721.86,0.15
50.0,10.0,0.75,0.25,0.242,0.0841,0.0967,0.1295,0.1424,0.1415,82876599422338.5,91022514029140.25,89676172400900.36,0.09
50.0,100.0,0.75,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.16
50.0,10.0,0.5,0.75,0.2953,0.0875,0.1042,0.1249,0.1421,0.1409,78577011631538.77,90406299093923.31,86434796372191.58,0.2
50.0,100.0,0.5,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.11
50.0,100.0,0.75,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.08
50.0,100.0,0.5,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.09
100.0,100.0,0.25,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.19
100.0,100.0,0.75,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.35
