max_bins,interactions,learning_rate,max_rounds,min_samples_leaf,max_leaves,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
4.0,16.0,100.0,500.0,1.0,100000.0,-3620239.7225,-3654605.5605,-3631860.8068,283.0777,284.4041,283.6738,9.585399600037226e+17,9.664052533490002e+17,9.624654661171578e+17,4.22
65535.0,16.0,0.1,25.0,32.0,100.0,0.1892,0.0833,0.0548,0.134,0.1424,0.1447,95942443445245.05,100530116802829.58,102744409721093.5,10.54
4.0,2.0,100.0,25.0,1.0,100.0,-3620239.7225,-3654605.5605,-3631860.8068,283.0777,284.4041,283.6738,9.585399600037226e+17,9.664052533490002e+17,9.624654661171578e+17,2.5
4.0,2.0,0.1,500.0,32.0,100.0,0.0746,0.0806,0.0632,0.1431,0.1426,0.1441,115944713510006.4,115852096778546.72,116880925883359.75,4.12
1024.0,16.0,0.0001,25.0,1.0,100000.0,-0.0086,-0.0113,-0.0123,0.1494,0.1496,0.1498,10054543984958.39,10193158022299.85,10233313760042.49,5.07
1024.0,2.0,0.0001,25.0,32.0,100.0,-0.0145,-0.0158,-0.0163,0.1499,0.1499,0.1501,7129572380667.653,7189045734546.369,7220235036614.95,3.25
4.0,2.0,100.0,500.0,32.0,100000.0,-3620239.7225,-3654605.5605,-3631860.8068,283.0777,284.4041,283.6738,9.585399600037226e+17,9.664052533490002e+17,9.624654661171578e+17,3.31
65535.0,16.0,100.0,500.0,1.0,100000.0,-5189594.4835,-5111417.6764,-5173089.5661,338.925,336.346,338.5553,9.414029524636552e+17,9.307507710822808e+17,9.368125348699151e+17,9.47
1024.0,2.0,0.0001,500.0,32.0,100000.0,0.057,0.0273,0.0221,0.1445,0.1467,0.1472,54807136873035.79,56272930696661.45,56449843896314.0,23.82
65535.0,2.0,0.0001,25.0,1.0,100.0,-0.009,-0.0156,-0.0163,0.1494,0.1499,0.1501,6856215917931.255,7215491312112.94,7254760516491.968,9.87
