n_neighbors,weights,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
190.0,distance,1.0,0.3297,0.3265,0.0,0.206,0.2066,0.0,208638711798026.94,208528535915831.78,0.0
40.0,distance,1.0,0.3389,0.3247,0.0,0.2046,0.2069,0.0,199742307995738.56,201397032038512.62,0.0
75.0,distance,1.0,0.3395,0.332,0.0,0.2045,0.2058,0.0,202929932246281.06,203329953410633.97,0.0
145.0,uniform,0.3406,0.332,0.3277,0.2044,0.2057,0.2064,204345967054893.2,207536782878056.94,207473093127087.8,0.0
65.0,distance,1.0,0.3396,0.3297,0.0,0.2045,0.2061,0.0,202436863695153.53,203090658011386.8,0.0
5.0,uniform,0.4884,0.2418,0.2271,0.18,0.2191,0.2213,153048149181420.72,193620281411061.44,194752999902306.4,0.0
115.0,distance,1.0,0.3343,0.3301,0.0,0.2053,0.2061,0.0,206033511263954.2,205714843981124.56,0.0
15.0,uniform,0.4064,0.3166,0.3073,0.1939,0.208,0.2095,180130922663879.78,196360191053670.8,196852580148166.75,0.0
155.0,uniform,0.3393,0.3312,0.3282,0.2045,0.2058,0.2064,204792230453788.28,207827220298665.53,207714248402375.72,0.0
180.0,uniform,0.3356,0.3293,0.3262,0.2051,0.2061,0.2067,206004816542207.16,208858914670265.38,208716337343861.66,0.0
95.0,uniform,0.3489,0.3353,0.3299,0.2031,0.2052,0.2061,201036541304405.53,205290266925879.1,205051280598894.88,0.0
125.0,distance,1.0,0.3342,0.3293,0.0,0.2053,0.2062,0.0,206450541094944.34,206152131360541.4,0.0
80.0,distance,1.0,0.3388,0.3316,0.0,0.2046,0.2058,0.0,203493725017872.97,203774351277140.88,0.0
55.0,uniform,0.364,0.3351,0.3262,0.2007,0.2052,0.2067,195960213975828.56,202393527438406.6,203139006632106.47,0.0
50.0,uniform,0.3668,0.3381,0.3265,0.2002,0.2047,0.2066,194904532057124.72,201576167188119.78,202697540639061.94,0.0
175.0,uniform,0.3363,0.3296,0.3269,0.205,0.206,0.2066,205801709563766.9,208697032883620.88,208424460212908.72,0.0
30.0,uniform,0.3795,0.336,0.3191,0.1982,0.2051,0.2078,189971287305416.38,198677275134149.1,201221061627456.88,0.0
115.0,uniform,0.3455,0.3325,0.3293,0.2036,0.2056,0.2062,202549083126572.4,206640367329483.72,206171123890137.5,0.0
70.0,uniform,0.3569,0.3388,0.3312,0.2018,0.2046,0.2059,198270596106282.47,203050499519619.06,203555272384663.4,0.0
70.0,distance,1.0,0.3401,0.3315,0.0,0.2044,0.2058,0.0,202569228935899.2,203204669319003.56,0.0
165.0,distance,1.0,0.3326,0.3284,0.0,0.2056,0.2063,0.0,207534043187175.44,207550952680384.0,0.0
85.0,uniform,0.352,0.3365,0.3299,0.2026,0.205,0.2061,200085706870598.03,204496349752748.3,204601505343989.2,0.0
15.0,distance,1.0,0.3176,0.3075,0.0,0.2079,0.2095,0.0,196050904378137.0,196634901925452.75,0.0
170.0,distance,1.0,0.3322,0.3281,0.0,0.2056,0.2064,0.0,207788711664572.97,207762276213950.12,0.0
135.0,distance,1.0,0.3337,0.3288,0.0,0.2054,0.2063,0.0,206638482485137.0,206620732186245.3,0.0
80.0,uniform,0.3532,0.3375,0.3312,0.2024,0.2048,0.2059,199589862754949.28,204009105472621.94,204150314712407.22,0.0
195.0,uniform,0.3342,0.3276,0.3252,0.2053,0.2063,0.2068,206671661084679.44,209411840405359.84,209186962858028.88,0.0
25.0,uniform,0.3852,0.3346,0.3149,0.1973,0.2053,0.2084,187755028189247.25,197740293688466.62,200746962862262.6,0.0
120.0,distance,1.0,0.3338,0.3294,0.0,0.2054,0.2062,0.0,206268156831792.78,205919023106962.8,0.0
135.0,uniform,0.3423,0.3321,0.3279,0.2041,0.2057,0.2064,203750539301419.16,207225868388079.16,207105906617646.16,0.0
190.0,uniform,0.3347,0.3279,0.3254,0.2053,0.2063,0.2068,206445418958151.78,209263937050833.03,209077555450676.38,0.0
50.0,distance,1.0,0.3394,0.3271,0.0,0.2045,0.2065,0.0,201091222457395.06,202319068864645.28,0.0
100.0,distance,1.0,0.3373,0.3308,0.0,0.2048,0.206,0.0,204894006990692.88,204816485271940.38,0.0
165.0,uniform,0.3375,0.331,0.3275,0.2048,0.2058,0.2065,205330199159774.94,208113204133416.03,208058550961849.66,0.0
45.0,distance,1.0,0.3397,0.3247,0.0,0.2045,0.2069,0.0,200445718560750.25,202101277326981.78,0.0
35.0,uniform,0.3753,0.3394,0.3215,0.1989,0.2045,0.2074,191616531583347.1,199143591325527.94,201835454925208.66,0.0
110.0,uniform,0.3464,0.3332,0.3299,0.2034,0.2055,0.2061,202129243860717.88,206383463197425.22,205845063869806.28,0.0
35.0,distance,1.0,0.3403,0.3222,0.0,0.2044,0.2073,0.0,198764332734396.16,201432777134752.47,0.0
25.0,distance,1.0,0.3354,0.3157,0.0,0.2051,0.2083,0.0,197393790010150.5,200335520082192.2,0.0
60.0,uniform,0.3611,0.3367,0.328,0.2011,0.2049,0.2064,196879861891509.88,202719487508122.2,203278311626424.9,0.0
125.0,uniform,0.3437,0.3325,0.3285,0.2039,0.2056,0.2063,203180017472038.2,207060045598734.94,206623078414870.53,0.0
145.0,distance,1.0,0.3336,0.3287,0.0,0.2054,0.2063,0.0,206952285281679.3,206974880422795.12,0.0
185.0,distance,1.0,0.3304,0.3264,0.0,0.2059,0.2066,0.0,208422561304187.97,208425714251379.6,0.0
140.0,uniform,0.3415,0.3318,0.3277,0.2042,0.2057,0.2064,204030506130342.44,207370568691563.97,207292428467444.8,0.0
175.0,distance,1.0,0.3313,0.3278,0.0,0.2058,0.2064,0.0,208086782044567.6,207906231368713.9,0.0
