n_neighbors,weights,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
20.0,distance,1.0,0.3318,0.3132,0.0,0.2057,0.2086,0.0,196103531411339.84,199181774862773.28,0.0
100.0,uniform,0.3478,0.3358,0.3302,0.2032,0.2051,0.206,201446632886287.88,205457705848483.0,205227196193348.53,0.0
45.0,uniform,0.3693,0.3385,0.324,0.1998,0.2047,0.207,194035154709000.75,200904156428039.44,202485325001308.28,0.0
10.0,uniform,0.4272,0.298,0.2853,0.1905,0.2108,0.2128,173490853602665.94,195345409704556.22,196124499901618.38,0.0
200.0,distance,1.0,0.3298,0.3259,0.0,0.206,0.2067,0.0,208827911501316.1,208802648885577.06,0.0
130.0,distance,1.0,0.3344,0.3292,0.0,0.2053,0.2062,0.0,206440415141251.47,206436244088863.62,0.0
160.0,distance,1.0,0.3328,0.3286,0.0,0.2055,0.2063,0.0,207410656314518.66,207398611377291.56,0.0
90.0,distance,1.0,0.3374,0.3294,0.0,0.2048,0.2062,0.0,204328476254254.7,204639746676752.16,0.0
120.0,uniform,0.3445,0.3321,0.3286,0.2037,0.2057,0.2063,202874973425056.62,206880091039491.94,206381118723633.88,0.0
20.0,uniform,0.3922,0.3313,0.3126,0.1962,0.2058,0.2087,184811627084079.72,196360191053670.8,199578648048033.84,0.0
75.0,uniform,0.355,0.3381,0.3316,0.2021,0.2047,0.2058,198921955261811.06,203416304034514.2,203672829527461.6,0.0
150.0,uniform,0.3399,0.3317,0.3282,0.2045,0.2057,0.2064,204583067693125.72,207661472678310.2,207543507303297.72,0.0
200.0,uniform,0.3337,0.3281,0.3248,0.2054,0.2063,0.2069,206868630262338.03,209443259597130.47,209359474894979.34,0.0
195.0,distance,1.0,0.3294,0.3263,0.0,0.2061,0.2066,0.0,208786766107274.25,208638197186825.9,0.0
105.0,uniform,0.3471,0.334,0.3295,0.2033,0.2054,0.2062,201796934109673.38,205976452409566.1,205686297956786.7,0.0
55.0,distance,1.0,0.3367,0.3269,0.0,0.2049,0.2066,0.0,201875245859777.2,202752169952359.72,0.0
5.0,distance,1.0,0.2426,0.2271,0.0,0.219,0.2213,0.0,193263340059486.53,194509290513151.8,0.0
10.0,distance,1.0,0.2991,0.2858,0.0,0.2107,0.2128,0.0,195027689992209.7,195867653554383.4,0.0
130.0,uniform,0.3428,0.3328,0.3284,0.204,0.2055,0.2063,203494252669679.1,207027104234940.56,206920666562869.38,0.0
30.0,distance,1.0,0.337,0.3198,0.0,0.2049,0.2076,0.0,198287393727901.38,200825126487271.3,0.0
60.0,distance,1.0,0.3381,0.3286,0.0,0.2047,0.2063,0.0,202203274257340.47,202905521363683.5,0.0
170.0,uniform,0.3368,0.3305,0.3271,0.2049,0.2059,0.2065,205608425834240.22,208382365389651.75,208279754797481.75,0.0
90.0,uniform,0.3506,0.3359,0.3286,0.2028,0.2051,0.2063,200531295133004.3,204884354386233.3,205059004012362.97,0.0
160.0,uniform,0.3383,0.3312,0.3277,0.2047,0.2058,0.2064,205095133128242.53,207995293459612.62,207902891099413.72,0.0
155.0,distance,1.0,0.3328,0.3291,0.0,0.2055,0.2062,0.0,207246710426969.66,207213320676794.53,0.0
140.0,distance,1.0,0.3334,0.3286,0.0,0.2054,0.2063,0.0,206786589151004.62,206802447151724.44,0.0
150.0,distance,1.0,0.3333,0.3291,0.0,0.2055,0.2062,0.0,207080156822103.56,207048743154315.88,0.0
180.0,distance,1.0,0.331,0.3272,0.0,0.2058,0.2065,0.0,208246600603916.16,208178528059708.0,0.0
105.0,distance,1.0,0.3356,0.3302,0.0,0.2051,0.206,0.0,205385879558420.3,205247866893437.1,0.0
65.0,uniform,0.3594,0.3383,0.3292,0.2014,0.2047,0.2062,197515678508636.6,202940657802160.0,203450888786832.16,0.0
95.0,distance,1.0,0.3369,0.3305,0.0,0.2049,0.206,0.0,204720049926735.6,204645860132251.1,0.0
40.0,uniform,0.3716,0.3378,0.3242,0.1995,0.2048,0.207,193008302498987.94,200165621112850.5,201750189713611.22,0.0
110.0,distance,1.0,0.3349,0.3305,0.0,0.2052,0.206,0.0,205778750697722.4,205407180780656.03,0.0
85.0,distance,1.0,0.338,0.3305,0.0,0.2047,0.206,0.0,203958696188949.62,204204494951575.44,0.0
185.0,uniform,0.3354,0.3287,0.3253,0.2051,0.2062,0.2068,206204593936327.16,209039472613013.22,208975962858134.72,0.0
