n_estimators,max_depth,random_state,ccp_alpha,max_samples,max_features,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
50.0,10.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,98832879184240.58,98833110219320.17,98830527356685.39,4.57
100.0,5.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99735073913273.36,99735307057353.86,99732700617089.11,7.12
100.0,25.0,19421220.0,0.0,0.75,0.5,0.7875,0.0749,0.0694,0.0686,0.1431,0.1436,52437188767045.44,110462142452124.03,109415347295135.72,14.05
100.0,50.0,19421220.0,0.0001,0.75,0.5,0.0967,0.0901,0.0892,0.1414,0.1419,0.1421,91346120617734.83,91980530606632.34,91158022319663.95,14.76
100.0,50.0,19421220.0,0.0,0.5,0.5,0.6529,0.0782,0.0655,0.0877,0.1428,0.1439,66836104976808.195,111869495926391.08,110238122166923.67,10.21
100.0,100.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99735073913273.36,99735307057353.86,99732700617089.11,16.27
100.0,25.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99735073913273.36,99735307057353.86,99732700617089.11,15.48
50.0,25.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,98832879184240.58,98833110219320.17,98830527356685.39,7.79
50.0,100.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99365886903604.53,99366119184660.98,99363522392595.69,10.9
50.0,25.0,19421220.0,0.01,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,98832879184240.58,98833110219320.17,98830527356685.39,7.78
100.0,25.0,19421220.0,0.0001,0.5,0.5,0.1202,0.0947,0.0925,0.1396,0.1416,0.1418,89442301075403.58,90828291984000.9,90114035621741.73,10.22
50.0,50.0,19421220.0,0.0,0.75,0.5,0.7796,0.0602,0.0627,0.0698,0.1442,0.1441,51975412710629.28,110134219819405.16,108521207352970.11,6.98
50.0,5.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99365886903604.53,99366119184660.98,99363522392595.69,3.12
50.0,100.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,98832879184240.58,98833110219320.17,98830527356685.39,7.74
100.0,10.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99735073913273.36,99735307057353.86,99732700617089.11,13.48
100.0,10.0,19421220.0,0.01,0.5,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99735073913273.36,99735307057353.86,99732700617089.11,8.94
50.0,25.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99365886903604.53,99366119184660.98,99363522392595.69,10.89
100.0,25.0,19421220.0,0.0,0.5,0.5,0.6526,0.0775,0.066,0.0877,0.1429,0.1439,66880123779101.35,111889778603622.64,110160469140186.56,10.15
100.0,5.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99821225229030.02,99821458574500.75,99818849882788.75,9.32
50.0,25.0,19421220.0,0.01,0.5,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,98832879184240.58,98833110219320.17,98830527356685.39,5.14
100.0,10.0,19421220.0,0.0001,0.5,0.75,0.1294,0.0966,0.0899,0.1388,0.1414,0.142,88446404885275.0,90649638174020.86,89877918423991.58,13.51
50.0,10.0,19421220.0,0.0,0.75,0.5,0.4519,0.0865,0.0781,0.1102,0.1422,0.1429,68644886935420.414,94422115699217.77,91794253549013.34,5.99
100.0,5.0,19421220.0,0.0001,0.75,0.75,0.0954,0.0903,0.0879,0.1415,0.1419,0.1422,91291446209250.05,91937624755533.19,91098321197592.95,9.33
50.0,25.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,98832879184240.58,98833110219320.17,98830527356685.39,5.13
50.0,5.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,98832879184240.58,98833110219320.17,98830527356685.39,2.39
50.0,50.0,19421220.0,0.0001,0.5,0.5,0.1204,0.091,0.0938,0.1395,0.1418,0.1417,88393729807161.53,89918354611771.58,89203663886655.52,5.14
100.0,10.0,19421220.0,0.0,0.5,0.75,0.414,0.0985,0.0852,0.1139,0.1413,0.1424,74254366061603.97,95379062590676.19,95426494092161.38,13.48
50.0,50.0,19421220.0,0.01,0.75,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99365886903604.53,99366119184660.98,99363522392595.69,10.94
100.0,50.0,19421220.0,0.0,0.75,0.5,0.7878,0.0747,0.0683,0.0685,0.1431,0.1437,52456545583589.36,110712645188400.45,109542212908013.48,15.29
100.0,5.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99735073913273.36,99735307057353.86,99732700617089.11,7.21
100.0,100.0,19421220.0,0.0,0.75,0.75,0.7861,0.0762,0.0502,0.0688,0.143,0.1451,52997547931691.53,110337176089228.06,110136529574382.05,21.6
100.0,10.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99735073913273.36,99735307057353.86,99732700617089.11,13.54
50.0,100.0,19421220.0,0.0001,0.75,0.75,0.0997,0.0905,0.0885,0.1412,0.1419,0.1421,90492649183009.23,91167093769595.8,90585391769625.06,10.92
100.0,5.0,19421220.0,0.01,0.5,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99735073913273.36,99735307057353.86,99732700617089.11,4.83
50.0,50.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99365886903604.53,99366119184660.98,99363522392595.69,11.0
100.0,25.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99821225229030.02,99821458574500.75,99818849882788.75,21.84
100.0,100.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99821225229030.02,99821458574500.75,99818849882788.75,14.26
50.0,10.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99365886903604.53,99366119184660.98,99363522392595.69,9.07
50.0,50.0,19421220.0,0.0001,0.75,0.75,0.0997,0.0905,0.0885,0.1412,0.1419,0.1421,90492649183009.23,91167093769595.8,90585391769625.06,10.89
50.0,50.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,98832879184240.58,98833110219320.17,98830527356685.39,5.15
100.0,25.0,19421220.0,0.0001,0.75,0.75,0.0996,0.0907,0.0882,0.1412,0.1419,0.1421,90934882318117.42,91867471639405.17,90975249598344.81,21.74
50.0,100.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99365886903604.53,99366119184660.98,99363522392595.69,10.91
100.0,50.0,19421220.0,0.0,0.5,0.75,0.6507,0.0797,0.0589,0.0879,0.1427,0.1444,68442783982439.6,111813682952189.78,111716294388404.4,15.4
100.0,50.0,19421220.0,0.01,0.75,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99821225229030.02,99821458574500.75,99818849882788.75,21.85
50.0,5.0,19421220.0,0.01,0.75,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99365886903604.53,99366119184660.98,99363522392595.69,4.64
100.0,5.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99735073913273.36,99735307057353.86,99732700617089.11,7.15
100.0,25.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99735073913273.36,99735307057353.86,99732700617089.11,10.3
50.0,5.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,98832879184240.58,98833110219320.17,98830527356685.39,3.57
100.0,100.0,19421220.0,0.0001,0.5,0.5,0.1201,0.0947,0.0925,0.1396,0.1415,0.1418,89425322594578.17,90784314645383.53,90092216560631.84,10.28
100.0,100.0,19421220.0,0.01,0.75,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99821225229030.02,99821458574500.75,99818849882788.75,14.28
50.0,25.0,19421220.0,0.0,0.75,0.75,0.776,0.0608,0.0416,0.0704,0.1442,0.1457,52995345524451.24,108433665755657.55,108854439766167.83,10.84
50.0,10.0,19421220.0,0.0001,0.5,0.5,0.1156,0.0893,0.0946,0.1399,0.142,0.1416,88825931233019.42,90265667464034.92,89821704817028.61,4.46
100.0,50.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99735073913273.36,99735307057353.86,99732700617089.11,15.42
50.0,100.0,19421220.0,0.0,0.75,0.75,0.7761,0.0633,0.042,0.0704,0.144,0.1457,52905022379199.21,108074213680702.56,108592322167749.23,10.85
100.0,25.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99821225229030.02,99821458574500.75,99818849882788.75,14.32
50.0,5.0,19421220.0,0.01,0.5,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,98832879184240.58,98833110219320.17,98830527356685.39,2.44
100.0,100.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99735073913273.36,99735307057353.86,99732700617089.11,10.49
100.0,25.0,19421220.0,0.0001,0.75,0.5,0.0965,0.0901,0.0892,0.1414,0.1419,0.1421,91363864311400.38,91987558634511.45,91160592385612.86,14.29
