gamma,subsample,colsample_bytree,max_depth,eta,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
1.0,0.25,0.5,10.0,0.9,0.2308,0.0335,0.0161,0.1305,0.1463,0.1476,88387947782556.86,102381117338846.0,100586092194680.44,7.41
0.0,0.75,0.5,50.0,0.9,0.9998,-0.0263,-0.0354,0.0021,0.1507,0.1515,2235823435098.927,130545169197056.95,133540921512208.6,33.52
100.0,0.75,0.75,5.0,0.15,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99561490463338.05,99561723201644.02,99559121297746.2,4.62
0.0001,0.25,0.75,100.0,0.6,0.9255,-0.1515,-0.1323,0.0406,0.1596,0.1584,58603985760960.586,185248767493402.88,183061034297160.6,47.21
0.0001,0.5,0.25,50.0,0.3,0.993,-0.0315,-0.0402,0.0124,0.1511,0.1518,19645347352765.984,153693778333225.3,152217096554458.6,18.87
0.0,0.75,0.75,50.0,0.75,0.9998,-0.0364,-0.0609,0.002,0.1515,0.1533,2027447413217.891,128393905209063.44,133711792109501.98,49.78
0.0,0.25,0.25,5.0,0.75,0.1851,0.0485,0.0231,0.1343,0.1451,0.1471,93090320899556.06,101481882876490.1,102864834225704.34,2.68
0.0001,0.75,0.75,100.0,0.3,0.9996,-0.0328,-0.058,0.0031,0.1512,0.1531,6392490140883.344,129155510883634.92,132103685124322.4,50.56
0.0001,0.5,0.25,5.0,0.9,0.2096,0.0616,0.0201,0.1323,0.1441,0.1473,88742392481263.5,97971261588098.4,101244526067904.22,3.14
100.0,0.25,0.75,25.0,0.3,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,14.69
1.0,0.5,0.25,100.0,0.75,0.2543,0.0519,0.0362,0.1285,0.1449,0.1461,85565323178691.0,98611610588031.28,98090722796079.95,16.31
0.0001,0.75,0.25,5.0,0.45,0.2188,0.0648,0.0454,0.1315,0.1439,0.1454,87461773015587.16,95773443993642.48,97440606168080.42,2.83
0.01,0.75,0.75,100.0,0.45,0.9866,-0.026,-0.0473,0.0172,0.1507,0.1523,27660715202193.742,126950006481423.95,128831900291366.78,61.88
0.0,0.5,0.75,10.0,0.75,0.8043,-0.0163,-0.0572,0.0658,0.15,0.153,55721474350727.2,122078391422269.06,126127456519592.84,11.99
0.0,0.75,0.5,10.0,0.45,0.8488,-0.0053,-0.0252,0.0579,0.1492,0.1507,44492912221325.89,117675875911440.95,122160002415564.52,8.52
100.0,0.25,0.5,100.0,0.3,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,11.62
100.0,0.5,0.25,10.0,0.6,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,5.74
1.0,0.75,0.75,25.0,0.15,0.4652,0.0257,0.0109,0.1088,0.1468,0.148,71518724078282.67,99900620394202.52,102475654270184.16,30.4
100.0,0.5,0.75,50.0,0.45,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,22.7
0.0,0.75,0.25,50.0,0.6,0.9994,-0.001,-0.0104,0.0035,0.1488,0.1496,3642299473885.3496,130947581617800.4,132728720612956.56,17.41
0.0001,0.25,0.5,25.0,0.75,0.9171,-0.1441,-0.1422,0.0428,0.1591,0.1591,66802346815967.664,185750540832444.97,189432087344147.2,21.33
0.01,0.5,0.5,50.0,0.6,0.9744,-0.0798,-0.0718,0.0238,0.1546,0.1541,50030020042124.52,146448878818477.97,145642258366419.66,35.48
0.01,0.25,0.75,25.0,0.15,0.8972,-0.1431,-0.1382,0.0477,0.1591,0.1588,89552930641572.75,180439083965825.3,182088011887491.03,28.7
100.0,0.25,0.25,100.0,0.15,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,7.7
100.0,0.25,0.25,50.0,0.9,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,7.7
1.0,0.25,0.75,5.0,0.15,0.1367,0.0606,0.0316,0.1382,0.1442,0.1465,90526747466021.52,95305212808006.98,95952681787608.23,4.16
100.0,0.5,0.25,50.0,0.3,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,9.9
0.0001,0.75,0.75,50.0,0.15,0.9996,-0.0325,-0.0586,0.0031,0.1512,0.1532,6390452936824.584,129081322624218.3,132229249184746.56,49.41
100.0,0.25,0.5,5.0,0.3,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,3.48
1.0,0.25,0.25,5.0,0.15,0.0926,0.0669,0.0479,0.1417,0.1437,0.1452,92863606115797.52,94832047517996.9,94851332500233.56,2.6
100.0,0.25,0.5,50.0,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,11.69
1.0,0.25,0.75,50.0,0.9,0.3218,-0.0087,-0.0361,0.1225,0.1494,0.1515,96232597423187.28,113682482619014.08,116717087498888.66,38.82
0.01,0.25,0.5,10.0,0.3,0.6537,-0.0973,-0.0787,0.0876,0.1558,0.1546,90645396086801.62,142590074016159.3,142165363382163.44,7.64
0.01,0.75,0.5,100.0,0.75,0.9856,-0.0243,-0.0309,0.0178,0.1506,0.1511,28770681652301.69,128165926387675.12,131701045292458.22,37.83
0.0001,0.5,0.5,5.0,0.9,0.2493,0.0545,0.0318,0.1289,0.1447,0.1465,85209883926392.78,95824285369604.77,97917832695814.5,4.18
0.0,0.5,0.25,5.0,0.45,0.2096,0.0616,0.0201,0.1323,0.1441,0.1473,88742362343669.11,97971199076146.22,101244447998783.6,3.04
1.0,0.25,0.25,5.0,0.45,0.0926,0.0669,0.0479,0.1417,0.1437,0.1452,92863606115797.52,94832047517996.9,94851332500233.56,2.57
100.0,0.5,0.5,25.0,0.6,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,15.57
100.0,0.25,0.25,100.0,0.9,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,7.67
100.0,0.75,0.25,10.0,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99561490463338.05,99561723201644.02,99559121297746.2,5.51
0.01,0.5,0.75,100.0,0.75,0.9765,-0.0652,-0.0776,0.0228,0.1535,0.1545,47342280945927.05,143100913236502.38,147548801330979.16,59.16
0.0,0.5,0.5,50.0,0.3,0.9964,-0.0609,-0.0741,0.0089,0.1532,0.1543,10728209819684.385,148008264400836.94,151547731142317.38,35.55
100.0,0.5,0.75,50.0,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,20.67
100.0,0.25,0.5,25.0,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,11.51
0.01,0.5,0.5,100.0,0.45,0.9744,-0.0798,-0.0716,0.0238,0.1546,0.1541,50087696971264.61,146398728279730.8,145608554956677.56,38.12
1.0,0.25,0.5,10.0,0.45,0.2308,0.0335,0.0161,0.1305,0.1463,0.1476,88387947782556.86,102381117338846.0,100586092194680.44,7.32
100.0,0.25,0.25,5.0,0.45,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,2.6
0.0001,0.5,0.25,100.0,0.9,0.993,-0.0295,-0.0422,0.0124,0.151,0.152,19615354798377.4,153370423102950.84,152075361740520.5,18.61
0.0,0.75,0.5,25.0,0.45,0.9996,-0.0335,-0.0264,0.0028,0.1512,0.1508,3406862691882.4346,131847720038671.4,132745816297075.6,23.82
0.0001,0.5,0.25,5.0,0.6,0.2096,0.0616,0.0201,0.1323,0.1441,0.1473,88742392481263.5,97971261588098.4,101244526067904.22,3.09
0.0,0.25,0.25,5.0,0.3,0.1851,0.0485,0.0231,0.1343,0.1451,0.1471,93090320899556.06,101481882876490.1,102864834225704.34,2.64
0.01,0.5,0.5,10.0,0.75,0.7988,-0.0405,-0.0528,0.0667,0.1517,0.1527,63040036635042.98,127837385009189.86,128446430912554.52,9.05
1.0,0.75,0.25,100.0,0.15,0.3005,0.0537,0.036,0.1244,0.1447,0.1461,82643364586800.83,97968410051113.8,98823105672011.62,17.07
1.0,0.25,0.5,50.0,0.45,0.2947,0.0158,-0.0105,0.125,0.1476,0.1496,91155831517527.48,108102113019000.48,108974137815436.42,25.72
0.0,0.25,0.5,25.0,0.6,0.9176,-0.1468,-0.1527,0.0427,0.1593,0.1598,66254839243913.29,185744976195080.1,188755913341882.0,19.47
0.0001,0.25,0.75,50.0,0.9,0.9254,-0.1558,-0.1307,0.0406,0.1599,0.1583,58876132484908.086,187458021327423.9,183873847895950.8,43.29
1.0,0.25,0.75,5.0,0.75,0.1367,0.0606,0.0316,0.1382,0.1442,0.1465,90526747466021.52,95305212808006.98,95952681787608.23,4.16
100.0,0.5,0.5,50.0,0.15,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,15.46
100.0,0.25,0.5,10.0,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,7.61
0.0,0.25,0.25,50.0,0.75,0.9065,-0.1074,-0.1284,0.0455,0.1566,0.1581,67149503819372.57,197001946648134.84,195593164143254.03,16.8
1.0,0.75,0.75,5.0,0.3,0.1538,0.0674,0.0482,0.1369,0.1437,0.1452,88440034236597.05,93433489794991.72,93214408245233.23,4.57
1.0,0.5,0.5,25.0,0.45,0.3828,0.0316,0.0123,0.1169,0.1464,0.1479,79291075183865.98,100670287146806.84,104542138654721.88,22.06
1.0,0.5,0.25,10.0,0.3,0.1838,0.0665,0.045,0.1344,0.1437,0.1455,87730313797451.25,95206060550189.23,96305497382910.2,5.6
1.0,0.5,0.5,25.0,0.75,0.3828,0.0316,0.0123,0.1169,0.1464,0.1479,79291075183865.98,100670287146806.84,104542138654721.88,22.1
100.0,0.25,0.5,10.0,0.45,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,7.51
1.0,0.5,0.75,50.0,0.15,0.4391,0.0171,-0.0031,0.1114,0.1475,0.1491,77340694154231.53,102495504488262.52,104650006941839.23,46.56
0.0001,0.5,0.75,50.0,0.6,0.9962,-0.0728,-0.085,0.0091,0.1541,0.155,14137550726927.574,148130389952295.12,148825588478710.6,53.13
100.0,0.5,0.75,25.0,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,20.56
1.0,0.75,0.25,5.0,0.6,0.0977,0.0754,0.0511,0.1413,0.143,0.145,91601675695840.77,92940369431743.52,93374403860955.42,2.72
0.01,0.5,0.5,50.0,0.3,0.9744,-0.0798,-0.0718,0.0238,0.1546,0.1541,50030020042124.52,146448878818477.97,145642258366419.66,35.12
1.0,0.5,0.5,50.0,0.9,0.3884,0.0312,0.0121,0.1164,0.1464,0.1479,79044092900314.19,101724775304656.72,104666447129948.6,32.89
100.0,0.25,0.75,50.0,0.6,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,14.63
100.0,0.5,0.25,100.0,0.9,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,9.78
0.0,0.75,0.25,25.0,0.15,0.9993,-0.0096,-0.0222,0.004,0.1495,0.1505,4685710384928.85,134054939285569.56,133263338405023.2,13.94
0.01,0.5,0.25,50.0,0.45,0.9665,-0.0223,-0.0543,0.0272,0.1504,0.1528,57863168492228.85,150124981976526.84,151325439426323.47,18.26
0.01,0.5,0.25,5.0,0.15,0.2107,0.0593,0.0264,0.1322,0.1443,0.1469,89090479088337.75,98130231206334.72,101018776360674.06,3.02
100.0,0.75,0.25,50.0,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99561490463338.05,99561723201644.02,99559121297746.2,10.37
100.0,0.75,0.25,50.0,0.15,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99561490463338.05,99561723201644.02,99559121297746.2,10.37
1.0,0.75,0.25,25.0,0.3,0.3005,0.0537,0.036,0.1244,0.1447,0.1461,82643364586800.83,97968410051113.8,98823105672011.62,12.92
0.0001,0.5,0.75,10.0,0.45,0.7985,-0.0104,-0.0581,0.0668,0.1495,0.1531,56390136706756.24,120416945869030.77,123941012096221.56,11.77
100.0,0.25,0.5,100.0,0.45,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,12.87
100.0,0.5,0.25,25.0,0.3,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,9.71
100.0,0.5,0.5,25.0,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,15.55
1.0,0.25,0.25,10.0,0.6,0.1636,0.0527,0.0321,0.1361,0.1448,0.1464,89789322584184.61,98894123572350.94,98114498817154.56,4.75
