n_estimators,eta,max_depth,l2_leaf_reg,colsample_bylevel,subsample,max_bin,random_seed,boosting_type,max_ctr_complexity,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,silent
200,1.0,2,0.3,0.75,0.25,1024,19260817,Plain,1.0,0.2995,-0.0099,0.0068,0.1245,0.1495,0.1483,101371321122263.0,119253923888649.0,115734607768170.0,1.31,
200,1.0,16,0.3,0.25,0.75,4,19260817,Plain,1.0,0.9553,-0.5851,-0.5763,0.0314,0.1873,0.1869,4964105013498.54,248154914966955.0,242748942960191.0,22.89,
25,0.0001,2,0.3,0.75,0.25,4,19260817,Plain,1.0,0.0003,0.0003,0.0002,0.1488,0.1488,0.1488,99673191318839.5,99673198603054.7,99673782587067.9,0.19,
25,0.0001,16,0.3,0.25,0.25,4,19260817,Plain,1.0,0.0012,0.0004,0.0004,0.1487,0.1487,0.1488,99619124904525.2,99649773730061.9,99647771225296.9,2.62,
200,1.0,16,0.9,0.25,0.75,4,19260817,Plain,1.0,0.9553,-0.3816,-0.4791,0.0315,0.1749,0.181,5432376058305.85,224922058933791.0,233612661504062.0,23.26,
200,1.0,2,0.9,0.75,0.25,1024,19260817,Plain,1.0,0.3055,0.0266,-0.0037,0.124,0.1468,0.1491,105248896266045.0,119155959942006.0,124690117002924.0,1.35,
25,0.0001,2,0.9,0.25,0.25,4,19260817,Plain,1.0,0.0002,0.0002,0.0002,0.1488,0.1488,0.1488,99673822964187.7,99673949159737.8,99672604325233.5,0.17,
200,1.0,2,0.3,0.25,0.25,4,19260817,Plain,1.0,0.1015,0.0848,0.0855,0.141,0.1423,0.1424,123888994417628.0,123787714044225.0,123125730988137.0,0.72,
200,0.0001,16,0.9,0.75,0.25,1024,19260817,Plain,1.0,0.0105,0.003,0.0031,0.148,0.1485,0.1486,98898466529594.2,99085631608392.3,99057400300330.8,6658.39,
25,1.0,2,0.9,0.75,0.25,1024,19260817,Plain,1.0,0.1516,0.0853,0.0932,0.137,0.1423,0.1417,99366401520319.9,102840588500549.0,102588854346978.0,0.41,
200,1.0,16,0.3,0.25,0.75,1024,19260817,Plain,1.0,1.0,-0.3503,-0.2962,0.0,0.1729,0.1695,31711219794.3039,197883861222922.0,196819069102252.0,2296.08,
25,1.0,2,0.9,0.25,0.25,1024,19260817,Plain,1.0,0.1365,0.0992,0.1236,0.1383,0.1412,0.1394,101854611901632.0,102507339935769.0,100113623718069.0,0.38,
25,0.0001,16,0.9,0.25,0.75,4,19260817,Plain,1.0,0.001,0.0004,0.0004,0.1487,0.1487,0.1488,99621259151824.3,99645280670650.6,99642194298323.7,2.88,
25,1.0,2,0.3,0.25,0.25,4,19260817,Plain,1.0,0.0811,0.079,0.0791,0.1426,0.1428,0.1428,116539987819127.0,116118005994080.0,115473185633778.0,0.17,
25,1.0,2,0.3,0.75,0.25,4,19260817,Plain,1.0,0.087,0.0859,0.0814,0.1422,0.1422,0.1427,113397143050581.0,111901253655828.0,112788891881336.0,0.19,
25,1.0,2,0.3,0.75,0.75,4,19260817,Plain,1.0,0.0887,0.0855,0.0833,0.142,0.1423,0.1425,112544761205810.0,110775250658180.0,112364739274788.0,0.23,
200,0.0001,2,0.9,0.75,0.75,1024,19260817,Plain,1.0,0.0032,0.0032,0.0032,0.1485,0.1485,0.1486,99523158516238.3,99531956299334.1,99530099639048.7,4.25,
25,0.0001,2,0.3,0.75,0.75,4,19260817,Plain,1.0,0.0003,0.0003,0.0002,0.1488,0.1488,0.1488,99673051051909.8,99673005457293.0,99673859469887.9,0.57,
200,0.0001,2,0.3,0.75,0.25,4,19260817,Plain,1.0,0.002,0.002,0.0019,0.1486,0.1486,0.1487,99584245976846.7,99586841554394.1,99608324566830.4,1.62,
25,1.0,16,0.9,0.25,0.75,1024,19260817,Plain,1.0,0.9605,-0.1983,-0.1821,0.0296,0.1629,0.1618,58887786982143.7,171959338813250.0,173263836414913.0,290.2,
200,1.0,2,0.3,0.75,0.75,4,19260817,Plain,1.0,0.1069,0.0867,0.0826,0.1406,0.1422,0.1426,122459516505131.0,121909513079561.0,123048927535771.0,1.11,
200,0.0001,16,0.3,0.25,0.75,1024,19260817,Plain,1.0,0.0127,0.0033,0.0034,0.1478,0.1485,0.1486,98939576433771.1,99177256733496.9,99154429862107.8,2300.38,
200,0.0001,2,0.3,0.75,0.75,1024,19260817,Plain,1.0,0.0032,0.0032,0.0032,0.1485,0.1485,0.1486,99523566987653.6,99532334214550.5,99530693485156.9,1.56,
25,0.0001,2,0.9,0.75,0.25,1024,19260817,Plain,1.0,0.0004,0.0004,0.0004,0.1487,0.1487,0.1488,99665546182967.2,99666981079093.5,99664487232599.4,0.31,
25,0.0001,2,0.3,0.25,0.75,4,19260817,Plain,1.0,0.0002,0.0002,0.0002,0.1488,0.1488,0.1488,99673890004443.2,99673606709442.9,99672231075548.8,0.2,
200,0.0001,2,0.9,0.75,0.25,1024,19260817,Plain,1.0,0.0032,0.0032,0.0032,0.1485,0.1485,0.1486,99523225706720.0,99532356860253.4,99529191054933.1,1.34,
200,1.0,2,0.3,0.25,0.75,4,19260817,Plain,1.0,0.1025,0.0838,0.0833,0.1409,0.1424,0.1425,123722057771247.0,123204581638146.0,124357814106593.0,0.91,
25,1.0,2,0.3,0.75,0.75,1024,19260817,Plain,1.0,0.1623,0.0732,0.071,0.1362,0.1432,0.1435,96216980645196.0,100098277365828.0,100927847062405.0,0.34,
200,1.0,2,0.9,0.75,0.75,1024,19260817,Plain,1.0,0.3269,-0.0023,-0.0243,0.1221,0.1489,0.1506,99341072109873.2,117962078034914.0,119239771429840.0,1.61,
200,0.0001,2,0.3,0.25,0.75,4,19260817,Plain,1.0,0.0018,0.0019,0.0018,0.1486,0.1486,0.1487,99592949129908.8,99588739410784.6,99593307252283.7,0.84,
25,1.0,16,0.3,0.75,0.25,1024,19260817,Plain,1.0,0.9703,-0.2574,-0.2772,0.0256,0.1668,0.1682,50512797718707.3,169459491894113.0,177600848516482.0,822.14,
25,0.0001,16,0.3,0.75,0.25,4,19260817,Plain,1.0,0.0014,0.0004,0.0004,0.1487,0.1487,0.1488,99610180631412.7,99644220652547.5,99645096208606.5,3.97,
25,1.0,16,0.3,0.25,0.75,1024,19260817,Plain,1.0,0.9769,-0.3412,-0.2869,0.0226,0.1723,0.1689,47952424110875.2,187137126023593.0,185170959680858.0,295.58,
25,0.0001,16,0.9,0.75,0.25,1024,19260817,Plain,1.0,0.0013,0.0004,0.0004,0.1487,0.1487,0.1488,99586140605754.9,99611829060925.5,99603050105546.2,836.99,
200,1.0,16,0.3,0.25,0.25,1024,19260817,Plain,1.0,1.0,-0.3606,-0.3216,0.0,0.1735,0.1711,94744789149.0258,204925004068771.0,205071290712480.0,2306.06,
25,0.0001,16,0.3,0.25,0.75,4,19260817,Plain,1.0,0.0012,0.0004,0.0004,0.1487,0.1487,0.1488,99618993932231.5,99650222371130.8,99647598840723.1,2.97,
25,0.0001,16,0.9,0.75,0.75,4,19260817,Plain,1.0,0.0011,0.0004,0.0004,0.1487,0.1487,0.1488,99615212287885.6,99640446834126.8,99641105698003.8,4.32,
25,1.0,2,0.9,0.75,0.25,4,19260817,Plain,1.0,0.087,0.0859,0.0814,0.1422,0.1422,0.1427,113391292260352.0,111895150014392.0,112783004312125.0,0.21,
200,0.0001,2,0.9,0.75,0.25,4,19260817,Plain,1.0,0.002,0.002,0.0019,0.1486,0.1486,0.1487,99584146037038.9,99586742696888.0,99608221414331.4,0.82,
200,0.0001,16,0.9,0.25,0.75,4,19260817,Plain,1.0,0.0081,0.0028,0.0029,0.1482,0.1486,0.1486,99184621891768.0,99371290942875.0,99371312572549.1,23.06,
200,0.0001,16,0.3,0.25,0.25,1024,19260817,Plain,1.0,0.0127,0.0032,0.0033,0.1478,0.1485,0.1486,98932623756529.8,99166248021363.0,99143854324446.9,2315.98,
25,1.0,2,0.3,0.75,0.25,1024,19260817,Plain,1.0,0.1532,0.0948,0.1066,0.1369,0.1415,0.1407,93395609090954.6,96194845579477.5,95643121345407.6,0.35,
25,1.0,2,0.3,0.25,0.75,4,19260817,Plain,1.0,0.0835,0.0797,0.0818,0.1424,0.1427,0.1426,114808380161888.0,113269451911021.0,114512952098025.0,0.21,
200,1.0,16,0.9,0.75,0.25,1024,19260817,Plain,1.0,1.0,-0.2114,-0.2305,0.0001,0.1637,0.1651,159013224635.881,188786434626200.0,187694924437357.0,6750.45,
25,0.0001,2,0.3,0.25,0.25,1024,19260817,Plain,1.0,0.0003,0.0003,0.0003,0.1488,0.1487,0.1488,99668978336883.8,99669076039695.2,99667560486463.5,0.33,
200,0.0001,16,0.3,0.75,0.25,1024,19260817,Plain,,0.0131,0.0033,0.0034,0.1478,0.1485,0.1486,98912672344758.66,99164101847961.92,99131340764275.34,7429.02,True
200,1.0,16,0.3,0.25,0.25,4,19260817,Plain,,0.9553,-0.5738,-0.6585,0.0314,0.1866,0.1917,5089155981222.621,254449628597409.7,258115684519595.3,24.19,True
200,1.0,2,0.3,0.75,0.75,1024,19260817,Plain,,0.3307,-0.0139,-0.0279,0.1217,0.1498,0.1509,99479555760081.48,121471152792053.95,120769370483956.7,1.59,True
200,1.0,16,0.9,0.25,0.75,1024,19260817,Plain,,1.0,-0.2115,-0.1885,0.0,0.1637,0.1623,135692421170.4026,187861383172992.62,187578783089069.38,2516.3,True
200,0.0001,2,0.3,0.75,0.25,1024,19260817,Plain,,0.0032,0.0032,0.0032,0.1485,0.1485,0.1486,99523667757010.4,99532857293368.88,99529669280452.92,1.38,True
25,0.0001,16,0.3,0.75,0.75,4,19260817,Plain,,0.0013,0.0004,0.0004,0.1487,0.1487,0.1488,99613461038471.8,99647735861689.28,99648883342052.58,5.07,True
200,1.0,2,0.9,0.75,0.25,4,19260817,Plain,,0.1061,0.0855,0.0822,0.1407,0.1423,0.1426,122754041179643.58,121776183799173.22,123208212654896.44,0.81,True
200,0.0001,16,0.9,0.75,0.25,4,19260817,Plain,,0.0088,0.0028,0.0028,0.1481,0.1486,0.1486,99124915206254.94,99328316267319.3,99343104082846.9,33.95,True
25,1.0,16,0.3,0.25,0.25,4,19260817,Plain,,0.8953,-0.4993,-0.5393,0.0481,0.1822,0.1847,53965048713141.4,242221515875465.4,245854348911763.5,3.28,True
200,1.0,16,0.9,0.75,0.75,1024,19260817,Plain,,1.0,-0.2279,-0.1716,0.0,0.1649,0.1611,98394386330.6229,182001337159653.25,180686937827118.9,7405.19,True
25,0.0001,2,0.9,0.25,0.75,1024,19260817,Plain,,0.0003,0.0003,0.0003,0.1488,0.1487,0.1488,99668943935108.06,99669105306962.58,99667574969678.69,0.3,True
25,0.0001,16,0.9,0.25,0.75,1024,19260817,Plain,,0.0013,0.0004,0.0004,0.1487,0.1487,0.1488,99587177565566.92,99608944059540.02,99603561317463.2,316.95,True
200,1.0,16,0.3,0.75,0.75,4,19260817,Plain,,0.9553,-0.5528,-0.5251,0.0314,0.1854,0.1838,4606289348413.608,232837934432799.3,234973447886641.6,38.53,True
200,1.0,2,0.3,0.75,0.25,4,19260817,Plain,,0.1057,0.0866,0.0823,0.1407,0.1422,0.1426,123573605639732.36,122227879040466.08,123488083902353.16,0.82,True
25,0.0001,16,0.3,0.25,0.75,1024,19260817,Plain,,0.0016,0.0004,0.0004,0.1487,0.1487,0.1488,99591318038194.14,99619433501184.5,99616153751157.0,324.23,True
200,1.0,2,0.9,0.25,0.25,1024,19260817,Plain,,0.282,0.0481,0.0387,0.1261,0.1451,0.1459,107068578650295.16,117091615877964.28,118940268453375.72,0.94,True
200,1.0,2,0.9,0.25,0.75,4,19260817,Plain,,0.1026,0.0847,0.0853,0.1409,0.1423,0.1424,123593236767994.48,122097255039980.62,123377232636961.08,0.91,True
25,1.0,16,0.9,0.75,0.25,1024,19260817,Plain,,0.9482,-0.1893,-0.2076,0.0339,0.1622,0.1636,63881365380984.95,168910504359036.62,168204699312395.88,926.48,True
200,0.0001,2,0.9,0.25,0.75,4,19260817,Plain,,0.0018,0.0019,0.0018,0.1486,0.1486,0.1487,99592852044854.64,99588643777105.44,99593209799015.2,0.87,True
200,1.0,2,0.9,0.25,0.25,4,19260817,Plain,,0.102,0.0843,0.085,0.141,0.1424,0.1424,122723358525653.5,122700432677273.02,121919435502427.34,0.75,True
200,1.0,16,0.9,0.75,0.25,4,19260817,Plain,,0.9553,-0.3463,-0.4351,0.0314,0.1726,0.1783,5120407947243.482,223024187761873.3,226546901190493.2,32.88,True
200,0.0001,2,0.3,0.25,0.25,1024,19260817,Plain,,0.0026,0.0026,0.0026,0.1486,0.1486,0.1487,99555007406576.06,99556923664746.72,99554760447262.28,0.92,True
25,0.0001,2,0.9,0.75,0.75,1024,19260817,Plain,,0.0004,0.0004,0.0004,0.1487,0.1487,0.1488,99665525891055.3,99667051610585.8,99664980882032.52,0.34,True
200,0.0001,2,0.9,0.75,0.75,4,19260817,Plain,,0.002,0.0021,0.002,0.1486,0.1486,0.1487,99583541550921.56,99585957661433.7,99609805388431.52,1.04,True
200,1.0,2,0.9,0.25,0.75,1024,19260817,Plain,,0.3,-0.0082,0.0545,0.1245,0.1494,0.1447,106381047773071.36,120082307370290.16,120914194023111.9,1.12,True
25,1.0,2,0.9,0.25,0.25,4,19260817,Plain,,0.0811,0.079,0.0791,0.1426,0.1428,0.1428,116534905477141.77,116112659291261.84,115468083401576.69,0.19,True
25,1.0,16,0.9,0.75,0.75,1024,19260817,Plain,,0.9615,-0.2098,-0.1587,0.0292,0.1636,0.1602,57210927704995.25,168034334407966.06,168299290547323.72,930.96,True
200,0.0001,16,0.3,0.75,0.75,4,19260817,Plain,,0.0104,0.0031,0.003,0.148,0.1485,0.1486,99115721689975.8,99373074275387.1,99401454393618.14,36.28,True
25,1.0,16,0.9,0.75,0.75,4,19260817,Plain,,0.9025,-0.2957,-0.3401,0.0465,0.1693,0.1723,51394284586696.52,200268820752789.03,208063762453675.2,4.71,True
200,0.0001,16,0.9,0.25,0.25,1024,19260817,Plain,,0.0103,0.0029,0.003,0.148,0.1486,0.1486,98911043054515.31,99088692286620.4,99060624725124.34,2476.57,True
25,1.0,16,0.3,0.75,0.75,4,19260817,Plain,,0.9199,-0.4899,-0.4721,0.0421,0.1816,0.1806,43554464556105.695,223517468322928.2,226218008407733.38,4.83,True
25,1.0,16,0.3,0.25,0.25,1024,19260817,Plain,,0.9691,-0.3488,-0.3029,0.0262,0.1728,0.1699,53373467120894.055,190075418458176.97,188700567376570.25,318.93,True
200,1.0,16,0.9,0.75,0.75,4,19260817,Plain,,0.9553,-0.364,-0.427,0.0314,0.1738,0.1778,4930158154801.685,213147114611522.56,218609924551622.9,36.83,True
25,0.0001,16,0.9,0.75,0.25,4,19260817,Plain,,0.0011,0.0004,0.0004,0.1487,0.1487,0.1488,99612391911951.92,99638380686696.31,99637626679432.56,4.38,True
25,0.0001,2,0.3,0.75,0.25,1024,19260817,Plain,,0.0004,0.0004,0.0004,0.1487,0.1487,0.1488,99665600828137.28,99667030935767.95,99664573015596.94,0.33,True
25,0.0001,2,0.9,0.75,0.25,4,19260817,Plain,,0.0003,0.0003,0.0002,0.1488,0.1488,0.1488,99673178847056.06,99673186300498.23,99673769751548.94,0.2,True
25,0.0001,2,0.3,0.25,0.25,4,19260817,Plain,,0.0002,0.0002,0.0002,0.1488,0.1488,0.1488,99673835307945.02,99673961385877.95,99672616813988.56,0.18,True
200,1.0,16,0.3,0.75,0.25,4,19260817,Plain,,0.9553,-0.4793,-0.5352,0.0314,0.1809,0.1844,4785642939914.611,240968409508683.4,236528815949644.5,32.95,True
200,1.0,2,0.3,0.25,0.75,1024,19260817,Plain,,0.3073,0.0037,0.0113,0.1238,0.1485,0.148,107456711926667.16,123072694925818.94,122770499667958.34,1.45,True
25,1.0,2,0.9,0.75,0.75,1024,19260817,Plain,,0.1604,0.09,0.0804,0.1363,0.1419,0.1427,94694339280581.2,97742373563916.98,98883921542290.77,1.26,True
25,1.0,16,0.9,0.25,0.25,4,19260817,Plain,,0.8892,-0.3357,-0.3365,0.0495,0.1719,0.1721,56464462304129.5,217758433028788.8,217142019903942.75,6.39,True
200,0.0001,2,0.3,0.25,0.75,1024,19260817,Plain,,0.0026,0.0026,0.0026,0.1486,0.1486,0.1487,99554678586636.94,99556025606599.1,99554382374071.28,2.52,True
25,0.0001,16,0.9,0.25,0.25,4,19260817,Plain,,0.001,0.0004,0.0004,0.1487,0.1487,0.1488,99622611592058.92,99646053227655.28,99642456671213.56,3.18,True
200,1.0,16,0.3,0.75,0.25,1024,19260817,Plain,,1.0,-0.2748,-0.2991,0.0,0.168,0.1697,72827368884.0704,185827419163277.1,195203637734365.8,6768.42,True
25,0.0001,2,0.3,0.75,0.75,1024,19260817,Plain,,0.0004,0.0004,0.0004,0.1487,0.1487,0.1488,99665578974596.88,99667100213604.56,99665062858333.3,0.35,True
25,1.0,16,0.9,0.75,0.25,4,19260817,Plain,,0.8977,-0.275,-0.3596,0.0476,0.168,0.1736,53320046913045.16,211783706946135.2,217334641947635.7,4.06,True
25,0.0001,16,0.9,0.75,0.75,1024,19260817,Plain,,0.0014,0.0004,0.0004,0.1487,0.1487,0.1488,99583763937630.06,99609195612765.6,99603679713323.5,843.79,True
200,0.0001,16,0.9,0.25,0.75,1024,19260817,Plain,,0.0103,0.003,0.0031,0.148,0.1485,0.1486,98914782083422.62,99098649405359.23,99069241167292.3,2341.56,True
200,1.0,16,0.9,0.25,0.25,1024,19260817,Plain,,1.0,-0.2337,-0.2355,0.0001,0.1652,0.1655,220079748264.771,198389924416780.72,199749952174999.9,2348.35,True
25,0.0001,2,0.9,0.75,0.75,4,19260817,Plain,,0.0003,0.0003,0.0002,0.1488,0.1488,0.1488,99673038579860.95,99672993162463.38,99673846601230.4,0.24,True
200,0.0001,16,0.3,0.25,0.25,4,19260817,Plain,,0.0097,0.003,0.003,0.1481,0.1485,0.1486,99159837061018.77,99406221807780.62,99413789095165.23,22.98,True
25,1.0,16,0.9,0.25,0.25,1024,19260817,Plain,,0.9494,-0.2096,-0.206,0.0335,0.1636,0.1635,64199812308906.18,178458516391039.72,178364976328081.38,305.25,True
25,0.0001,2,0.9,0.25,0.75,4,19260817,Plain,,0.0002,0.0002,0.0002,0.1488,0.1488,0.1488,99673877672918.92,99673594543524.58,99672218647974.06,0.21,True
25,0.0001,2,0.3,0.25,0.75,1024,19260817,Plain,,0.0003,0.0003,0.0003,0.1488,0.1487,0.1488,99668979668662.34,99669139658413.42,99667614824106.94,0.3,True
200,1.0,16,0.3,0.75,0.75,1024,19260817,Plain,,1.0,-0.3447,-0.342,0.0,0.1725,0.1724,33580455318.5142,186067877118379.2,178880234159689.16,6803.37,True
200,0.0001,16,0.3,0.25,0.75,4,19260817,Plain,,0.0096,0.003,0.0031,0.1481,0.1485,0.1486,99163551707735.94,99406786354929.06,99417341277210.4,22.46,True
200,0.0001,2,0.9,0.25,0.25,4,19260817,Plain,,0.0018,0.0019,0.0018,0.1486,0.1486,0.1487,99592884466730.6,99588416601433.86,99592490667765.95,0.68,True
25,1.0,2,0.9,0.25,0.75,4,19260817,Plain,,0.0835,0.0797,0.0818,0.1424,0.1427,0.1426,114803259416601.56,113264426209512.36,114507619721552.23,0.21,True
200,0.0001,2,0.3,0.25,0.25,4,19260817,Plain,,0.0018,0.0019,0.0018,0.1486,0.1486,0.1487,99592980478405.86,99588511198607.28,99592586998346.48,0.72,True
200,0.0001,16,0.9,0.75,0.75,4,19260817,Plain,,0.0087,0.0029,0.0029,0.1481,0.1486,0.1486,99134549126251.8,99331571287136.23,99349715460657.44,35.63,True
100,0.01,8,0.7,0.5,0.5,64,19260817,Plain,,0.1321,0.0982,0.1004,0.1386,0.1413,0.1412,90669471499880.1,91955296959226.69,91506139376103.77,1.44,True
50,0.01,8,0.7,0.5,0.5,64,19260817,Plain,,0.0853,0.0693,0.0702,0.1423,0.1435,0.1435,94359572562574.12,94959176122428.2,94721663137096.88,0.78,True
200,0.01,8,0.7,0.5,0.5,64,19260817,Plain,,0.1857,0.1182,0.1218,0.1343,0.1397,0.1395,85989000606633.45,88960484443556.77,88175697628595.56,2.82,True
100,0.0001,8,0.7,0.5,0.5,64,19260817,Plain,,0.0024,0.002,0.002,0.1486,0.1486,0.1487,99556901554713.78,99568895954349.94,99559672510570.94,1.41,True
100,1.0,8,0.7,0.5,0.5,64,19260817,Plain,,0.8423,-0.3661,-0.3318,0.0591,0.1739,0.1718,99778308716186.14,199400622505147.7,200808997586355.03,1.45,True
100,0.01,4,0.7,0.5,0.5,64,19260817,Plain,,0.0963,0.0905,0.0905,0.1414,0.1419,0.142,93139665860245.22,93269059460406.6,93178453453506.77,0.68,True
100,0.01,16,0.7,0.5,0.5,64,19260817,Plain,,0.369,0.0787,0.0857,0.1182,0.1428,0.1423,73363842575689.9,83676923167538.56,82169665848433.66,119.59,True
100,0.01,8,0.5,0.5,0.5,64,19260817,Plain,,0.1332,0.0984,0.1,0.1385,0.1413,0.1412,90718528131511.4,92084523332883.95,91696233863201.31,1.46,True
100,0.01,8,0.9,0.5,0.5,64,19260817,Plain,,0.131,0.0977,0.1001,0.1387,0.1413,0.1412,90637532385089.2,91821555597719.23,91475435377625.84,1.48,True
100,0.01,8,0.7,0.25,0.5,64,19260817,Plain,,0.1281,0.0958,0.0976,0.1389,0.1415,0.1414,90946098420995.84,92200685520792.66,91781906966280.23,1.04,True
100,0.01,8,0.7,0.75,0.5,64,19260817,Plain,,0.1341,0.0994,0.0999,0.1384,0.1412,0.1412,90502263270518.52,91871852548300.12,91432826988898.92,1.59,True
100,0.01,8,0.7,0.5,0.25,64,19260817,Plain,,0.1318,0.0968,0.0991,0.1386,0.1414,0.1413,90690949696032.42,91718155916838.94,91433240110034.2,1.22,True
100,0.01,8,0.7,0.5,0.75,64,19260817,Plain,,0.1322,0.098,0.1001,0.1386,0.1413,0.1412,90651416368181.95,91915392126091.14,91630042766755.12,1.73,True
100,0.01,8,0.7,0.5,0.5,16,19260817,Plain,,0.1258,0.0902,0.0932,0.1391,0.1419,0.1417,91037978551670.7,92056645091456.42,91881485264801.77,1.09,True
100,0.01,8,0.7,0.5,0.5,256,19260817,Plain,,0.1326,0.0985,0.0993,0.1386,0.1413,0.1413,90634957713907.06,91697574590034.48,91511216543355.69,3.3,True
200,0.0001,8,0.7,0.5,0.5,64,19260817,Plain,,0.0047,0.004,0.004,0.1484,0.1485,0.1486,99429517441768.12,99454016944869.84,99440965932473.72,2.79,True
200,1.0,8,0.7,0.5,0.5,64,19260817,Plain,,0.9475,-0.4478,-0.4117,0.0341,0.179,0.1769,78866700650462.55,223951185851656.5,223386080388686.1,2.86,True
200,0.01,4,0.7,0.5,0.5,64,19260817,Plain,,0.1237,0.1127,0.1127,0.1393,0.1401,0.1402,90045564897572.1,90351394651655.94,90125250383612.23,1.28,True
200,0.01,16,0.7,0.5,0.5,64,19260817,Plain,,0.5563,0.0971,0.106,0.0991,0.1414,0.1407,59478183008997.9,78753761446988.56,76880057998172.86,236.78,True
200,0.01,8,0.5,0.5,0.5,64,19260817,Plain,,0.188,0.1186,0.122,0.1341,0.1397,0.1395,85941847922825.16,89029958843496.75,88248578778210.1,2.83,True
