n_estimators,eta,max_depth,l2_leaf_reg,colsample_bylevel,subsample,max_bin,random_seed,boosting_type,max_ctr_complexity,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,silent
25,1.0,16,0.3,0.75,0.75,1024,19260817,Plain,1.0,0.9815,-0.3294,-0.3276,0.0202,0.1715,0.1715,43432657516445.1,175908437417295.0,167490520012668.0,818.44,
25,1.0,16,0.3,0.75,0.25,4,19260817,Plain,1.0,0.9185,-0.4214,-0.445,0.0425,0.1774,0.1789,45373012375749.4,229684002098842.0,225097063476778.0,3.89,
25,0.0001,16,0.9,0.25,0.25,1024,19260817,Plain,1.0,0.0013,0.0004,0.0004,0.1487,0.1487,0.1488,99591507305036.3,99612729825137.8,99606446517710.2,292.41,
25,0.0001,16,0.3,0.75,0.25,1024,19260817,Plain,1.0,0.0017,0.0004,0.0004,0.1487,0.1487,0.1488,99588220949370.8,99620044083062.3,99613110911339.8,819.67,
200,0.0001,2,0.9,0.25,0.25,1024,19260817,Plain,1.0,0.0026,0.0026,0.0026,0.1486,0.1486,0.1487,99554708717695.4,99556631300532.6,99554413432113.8,0.91,
200,0.0001,2,0.9,0.25,0.75,1024,19260817,Plain,1.0,0.0026,0.0026,0.0026,0.1486,0.1486,0.1487,99554387540996.8,99555740836577.8,99554050939440.6,1.07,
25,0.0001,2,0.9,0.25,0.25,1024,19260817,Plain,1.0,0.0003,0.0003,0.0003,0.1488,0.1487,0.1488,99668941520010.0,99669040776739.5,99667519693722.9,0.27,
25,0.0001,16,0.3,0.75,0.75,1024,19260817,Plain,1.0,0.0017,0.0004,0.0004,0.1487,0.1487,0.1488,99587409402624.4,99619171547176.6,99614061279375.0,829.48,
200,0.0001,16,0.9,0.25,0.25,4,19260817,Plain,1.0,0.0081,0.0028,0.0029,0.1482,0.1486,0.1486,99189121765554.4,99370533461037.0,99376436947501.4,20.96,
25,1.0,2,0.9,0.75,0.75,4,19260817,Plain,1.0,0.0887,0.0855,0.0833,0.142,0.1423,0.1425,112537939987800.0,110768163029471.0,112357901861683.0,0.24,
200,1.0,2,0.3,0.25,0.25,1024,19260817,Plain,1.0,0.2833,0.0117,0.047,0.1259,0.1479,0.1453,104464883273131.0,121265719496838.0,115901564956506.0,0.9,
25,1.0,16,0.3,0.25,0.75,4,19260817,Plain,1.0,0.9021,-0.4998,-0.4725,0.0466,0.1822,0.1806,47061200472152.3,234888513436581.0,228515097928783.0,2.92,
25,0.0001,16,0.3,0.25,0.25,1024,19260817,Plain,1.0,0.0016,0.0004,0.0004,0.1487,0.1487,0.1488,99593420566432.3,99623519126439.2,99616247474474.6,293.49,
200,0.0001,2,0.3,0.75,0.75,4,19260817,Plain,1.0,0.002,0.0021,0.002,0.1486,0.1486,0.1487,99583641189897.4,99586056234989.6,99609908490227.6,1.02,
25,1.0,2,0.3,0.25,0.25,1024,19260817,Plain,1.0,0.1421,0.0953,0.1152,0.1378,0.1415,0.14,100098322458127.0,102082379489908.0,100526018042900.0,0.28,
200,1.0,16,0.9,0.25,0.25,4,19260817,Plain,1.0,0.9553,-0.4198,-0.4396,0.0315,0.1773,0.1786,5813595745399.67,232692328105213.0,232957373763488.0,22.96,
200,0.0001,16,0.3,0.75,0.25,4,19260817,Plain,1.0,0.0106,0.003,0.003,0.148,0.1485,0.1486,99104652596253.0,99369926396517.4,99399654880428.9,30.96,
200,0.0001,16,0.3,0.75,0.75,1024,19260817,Plain,1.0,0.0132,0.0034,0.0034,0.1478,0.1485,0.1486,98910192873350.6,99171560080412.2,99141433031818.1,6567.65,
25,1.0,2,0.9,0.25,0.75,1024,19260817,Plain,1.0,0.1457,0.0877,0.1184,0.1375,0.1421,0.1398,98236181481636.2,100713123482990.0,97780560213942.7,0.37,
200,1.0,2,0.9,0.75,0.75,4,19260817,Plain,1.0,0.107,0.0861,0.0822,0.1406,0.1422,0.1426,121934114974018.0,121265520049094.0,123029397317411.0,1.13,
25,1.0,16,0.9,0.25,0.75,4,19260817,Plain,1.0,0.8894,-0.3068,-0.3758,0.0495,0.1701,0.1746,54534158775437.7,212408653298131.0,220180075144707.0,2.93,
200,0.0001,16,0.9,0.75,0.75,1024,19260817,Plain,1.0,0.0106,0.0031,0.0032,0.148,0.1485,0.1486,98891297333443.7,99086208348682.3,99056472038061.5,6619.01,
25,1.0,2,0.3,0.25,0.75,1024,19260817,Plain,1.0,0.1463,0.0856,0.1082,0.1375,0.1423,0.1406,96282072655315.4,98926276485790.1,97196529420394.8,0.47,
