gamma,subsample,colsample_bytree,max_depth,eta,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
0.01,0.25,0.75,100.0,0.9,0.9145,-0.1032,-0.1783,0.0435,0.1563,0.1616,79246407869158.72,169536408031226.47,175785853302884.25,103.75
100.0,0.5,0.75,5.0,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,8.86
0.01,0.5,0.5,100.0,0.9,0.9809,0.0327,-0.0495,0.0206,0.1463,0.1525,41449630263089.63,134196297862438.88,138909513884281.86,97.36
1.0,0.25,0.5,10.0,0.75,0.2976,0.0738,-0.0053,0.1247,0.1432,0.1492,83076795813412.72,96022521763241.05,102286333155725.8,9.37
0.0,0.5,0.75,100.0,0.9,0.9971,-0.0224,-0.0683,0.008,0.1504,0.1539,8509456483502.316,138388421777008.4,141139713514058.25,137.08
0.0001,0.75,0.5,5.0,0.45,0.3159,0.0735,0.0388,0.1231,0.1432,0.1459,77981772416813.5,93793090964258.06,94744973549447.9,6.3
0.0001,0.25,0.75,50.0,0.45,0.9207,-0.085,-0.1379,0.0419,0.155,0.1588,58186206518331.125,164779081817133.7,168906553567872.78,63.55
0.01,0.5,0.5,10.0,0.45,0.7223,0.0525,-0.0316,0.0784,0.1448,0.1512,55844068274582.414,102601661577772.56,107464433664162.66,13.37
100.0,0.5,0.75,5.0,0.45,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,8.68
0.01,0.5,0.75,50.0,0.15,0.978,0.0035,-0.0708,0.022,0.1485,0.154,38836624793614.055,129415195770193.36,134280657236752.44,92.35
1.0,0.75,0.25,50.0,0.9,0.5474,0.0577,0.0268,0.1001,0.1444,0.1468,67285768519385.78,100225398383806.6,101858738545355.2,35.43
100.0,0.25,0.75,50.0,0.45,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,22.17
1.0,0.5,0.75,50.0,0.45,0.5665,0.0346,-0.0085,0.098,0.1462,0.1495,68193091131043.97,102309737898401.2,106227300225263.34,83.09
1.0,0.75,0.5,50.0,0.15,0.5807,0.0654,0.017,0.0963,0.1438,0.1476,63065922372856.78,97888327794673.28,101308305784236.98,62.66
0.01,0.25,0.5,5.0,0.15,0.2609,0.061,0.0058,0.1279,0.1442,0.1484,84343735643321.78,95495359922161.28,97628899183219.88,4.71
1.0,0.75,0.25,25.0,0.45,0.5002,0.0632,0.0191,0.1052,0.144,0.1474,67284749498868.81,95947761641945.5,99586581115564.7,19.08
1.0,0.25,0.5,50.0,0.15,0.4258,0.02,-0.0357,0.1127,0.1473,0.1515,93850362894338.42,116812435363455.16,121704029763115.12,45.6
1.0,0.75,0.5,5.0,0.15,0.2035,0.089,0.0473,0.1328,0.142,0.1453,84939931417207.11,91822613175083.3,93281493084471.88,6.18
0.0,0.25,0.25,100.0,0.15,0.9331,-0.0698,-0.1295,0.0385,0.1539,0.1582,55628868134590.39,184234375475500.88,185771990838099.44,34.76
100.0,0.5,0.75,100.0,0.6,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,37.84
1.0,0.5,0.5,5.0,0.6,0.206,0.0812,0.044,0.1326,0.1426,0.1455,84709037691024.86,92325616399737.05,93158435713453.69,6.18
0.0,0.5,0.75,50.0,0.9,0.9951,-0.0214,-0.067,0.0105,0.1504,0.1538,11948833639779.838,135418245665892.14,139236850425377.38,89.32
1.0,0.5,0.5,10.0,0.9,0.3847,0.0647,0.0117,0.1167,0.1439,0.148,74925567312114.38,95376225947162.56,97998931600725.69,12.56
0.0,0.5,0.25,5.0,0.6,0.274,0.0839,0.0314,0.1268,0.1424,0.1465,81347288324294.08,92624999339728.38,97036220007043.12,4.22
100.0,0.5,0.75,5.0,0.6,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,8.7
0.0001,0.5,0.25,100.0,0.75,0.9963,0.0137,-0.0441,0.0091,0.1477,0.1521,14725531764672.787,140758641846501.8,143728216330708.47,43.86
1.0,0.25,0.5,10.0,0.9,0.2976,0.0738,-0.0053,0.1247,0.1432,0.1492,83076795813412.72,96022521763241.05,102286333155725.8,9.34
