n_estimators,eta,max_depth,l2_leaf_reg,colsample_bylevel,subsample,max_bin,random_seed,silent,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
25.0,0.0001,16.0,0.3,0.75,0.25,65535.0,19260817.0,1.0,0.0011,0.0003,0.0002,0.1487,0.1487,0.1488,99622485902923.12,99650854065227.69,99648673331658.84,53.54
400.0,0.0001,16.0,0.9,0.25,0.75,4.0,19260817.0,1.0,0.0109,0.004,0.0036,0.148,0.1485,0.1486,98989322276653.48,99237126950209.6,99300120018270.16,40.93
400.0,0.0001,2.0,0.3,0.75,0.75,4.0,19260817.0,1.0,0.0032,0.0035,0.0032,0.1485,0.1485,0.1486,99522152906390.1,99502025221765.78,99525516050308.31,1.75
400.0,0.0001,16.0,0.9,0.25,0.75,65535.0,19260817.0,1.0,0.0133,0.0039,0.0034,0.1478,0.1485,0.1486,98721392296242.22,99022334102688.16,99027381979108.66,256.29
400.0,1.0,2.0,0.9,0.75,0.25,4.0,19260817.0,1.0,0.089,0.0441,0.0345,0.142,0.1455,0.1463,117657651589750.6,118365335315065.23,119369124234592.12,1.28
25.0,0.0001,2.0,0.3,0.25,0.75,4.0,19260817.0,1.0,0.0002,0.0002,0.0002,0.1488,0.1488,0.1488,99677042892941.56,99676471730694.12,99675071055658.8,0.15
400.0,1.0,2.0,0.9,0.25,0.75,4.0,19260817.0,1.0,0.0867,0.0463,0.0359,0.1422,0.1453,0.1462,117571569805810.05,117716535014855.5,119227228366810.3,1.51
25.0,0.0001,2.0,0.9,0.75,0.25,65535.0,19260817.0,1.0,0.0002,0.0002,0.0002,0.1488,0.1488,0.1488,99674426160945.16,99673567228761.7,99672407790647.28,0.15
400.0,1.0,2.0,0.3,0.25,0.25,65535.0,19260817.0,1.0,0.1777,0.0001,-0.0164,0.1349,0.1488,0.1501,121759723184629.28,133739042141258.05,133226683056177.8,1.23
25.0,1.0,2.0,0.9,0.75,0.75,1024.0,19260817.0,1.0,0.0785,0.0643,0.0374,0.1428,0.1439,0.146,101696449919686.86,103077868765881.0,102796167010356.38,0.19
25.0,0.0001,16.0,0.9,0.75,0.25,65535.0,19260817.0,1.0,0.0009,0.0003,0.0002,0.1487,0.1488,0.1488,99619819154279.4,99638959612123.64,99637725871274.06,41.56
25.0,1.0,16.0,0.9,0.25,0.25,65535.0,19260817.0,1.0,0.909,-0.3234,-0.3157,0.0449,0.1711,0.1707,83484858338392.22,214917799870492.0,210031463643728.0,15.72
400.0,0.0001,16.0,0.3,0.25,0.75,1024.0,19260817.0,1.0,0.0162,0.0042,0.0036,0.1476,0.1485,0.1486,98745802058093.31,99142635368071.56,99142983420116.44,263.87
400.0,0.0001,2.0,0.3,0.25,0.75,4.0,19260817.0,1.0,0.0028,0.0029,0.0027,0.1486,0.1486,0.1487,99546023797612.88,99533315380814.64,99548894227644.05,1.38
25.0,0.0001,16.0,0.9,0.75,0.75,65535.0,19260817.0,1.0,0.0009,0.0003,0.0002,0.1487,0.1488,0.1488,99619347356263.95,99639853822286.38,99638105513772.12,42.97
400.0,1.0,16.0,0.3,0.25,0.25,65535.0,19260817.0,1.0,1.0,-0.461,-0.5068,0.0,0.1798,0.1827,1385670706.0764,253985537128082.84,254211022093513.4,256.56
