learning_rate,n_estimators,subsample,max_features,ccp_alpha,max_depth,random_state,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
0.1,200.0,0.75,0.25,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99564016983324.56,99564249727536.6,99561647757611.62,25.84
0.1,50.0,0.75,0.75,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99288614137976.7,99288846238397.72,99286251465750.88,4.95
100.0,200.0,0.75,0.75,0.0,5.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.48
0.1,200.0,0.75,0.75,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99564016983324.56,99564249727536.6,99561647757611.62,49.71
100.0,50.0,0.25,0.75,0.0,100.0,19260817.0,-2.6878037236086777e+200,-2.6948990908952928e+200,-2.8811916270748685e+200,2.4391339538657e+99,2.442230950809857e+99,2.5266242336632063e+99,4.2421787857635477e+114,4.2203280449582936e+114,4.467994822923104e+114,13.61
0.0001,200.0,0.75,0.25,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684545841474.62,99684778867439.0,99682173747656.56,7.53
100.0,50.0,0.75,0.75,0.1,100.0,19260817.0,-8.922649345831785e+194,-8.923528693574237e+194,-8.913708093221479e+194,4.4440996556353e+96,4.4440996556353e+96,4.4440996556353e+96,1.956116598713704e+112,1.956121171397997e+112,1.956070050955954e+112,3.88
100.0,200.0,0.75,0.25,0.1,100.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.99
0.1,200.0,0.75,0.75,0.0,100.0,19260817.0,1.0,-0.074,-0.0945,0.0,0.1542,0.1557,123700490.1983,135556353632796.36,135518223421380.58,195.18
0.1,200.0,0.75,0.25,0.0,5.0,19260817.0,0.3592,0.0328,0.0132,0.1191,0.1463,0.1479,82329572775820.42,101401531028343.36,103868703297931.44,7.61
0.0001,50.0,0.25,0.75,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99683641971007.28,99683874994858.72,99681269898697.7,1.89
0.0001,200.0,0.75,0.25,0.0,5.0,19260817.0,0.0027,0.0024,0.002,0.1486,0.1486,0.1487,99549558139626.05,99563570644094.9,99580222586688.8,7.66
0.1,200.0,0.75,0.25,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99564016983324.56,99564249727536.6,99561647757611.62,7.53
100.0,50.0,0.75,0.75,0.0,5.0,19260817.0,-1.5464238574557126e+198,-1.5278009087893258e+198,-1.5360930935973326e+198,1.8501253200690555e+98,1.8388608173092303e+98,1.844859740407328e+98,5.456289710680082e+113,5.416691191387314e+113,5.45951634111818e+113,4.92
0.1,200.0,0.75,0.25,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99564016983324.56,99564249727536.6,99561647757611.62,20.76
0.1,200.0,0.25,0.25,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,101688790733880.48,101689028445035.48,101686370947043.6,3.35
0.0001,200.0,0.25,0.25,0.0,100.0,19260817.0,0.012,0.0029,0.0026,0.1479,0.1486,0.1487,99366724510223.4,99918833553636.88,99938972338407.16,14.38
0.1,200.0,0.25,0.25,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,101688790733880.48,101689028445035.48,101686370947043.6,5.75
0.0001,50.0,0.75,0.25,0.0,5.0,19260817.0,0.0007,0.0006,0.0005,0.1487,0.1487,0.1488,99651602936518.66,99655384273071.92,99657352048822.3,1.93
0.0001,50.0,0.75,0.75,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99685446531358.31,99685679559428.16,99683074416107.4,12.32
0.0001,200.0,0.25,0.75,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99676893535435.98,99677126543512.06,99674521623712.22,14.62
0.1,200.0,0.25,0.75,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,101688790733880.48,101689028445035.48,101686370947043.6,14.55
