learning_rate,n_estimators,subsample,max_features,ccp_alpha,max_depth,random_state,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
0.0001,50.0,0.25,0.25,0.0,5.0,19260817.0,0.0013,0.001,0.001,0.1487,0.1487,0.1488,99622451463960.58,99634060868378.08,99629122909387.16,2.48
100.0,200.0,0.75,0.75,0.1,5.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.77
0.1,50.0,0.25,0.25,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100585456726431.23,100585691858395.38,100583063194534.44,2.35
100.0,50.0,0.25,0.75,100.0,5.0,19260817.0,-1.3537781716147498e+195,-1.35391158958657e+195,-1.3524215708853507e+195,5.47407356871762e+96,5.47407356871762e+96,5.47407356871762e+96,2.409470308968068e+112,2.409475941427319e+112,2.409412973203767e+112,2.85
100.0,50.0,0.75,0.75,100.0,5.0,19260817.0,-8.955927008364201e+194,-8.956809635697304e+194,-8.946952408709148e+194,4.4523792376582815e+96,4.4523792376582815e+96,4.4523792376582815e+96,1.9597609426934826e+112,1.959765523896915e+112,1.9597143082149098e+112,10.15
0.1,200.0,0.75,0.75,0.0,5.0,19260817.0,0.5475,0.0955,0.0586,0.1001,0.1415,0.1444,62761825679239.08,93061987205132.78,95082649378841.72,85.35
0.0001,50.0,0.25,0.25,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99682920074395.88,99683153096559.8,99680548019264.56,2.35
0.0001,200.0,0.75,0.75,0.0,100.0,19260817.0,0.0309,0.0057,0.0052,0.1465,0.1483,0.1485,98216531404070.3,99704816430197.14,99709095974450.58,474.68
100.0,200.0,0.75,0.75,0.1,100.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.48
100.0,200.0,0.25,0.25,100.0,5.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43
0.1,50.0,0.25,0.75,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100585456726431.23,100585691858395.38,100583063194534.44,16.09
0.1,50.0,0.75,0.75,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100367850150931.64,100368084774211.28,100365461797201.72,19.62
0.0001,200.0,0.25,0.75,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99678853794927.88,99679086807586.31,99676481836557.77,66.2
0.0001,200.0,0.75,0.75,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684462336956.22,99684695362725.4,99682090245125.22,234.51
0.0001,200.0,0.75,0.25,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684462336956.22,99684695362725.4,99682090245125.22,71.15
0.0001,200.0,0.25,0.75,0.0,5.0,19260817.0,0.0058,0.0045,0.0045,0.1483,0.1484,0.1485,99402980163366.62,99472316387854.88,99468345868852.69,27.71
0.0001,200.0,0.25,0.75,0.0,100.0,19260817.0,0.014,0.0056,0.0052,0.1477,0.1484,0.1485,99207796649822.06,99713052494297.62,99714637364943.77,176.97
0.1,50.0,0.25,0.75,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100585456726431.23,100585691858395.38,100583063194534.44,6.94
0.1,200.0,0.75,0.25,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99889846706386.23,99890080212268.84,99887469727228.05,27.44
0.1,200.0,0.75,0.75,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99889846706386.23,99890080212268.84,99887469727228.05,78.84
100.0,200.0,0.25,0.75,0.0,100.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.85
