max_bins,interactions,learning_rate,max_rounds,min_samples_leaf,max_leaves,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
4.0,2.0,0.0001,25.0,32.0,100.0,-0.0192,-0.0191,-0.0193,0.1502,0.1502,0.1503,5470043980432.49,5466576546594.099,5472157704013.668,1.29
4.0,2.0,100.0,25.0,1.0,100000.0,-3591875.8955,-3591634.9258,-3588167.0061,281.9666,281.9432,281.9623,9.586148554342161e+17,9.58553681742897e+17,9.588836488001743e+17,1.29
4.0,16.0,0.0001,500.0,32.0,100000.0,0.0272,0.0296,0.0243,0.1467,0.1466,0.147,53030706975218.05,52940489124612.31,53094309637778.95,10.96
4.0,2.0,0.0001,500.0,32.0,100.0,-0.0042,-0.004,-0.0044,0.1491,0.1491,0.1492,30050347004414.016,30038308044208.54,30059415407104.86,4.76
1024.0,16.0,100.0,25.0,1.0,100.0,-4619875.6518,-4621290.3053,-4608323.3635,319.7806,319.8138,319.5406,9.472213413668191e+17,9.468561624982664e+17,9.461903713740654e+17,1.86
65535.0,2.0,0.0001,25.0,32.0,100000.0,-0.0176,-0.0175,-0.018,0.1501,0.1501,0.1502,5391447367965.9375,5384404763735.91,5409031081034.13,1.5
1024.0,16.0,0.1,25.0,32.0,100000.0,0.0876,0.0699,0.0475,0.1421,0.1435,0.1453,101082763310403.06,101629890123328.98,101930592466938.11,2.01
4.0,16.0,100.0,25.0,32.0,100000.0,-3591875.8955,-3591634.9258,-3588167.0061,281.9666,281.9432,281.9623,9.586148554342161e+17,9.58553681742897e+17,9.588836488001743e+17,1.76
4.0,16.0,0.1,25.0,1.0,100.0,0.0671,0.0656,0.0501,0.1437,0.1438,0.1451,108268779302593.23,108828081548323.5,108848325739401.64,1.82
1024.0,2.0,0.0001,500.0,1.0,100000.0,0.0201,0.0208,0.0167,0.1473,0.1472,0.1476,47404445647461.945,47372559609538.09,47592630466937.12,6.64
1024.0,2.0,0.0001,500.0,1.0,100.0,0.0201,0.0208,0.0167,0.1473,0.1472,0.1476,47382666830255.87,47350838148273.336,47563610273123.8,6.58
65535.0,16.0,0.0001,25.0,1.0,100000.0,-0.0133,-0.0131,-0.0139,0.1498,0.1497,0.1499,8464714659205.737,8449546403376.201,8485400533281.181,2.0
65535.0,16.0,100.0,500.0,32.0,100000.0,-4329227.8027,-4335761.673,-4309887.7998,309.5581,309.7763,309.0207,9.483415091238351e+17,9.459953101533404e+17,9.458453931001295e+17,2.75
1024.0,16.0,0.0001,500.0,1.0,100000.0,0.0287,0.0301,0.0244,0.1466,0.1465,0.147,54038899505611.99,53987375252472.484,54242566918952.24,8.79
4.0,2.0,0.1,25.0,32.0,100.0,0.0584,0.0672,0.0464,0.1444,0.1437,0.1454,110278854446724.3,109941122502782.4,110294364849533.44,1.3
65535.0,2.0,100.0,500.0,32.0,100.0,-4329227.8027,-4335761.673,-4309887.7998,309.5581,309.7763,309.0207,9.483415091238351e+17,9.459953101533404e+17,9.458453931001295e+17,1.83
4.0,16.0,0.1,500.0,32.0,100.0,0.0768,0.0671,0.048,0.143,0.1437,0.1452,104031894745112.45,105336584238428.1,104868043313272.6,3.02
65535.0,2.0,0.0001,500.0,1.0,100000.0,0.0201,0.0208,0.0167,0.1473,0.1472,0.1476,47404445647461.945,47372559609538.09,47592630466937.12,6.69
4.0,2.0,0.0001,500.0,1.0,100.0,-0.0042,-0.004,-0.0044,0.1491,0.1491,0.1492,30050347004414.016,30038308044208.54,30059415407104.86,4.33
65535.0,2.0,0.1,500.0,1.0,100000.0,0.0803,0.0713,0.0483,0.1427,0.1434,0.1452,102680594184323.44,103037921837268.5,102972943471651.73,1.98
4.0,16.0,0.0001,500.0,1.0,100000.0,0.0267,0.029,0.0239,0.1468,0.1466,0.1471,52610206587107.1,52515026475637.81,52673363148407.695,10.01
4.0,16.0,100.0,25.0,1.0,100000.0,-3591875.8955,-3591634.9258,-3588167.0061,281.9666,281.9432,281.9623,9.586148554342161e+17,9.58553681742897e+17,9.588836488001743e+17,1.75
1024.0,2.0,0.1,25.0,32.0,100.0,0.0779,0.071,0.0487,0.1429,0.1434,0.1452,102726943615392.83,102959219126788.06,103215931038705.56,1.42
4.0,16.0,0.1,500.0,1.0,100.0,0.0669,0.0653,0.0501,0.1437,0.1438,0.1451,109108410369544.86,109581659085713.1,109653030315660.06,2.97
1024.0,16.0,100.0,25.0,32.0,100000.0,-4329227.8027,-4335761.673,-4309887.7998,309.5581,309.7763,309.0207,9.483415091238351e+17,9.459953101533404e+17,9.458453931001295e+17,1.92
4.0,16.0,0.0001,500.0,32.0,100.0,0.0272,0.0296,0.0243,0.1467,0.1466,0.147,53030706975218.05,52940489124612.31,53094309637778.95,10.13
