n_estimators,learning_rate,random_state,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
150.0,0.1,19421221.0,-0.457,-0.4533,-0.4991,0.1796,0.1793,0.1823,441931751509402.06,442445577260466.4,444953704328635.9,38.81
50.0,0.1,19421221.0,-0.2758,-0.2626,-0.3123,0.168,0.1672,0.1705,366093952899648.5,365476244932619.94,368111359198479.0,21.12
100.0,0.1,19421221.0,-0.457,-0.4533,-0.4991,0.1796,0.1793,0.1823,441931751509402.06,442445577260466.4,444953704328635.9,38.71
200.0,0.1,19421221.0,-0.457,-0.4533,-0.4991,0.1796,0.1793,0.1823,441931751509402.06,442445577260466.4,444953704328635.9,39.78
150.0,0.0001,19421221.0,0.0725,0.0781,0.0483,0.1433,0.1428,0.1452,90097879108387.4,89955574447434.33,91472004035490.94,67.95
150.0,0.001,19421221.0,0.0744,0.0803,0.0476,0.1431,0.1427,0.1453,104042140208868.42,103861889470784.56,105501272065826.66,66.65
150.0,0.01,19421221.0,-0.0175,-0.0076,-0.0518,0.1501,0.1493,0.1527,220352098409257.3,219409481851889.94,222460071619141.12,66.26
150.0,1.0,19421221.0,0.0675,0.0533,0.0479,0.1437,0.1447,0.1452,93289186373114.31,94489160462218.5,93291924602014.6,5.35
150.0,10.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.59
150.0,100.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.54
200.0,1.0,19421221.0,0.0675,0.0533,0.0479,0.1437,0.1447,0.1452,93289186373114.31,94489160462218.5,93291924602014.6,5.31
100.0,0.01,19421221.0,0.0305,0.0389,-0.0007,0.1465,0.1458,0.1489,180696412021308.97,179777762486336.2,182410604716721.22,43.59
200.0,0.01,19421221.0,-0.0683,-0.0559,-0.1014,0.1538,0.1529,0.1562,253918821532869.16,252700328395383.0,256218136943741.03,86.99
100.0,1.0,19421221.0,0.0675,0.0533,0.0479,0.1437,0.1447,0.1452,93289186373114.31,94489160462218.5,93291924602014.6,5.31
50.0,0.001,19421221.0,0.0734,0.0785,0.0477,0.1432,0.1428,0.1453,93745271538575.98,93617880645214.55,95313484392004.28,22.16
200.0,10.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.59
100.0,0.001,19421221.0,0.0743,0.0791,0.0478,0.1431,0.1428,0.1452,98738952191365.3,98599679728039.7,100262291643037.64,44.32
200.0,0.001,19421221.0,0.0743,0.0813,0.0477,0.1431,0.1426,0.1453,108720969426701.25,108578963174641.11,110180850813466.44,91.17
50.0,1.0,19421221.0,0.0675,0.0533,0.0479,0.1437,0.1447,0.1452,93289186373114.31,94489160462218.5,93291924602014.6,5.52
50.0,0.01,19421221.0,0.0667,0.0758,0.0409,0.1437,0.143,0.1458,137292057855223.02,136763974301504.2,138779691969976.39,22.77
50.0,10.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.61
100.0,10.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.6
100.0,0.0001,19421221.0,0.0722,0.0771,0.0471,0.1433,0.1429,0.1453,90036991345184.2,89996068574662.33,91401535013862.64,44.81
50.0,0.0001,19421221.0,0.0718,0.077,0.0484,0.1433,0.1429,0.1452,89226711390607.23,89113617529618.6,90663475262267.7,22.71
50.0,100.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.56
200.0,100.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.57
100.0,100.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.57
200.0,0.0001,19421221.0,0.0729,0.0783,0.0485,0.1433,0.1428,0.1452,90906700709874.4,90701399065264.38,92334810325119.1,92.96
