max_bins,interactions,learning_rate,max_rounds,min_samples_leaf,max_leaves,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
4.0,16.0,100.0,500.0,1.0,100000.0,-3733391.3208,-3732972.9594,-3729293.209,287.4675,287.4372,287.4537,9.558191704022779e+17,9.551773882257563e+17,9.541805308186303e+17,3.6
65535.0,16.0,0.1,25.0,32.0,100.0,0.1249,0.0979,0.0994,0.1392,0.1413,0.1413,103770841566922.4,105595163532556.62,103527137159465.28,2.92
4.0,2.0,100.0,25.0,1.0,100.0,-3733391.3208,-3732972.9594,-3729293.209,287.4675,287.4372,287.4537,9.558191704022779e+17,9.551773882257563e+17,9.541805308186303e+17,2.84
4.0,2.0,0.1,500.0,32.0,100.0,0.0896,0.0895,0.0838,0.142,0.142,0.1425,115897452402159.48,116006361185750.62,115379866712504.47,5.43
1024.0,16.0,0.0001,25.0,1.0,100000.0,-0.0092,-0.0094,-0.0095,0.1495,0.1495,0.1496,9611321445710.953,9621532049740.238,9627646229643.225,2.99
1024.0,2.0,0.0001,25.0,32.0,100.0,-0.0149,-0.0151,-0.0151,0.1499,0.1499,0.15,6669927803659.502,6678073816657.14,6685638984679.737,1.89
4.0,2.0,100.0,500.0,32.0,100000.0,-3733391.3208,-3732972.9594,-3729293.209,287.4675,287.4372,287.4537,9.558191704022779e+17,9.551773882257563e+17,9.541805308186303e+17,2.31
65535.0,16.0,100.0,500.0,1.0,100000.0,-5350178.7544,-5351178.2466,-5341327.1113,344.1288,344.144,344.0165,9.376468355366405e+17,9.351881585843524e+17,9.338830032080599e+17,3.21
1024.0,2.0,0.0001,500.0,32.0,100000.0,0.0505,0.0479,0.0476,0.145,0.1452,0.1453,66322999950892.05,66464445178940.51,66551620396011.07,11.22
65535.0,2.0,0.0001,25.0,1.0,100.0,-0.0149,-0.0151,-0.0151,0.1499,0.1499,0.15,6668790413154.048,6678524566828.355,6683628659716.776,1.88
65535.0,16.0,0.1,25.0,1.0,100000.0,0.1263,0.0975,0.0983,0.1391,0.1413,0.1413,103730468689017.39,105769696625815.39,103425046447732.95,2.37
65535.0,16.0,0.1,500.0,32.0,100.0,0.1249,0.0979,0.0994,0.1392,0.1413,0.1413,103770841566922.4,105595163532556.62,103527137159465.28,3.53
65535.0,2.0,0.1,500.0,32.0,100000.0,0.1149,0.0962,0.0919,0.14,0.1414,0.1418,106188531542006.36,107491229163345.58,106281701169678.48,2.53
65535.0,2.0,100.0,500.0,1.0,100.0,-5350179.1009,-5351178.574,-5341327.6514,344.1288,344.144,344.0165,9.376468575191741e+17,9.351881611830688e+17,9.33883155006913e+17,2.34
1024.0,2.0,100.0,500.0,32.0,100.0,-5350435.3679,-5350895.4058,-5343194.107,344.1371,344.1349,344.0766,9.376392581554484e+17,9.351324943019571e+17,9.340119657506358e+17,2.33
65535.0,2.0,100.0,25.0,1.0,100000.0,-5350178.7544,-5351178.2466,-5341327.1113,344.1288,344.144,344.0165,9.376468355366405e+17,9.351881585843524e+17,9.338830032080599e+17,1.79
1024.0,2.0,0.0001,25.0,32.0,100000.0,-0.0149,-0.0151,-0.0151,0.1499,0.1499,0.15,6669928021634.0625,6678073469032.2705,6685638822478.178,1.88
1024.0,16.0,100.0,500.0,1.0,100.0,-5350179.1009,-5351178.574,-5341327.6514,344.1288,344.144,344.0165,9.376468575191741e+17,9.351881611830688e+17,9.33883155006913e+17,3.2
4.0,2.0,100.0,25.0,32.0,100.0,-3733391.3208,-3732972.9594,-3729293.209,287.4675,287.4372,287.4537,9.558191704022779e+17,9.551773882257563e+17,9.541805308186303e+17,1.6
