gamma,subsample,colsample_bytree,max_depth,eta,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
0.01,0.25,0.75,100.0,0.9,-113927.2782,-392689.5883,-391214.8574,50.2172,93.2268,93.1028,1.4601193250659235e+17,3.077599924616869e+17,3.029745085834571e+17,19.88
100.0,0.5,0.75,5.0,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,103284863662233.53,103285105104422.56,103282405895239.4,1.57
0.01,0.5,0.5,100.0,0.9,0.9727,-1.9463,-2.0032,0.0246,0.2554,0.258,78152384114202.98,465193398812206.8,450123968959937.75,17.2
1.0,0.25,0.5,10.0,0.75,-1.5051,-7.4753,-7.0404,0.2355,0.4331,0.4221,396307303152558.75,627488869608429.1,597626904530333.2,2.57
0.0,0.5,0.75,100.0,0.9,1.0,-1.9147,-1.7412,0.0004,0.254,0.2464,1407740440476.8499,406263558778512.8,396587022188841.2,15.4
0.0001,0.75,0.5,5.0,0.45,0.5893,-0.1306,-0.1106,0.0953,0.1582,0.1569,96593076367625.42,145213989908190.2,142132779771240.12,1.36
0.0001,0.25,0.75,50.0,0.45,0.9883,-1.893,-1.9996,0.0161,0.253,0.2578,43408319014582.47,512626376468141.4,527357774095247.06,15.43
0.01,0.5,0.5,10.0,0.45,0.9677,-0.4416,-0.4991,0.0267,0.1786,0.1823,62377591419278.49,230939013631359.5,233340614388105.16,3.28
100.0,0.5,0.75,5.0,0.45,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,102195274466776.53,102195513361905.03,102192842627650.9,1.76
0.01,0.5,0.75,50.0,0.15,0.9842,-0.0592,-0.0657,0.0187,0.1531,0.1537,37051996771567.71,146109766209346.8,135489619998434.72,18.12
1.0,0.75,0.25,50.0,0.9,0.4654,-0.3621,-0.3036,0.1088,0.1736,0.17,129013608733943.25,178382319343208.97,167193457091707.6,12.33
100.0,0.25,0.75,50.0,0.45,-0.0001,-0.0001,-0.0001,0.1488,0.1488,0.1489,105260199615155.9,105260445674957.03,105257694843060.2,4.11
1.0,0.5,0.75,50.0,0.45,0.5144,-0.2191,-0.2171,0.1037,0.1643,0.1642,105904620957680.66,149016684443329.6,144711033982343.06,30.14
1.0,0.75,0.5,50.0,0.15,0.5353,0.0507,0.0533,0.1014,0.145,0.1448,70533188603843.7,105285966904485.7,99381334973438.4,14.25
0.01,0.25,0.5,5.0,0.15,0.3347,0.0215,-0.0053,0.1214,0.1472,0.1492,96123794967584.33,115849635544150.33,114609166782367.02,1.17
1.0,0.75,0.25,25.0,0.45,0.4842,-0.0662,-0.0271,0.1068,0.1536,0.1509,94968933084606.33,126764012944595.84,124024024922459.9,6.21
1.0,0.25,0.5,50.0,0.15,0.3627,-0.0021,-0.0008,0.1188,0.1489,0.1489,105941285525447.64,123240205975689.55,120929075867393.95,10.59
1.0,0.75,0.5,5.0,0.15,0.2205,0.0871,0.0882,0.1314,0.1421,0.1421,84415241019928.42,90710265734847.77,90953114493048.14,1.47
0.0,0.25,0.25,100.0,0.15,0.9694,-0.1802,-0.1889,0.026,0.1616,0.1623,47080409823172.38,221142369774170.7,218117601876885.06,6.92
100.0,0.5,0.75,100.0,0.6,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,102739581246258.62,102739821413777.05,102737136454806.88,5.76
1.0,0.5,0.5,5.0,0.6,0.2405,-0.0811,-0.1033,0.1297,0.1547,0.1564,108505061631131.92,120883454026625.12,122987646528631.45,1.79
0.0,0.5,0.75,50.0,0.9,1.0,-1.8834,-1.7759,0.0004,0.2526,0.248,1414551554213.5806,402656098050524.7,401486149645502.1,12.69
1.0,0.5,0.5,10.0,0.9,0.3155,-0.6342,-0.7471,0.1231,0.1902,0.1968,154763294450615.8,209950461665361.22,210940162987165.78,3.24
0.0,0.5,0.25,5.0,0.6,0.4558,-0.3328,-0.3365,0.1098,0.1717,0.1721,147265423780514.75,198919469575392.75,193747092515205.47,1.05
100.0,0.5,0.75,5.0,0.6,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,102739581246258.62,102739821413777.05,102737136454806.88,1.56
0.0001,0.5,0.25,100.0,0.75,0.9996,-1.1336,-1.1235,0.0031,0.2173,0.2169,10951432281011.596,379301822868741.6,386869908131447.3,8.63
1.0,0.25,0.5,10.0,0.9,-309.1514,-1048.1492,-1022.4003,2.6201,4.8187,4.7619,4151877854619010.5,7238701333848658.0,6965415091780357.0,2.52
0.0,0.75,0.5,50.0,0.9,1.0,-0.7383,-0.7106,0.0004,0.1961,0.1947,1093476984448.987,199377835408671.5,200209082151302.5,3.69
100.0,0.75,0.75,5.0,0.15,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100007495717198.95,100007729498101.88,100005115938464.45,1.59
0.0001,0.25,0.75,100.0,0.6,0.7768,-8.5425,-9.0059,0.0703,0.4596,0.4708,190854783843206.3,1187407636858773.8,1198049173883097.5,22.2
0.0001,0.5,0.25,50.0,0.3,0.9996,-0.2131,-0.2214,0.0031,0.1639,0.1645,10333758111084.451,207264810928739.0,205025847299435.34,8.57
0.0,0.75,0.75,50.0,0.75,1.0,-0.5385,-0.5292,0.0004,0.1845,0.1841,956629360135.0168,177868451642355.94,179956220962257.47,4.33
0.0,0.25,0.25,5.0,0.75,-0.5003,-1.847,-1.9003,0.1822,0.251,0.2535,323771539006470.2,401611046656102.44,395212661551334.06,0.87
0.0001,0.75,0.75,100.0,0.3,0.9998,-0.1201,-0.1346,0.0019,0.1575,0.1586,4634237335110.502,136392553987670.12,138380413667888.11,22.33
0.0001,0.5,0.25,5.0,0.9,0.3443,-0.9045,-1.109,0.1205,0.2053,0.2162,199012233456147.4,287259159372732.2,296260884574811.4,1.04
100.0,0.25,0.75,25.0,0.3,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,103517311106304.56,103517553091870.6,103514847807990.22,3.77
1.0,0.5,0.25,100.0,0.75,0.3453,-0.3309,-0.3643,0.1204,0.1716,0.1739,152513407111815.78,188268431997912.78,192674527508413.94,9.49
0.0001,0.75,0.25,5.0,0.45,0.5198,-0.06,-0.0674,0.1031,0.1532,0.1538,106177097884452.48,144428538858430.94,142311166796951.3,0.98
0.01,0.75,0.75,100.0,0.45,0.9908,-0.2064,-0.2345,0.0143,0.1634,0.1654,25503215242309.027,143487456589429.9,146891345388681.44,27.92
0.0,0.5,0.75,10.0,0.75,0.9862,-1.3172,-1.3343,0.0175,0.2265,0.2274,48099608897581.89,359293506408804.25,362219663601483.8,4.05
0.0,0.75,0.5,10.0,0.45,0.9983,-0.2003,-0.2681,0.006,0.163,0.1676,15258273123013.844,172394343463358.7,176353067604731.66,3.32
100.0,0.25,0.5,100.0,0.3,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,103517311106304.56,103517553091870.6,103514847807990.22,3.59
100.0,0.5,0.25,10.0,0.6,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,102739581246258.62,102739821413777.05,102737136454806.88,2.14
1.0,0.75,0.75,25.0,0.15,0.5712,0.0533,0.0391,0.0974,0.1447,0.1459,67730869987234.305,102655839247434.33,99755572894745.2,14.06
100.0,0.5,0.75,50.0,0.45,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,102195274466776.53,102195513361905.03,102192842627650.9,6.02
0.0,0.75,0.25,50.0,0.6,1.0,-0.3524,-0.336,0.0005,0.173,0.1721,1501675558537.761,184666528900969.22,180634886209035.38,2.89
0.0001,0.25,0.5,25.0,0.75,-31.649,-222.5265,-215.1287,0.8501,2.2242,2.1883,2197900814008104.2,5951913254001259.0,5909624623796667.0,7.25
0.01,0.5,0.5,50.0,0.6,0.98,-0.6542,-0.7406,0.0211,0.1913,0.1964,58921471743698.49,279146540261941.3,285742937445538.9,16.23
0.01,0.25,0.75,25.0,0.15,0.9456,-0.2317,-0.2039,0.0347,0.1651,0.1633,71079317154664.4,193160853464234.28,187837829748009.28,7.82
100.0,0.25,0.25,100.0,0.15,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,101957924244363.42,101958162584654.02,101955498053224.55,2.26
