n_estimators,learning_rate,random_state,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
150.0,0.1,19421221.0,-0.4842,-0.4948,-0.4914,0.1813,0.1819,0.1818,419991685985714.06,420474864278199.4,419426698068688.06,14.7
50.0,0.1,19421221.0,-0.3008,-0.3074,-0.3062,0.1697,0.1701,0.1701,356940251728864.25,356944660290654.2,356314443369911.0,8.38
100.0,0.1,19421221.0,-0.4842,-0.4948,-0.4914,0.1813,0.1819,0.1818,419991685985714.06,420474864278199.4,419426698068688.06,14.18
200.0,0.1,19421221.0,-0.4842,-0.4948,-0.4914,0.1813,0.1819,0.1818,419991685985714.06,420474864278199.4,419426698068688.06,14.14
150.0,0.0001,19421221.0,0.0956,0.0921,0.0908,0.1415,0.1418,0.1419,87335925986237.98,87500173980656.45,87000473943947.8,26.06
150.0,0.001,19421221.0,0.0956,0.0921,0.0909,0.1415,0.1418,0.1419,100680866398957.67,100837341741510.75,100181516971985.53,25.63
150.0,0.01,19421221.0,0.0021,-0.0033,-0.0069,0.1486,0.149,0.1494,209370883812000.94,209452639723399.25,208252170475583.66,26.56
150.0,1.0,19421221.0,-0.8515,-0.8449,-0.8427,0.2024,0.2021,0.2021,470169237487829.1,468082924943616.0,467138311955428.75,2.44
150.0,10.0,19421221.0,-0.0232,-0.0232,-0.0232,0.1505,0.1505,0.1506,0.0226,0.0226,0.0227,0.24
150.0,100.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.21
200.0,1.0,19421221.0,-0.8515,-0.8449,-0.8427,0.2024,0.2021,0.2021,470169237487829.1,468082924943616.0,467138311955428.75,2.46
100.0,0.01,19421221.0,0.0473,0.0419,0.0388,0.1452,0.1456,0.1459,174243675493364.72,174626552522901.75,173410757725152.2,17.22
200.0,0.01,19421221.0,-0.0454,-0.0496,-0.053,0.1521,0.1524,0.1527,242041037587549.94,241996712263257.34,240801459101197.56,33.91
100.0,1.0,19421221.0,-0.8515,-0.8449,-0.8427,0.2024,0.2021,0.2021,470169237487829.1,468082924943616.0,467138311955428.75,2.44
50.0,0.001,19421221.0,0.0951,0.0916,0.0897,0.1415,0.1418,0.142,91194950995961.42,91367025149323.78,90757567578364.16,8.68
200.0,10.0,19421221.0,-0.0232,-0.0232,-0.0232,0.1505,0.1505,0.1506,0.0226,0.0226,0.0227,0.25
100.0,0.001,19421221.0,0.0959,0.092,0.091,0.1415,0.1418,0.1419,96455089450572.97,96640235380554.77,96036706324112.25,17.33
200.0,0.001,19421221.0,0.095,0.0906,0.0903,0.1415,0.1419,0.142,105184772091683.6,105408492482394.02,104746576146795.02,34.12
50.0,1.0,19421221.0,-0.8515,-0.8449,-0.8427,0.2024,0.2021,0.2021,470169237487829.1,468082924943616.0,467138311955428.75,2.47
50.0,0.01,19421221.0,0.0842,0.0793,0.0773,0.1424,0.1428,0.143,130463813339793.53,130771553267339.06,130189941276967.1,8.55
50.0,10.0,19421221.0,-0.0232,-0.0232,-0.0232,0.1505,0.1505,0.1506,0.0226,0.0226,0.0227,0.25
100.0,10.0,19421221.0,-0.0232,-0.0232,-0.0232,0.1505,0.1505,0.1506,0.0226,0.0226,0.0227,0.28
100.0,0.0001,19421221.0,0.095,0.091,0.0894,0.1415,0.1418,0.142,87955139626548.48,88129799113292.02,87529726073563.7,18.6
50.0,0.0001,19421221.0,0.094,0.0909,0.0886,0.1416,0.1418,0.1421,88591142891044.56,88706895120447.27,87978639947130.77,8.62
50.0,100.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.21
200.0,100.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.22
100.0,100.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.21
200.0,0.0001,19421221.0,0.0955,0.0925,0.0904,0.1415,0.1417,0.142,87501144070940.14,87559371980998.98,87234482724120.84,34.27
