n_estimators,eta,max_depth,l2_leaf_reg,colsample_bylevel,subsample,max_bin,random_seed,boosting_type,max_ctr_complexity,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,silent
25,1.0,16,0.3,0.75,0.75,1024,19260817,Plain,1,0.9537,-0.3871,-0.4751,0.032,0.1752,0.1808,65611338937950.7,209188565270229.0,213990843299061.0,775.52,
25,1.0,16,0.3,0.75,0.25,4,19260817,Plain,1,0.8458,-0.3989,-0.4571,0.0584,0.176,0.1797,68843941138040.7,250774976622012.0,253175846366673.0,3.83,
25,0.0001,16,0.9,0.25,0.25,1024,19260817,Plain,1,0.001,0.0003,0.0003,0.1487,0.1487,0.1488,99614500790744.6,99635050720980.1,99636244703900.3,246.8,
25,0.0001,16,0.3,0.75,0.25,1024,19260817,Plain,1,0.0012,0.0004,0.0003,0.1487,0.1487,0.1488,99614453079582.4,99640265145761.2,99643368726770.4,829.44,
200,0.0001,2,0.9,0.25,0.25,1024,19260817,Plain,1,0.0017,0.0018,0.0016,0.1487,0.1486,0.1487,99601226876611.7,99601040086345.9,99614446337247.4,0.96,
200,0.0001,2,0.9,0.25,0.75,1024,19260817,Plain,1,0.0017,0.0018,0.0015,0.1487,0.1486,0.1487,99601142573009.7,99602550370035.3,99615567692730.0,1.13,
25,0.0001,2,0.9,0.25,0.25,1024,19260817,Plain,1,0.0002,0.0002,0.0002,0.1488,0.1488,0.1488,99675636780942.9,99676182265669.0,99675161069080.9,0.26,
25,0.0001,16,0.3,0.75,0.75,1024,19260817,Plain,1,0.0012,0.0004,0.0003,0.1487,0.1487,0.1488,99616305071048.0,99642412851488.6,99648393126260.5,809.53,
200,0.0001,16,0.9,0.25,0.25,4,19260817,Plain,1,0.0065,0.0021,0.0019,0.1483,0.1486,0.1487,99289550192954.0,99446414432172.0,99459570825204.1,22.64,
25,1.0,2,0.9,0.75,0.75,4,19260817,Plain,1,0.0601,0.0547,0.0459,0.1442,0.1446,0.1454,104735987759290.0,104464897821744.0,105311824813956.0,0.24,
200,1.0,2,0.3,0.25,0.25,1024,19260817,Plain,1,0.2062,0.0099,-0.0488,0.1326,0.148,0.1524,111214227346593.0,122473425727579.0,126650004748759.0,0.98,
25,1.0,16,0.3,0.25,0.75,4,19260817,Plain,1,0.8384,-0.4575,-0.5074,0.0598,0.1796,0.1828,70287968515160.2,254792054140324.0,251158343525634.0,3.66,
25,0.0001,16,0.3,0.25,0.25,1024,19260817,Plain,1,0.0012,0.0003,0.0003,0.1487,0.1487,0.1488,99616356624923.9,99642386046808.3,99642987389270.7,283.14,
200,0.0001,2,0.3,0.75,0.75,4,19260817,Plain,1,0.0015,0.0016,0.0015,0.1487,0.1486,0.1487,99608976196057.5,99609012239602.4,99625724654971.7,1.11,
25,1.0,2,0.3,0.25,0.25,1024,19260817,Plain,1,0.0941,0.0723,0.0404,0.1416,0.1433,0.1458,106617527949544.0,108903034532429.0,109603859651029.0,0.27,
200,1.0,16,0.9,0.25,0.25,4,19260817,Plain,1,0.9258,-0.48,-0.5063,0.0405,0.181,0.1827,10360039617762.9,262716210095699.0,270652616597446.0,25.36,
