max_bins,interactions,learning_rate,max_rounds,min_samples_leaf,max_leaves,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
4.0,16.0,100.0,500.0,1.0,100000.0,-1322905519.3988,-1323047273.303,-1321656582.4616,9152.8764,9152.9387,9152.9084,2.6543897351233777e+18,2.651974596946762e+18,2.652166984084548e+18,5.07
65535.0,16.0,0.1,25.0,32.0,100.0,0.4199,0.3734,0.3615,0.1917,0.1992,0.2012,170223541604528.66,179403105697125.8,178764834456039.16,3.29
4.0,2.0,100.0,25.0,1.0,100.0,-1322905519.3988,-1323047273.303,-1321656582.4616,9152.8764,9152.9387,9152.9084,2.6543897351233777e+18,2.651974596946762e+18,2.652166984084548e+18,2.64
4.0,2.0,0.1,500.0,32.0,100.0,0.3076,0.3083,0.2898,0.2094,0.2093,0.2122,189719259823747.75,190574718739225.84,192044754781754.3,5.39
1024.0,16.0,0.0001,25.0,1.0,100000.0,-10.2294,-10.2309,-10.2185,0.8433,0.8433,0.8433,33329407325350.023,33383476887709.492,33464056668609.164,3.44
1024.0,2.0,0.0001,25.0,32.0,100.0,-10.9882,-10.9895,-10.9765,0.8713,0.8713,0.8713,26700575638952.73,26713752133184.863,26781336970311.188,2.96
4.0,2.0,100.0,500.0,32.0,100000.0,-1322905519.3988,-1323047273.303,-1321656582.4616,9152.8764,9152.9387,9152.9084,2.6543897351233777e+18,2.651974596946762e+18,2.652166984084548e+18,3.67
65535.0,16.0,100.0,500.0,1.0,100000.0,-1328849842.2219,-1328963904.9628,-1327450165.0107,9173.4171,9173.3818,9172.9477,2.480609990507827e+18,2.4638388041936553e+18,2.463340550805037e+18,4.52
1024.0,2.0,0.0001,500.0,32.0,100000.0,0.0575,0.0559,0.0512,0.2443,0.2445,0.2452,210623387746289.0,211126960351097.03,211830497507555.25,20.79
65535.0,2.0,0.0001,25.0,1.0,100.0,-10.9882,-10.9895,-10.9765,0.8713,0.8713,0.8713,26695974563614.715,26715187566331.395,26781033293579.18,3.0
65535.0,16.0,0.1,25.0,1.0,100000.0,0.4201,0.3727,0.3613,0.1916,0.1993,0.2012,170418438756328.4,179801121567255.06,179189362519786.62,3.34
65535.0,16.0,0.1,500.0,32.0,100.0,0.4226,0.3735,0.3623,0.1912,0.1992,0.2011,169090178292352.4,178625272715695.4,177820414354942.5,4.88
65535.0,2.0,0.1,500.0,32.0,100000.0,0.4082,0.3668,0.3517,0.1936,0.2002,0.2027,172902166370221.9,181244068097212.6,181421547018458.84,5.56
65535.0,2.0,100.0,500.0,1.0,100.0,-1328849817.0573,-1328963917.3514,-1327449692.6122,9173.417,9173.3818,9172.9461,2.480609946855848e+18,2.463839114441967e+18,2.4633407024774897e+18,3.65
1024.0,2.0,100.0,500.0,32.0,100.0,-1328911999.5987,-1329025389.8428,-1327530546.5626,9173.6316,9173.594,9173.2254,2.4804504307442867e+18,2.4634094254819354e+18,2.463230316731476e+18,3.66
65535.0,2.0,100.0,25.0,1.0,100000.0,-1328849842.2219,-1328963904.9628,-1327450165.0107,9173.4171,9173.3818,9172.9477,2.480609990507827e+18,2.4638388041936553e+18,2.463340550805037e+18,2.86
1024.0,2.0,0.0001,25.0,32.0,100000.0,-10.9882,-10.9895,-10.9765,0.8713,0.8713,0.8713,26700574313342.312,26713753923232.99,26781340981388.996,3.01
1024.0,16.0,100.0,500.0,1.0,100.0,-1328849817.0573,-1328963917.3514,-1327449692.6122,9173.417,9173.3818,9172.9461,2.480609946855848e+18,2.463839114441967e+18,2.4633407024774897e+18,4.59
4.0,2.0,100.0,25.0,32.0,100.0,-1322905519.3988,-1323047273.303,-1321656582.4616,9152.8764,9152.9387,9152.9084,2.6543897351233777e+18,2.651974596946762e+18,2.652166984084548e+18,2.58
4.0,16.0,0.1,500.0,32.0,100000.0,0.3836,0.3574,0.3487,0.1976,0.2017,0.2032,174032196213106.4,179734975313306.72,178851685142419.44,7.11
4.0,16.0,0.0001,25.0,32.0,100.0,-10.2417,-10.2431,-10.2302,0.8437,0.8438,0.8437,35164608432368.55,35185869284814.1,35242549601968.7,3.14
