gamma,subsample,colsample_bytree,max_depth,eta,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
0.01,0.25,0.75,100.0,0.9,0.9205,-0.0526,-0.0625,0.0419,0.1526,0.1534,64560700067710.4,147526627123314.44,147297548741581.4,107.55
100.0,0.5,0.75,5.0,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100446286180188.58,100446520986822.92,100443895959994.6,9.03
0.01,0.5,0.5,100.0,0.9,0.9845,0.0485,0.0255,0.0185,0.1451,0.1469,32752506732706.363,116792857856964.5,119033811118380.78,100.81
1.0,0.25,0.5,10.0,0.75,0.374,0.0562,0.0623,0.1177,0.1445,0.1441,78351431209014.97,95394725931474.12,96306831188612.95,9.4
0.0,0.5,0.75,100.0,0.9,0.9974,0.0106,-0.0048,0.0076,0.148,0.1492,7297269940864.344,119735178935544.77,122288445042056.95,142.05
0.0001,0.75,0.5,5.0,0.45,0.3979,0.1137,0.1135,0.1154,0.1401,0.1401,71338214551111.38,88233926752133.28,88821570429558.19,6.43
0.0001,0.25,0.75,50.0,0.45,0.9273,-0.067,-0.0597,0.0401,0.1537,0.1532,49518491645098.45,147629966789764.44,147635731228651.22,66.86
0.01,0.5,0.5,10.0,0.45,0.7827,0.0505,0.0306,0.0693,0.145,0.1466,47010572635616.18,97283912627613.95,100931340519996.44,13.41
100.0,0.5,0.75,5.0,0.45,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100446286180188.58,100446520986822.92,100443895959994.6,8.95
0.01,0.5,0.75,50.0,0.15,0.9825,0.031,0.0109,0.0197,0.1464,0.148,30452222863116.8,119089309452794.72,117619913840014.05,89.71
1.0,0.75,0.25,50.0,0.9,0.5753,0.1073,0.0939,0.097,0.1406,0.1417,63371443861377.93,90688051183424.06,94607815096797.28,33.24
100.0,0.25,0.75,50.0,0.45,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,101589240232215.06,101589477710657.44,101586822814282.3,20.64
1.0,0.5,0.75,50.0,0.45,0.609,0.0528,0.0732,0.093,0.1448,0.1433,63463002204062.94,96537147372145.78,98392981725075.0,82.51
1.0,0.75,0.5,50.0,0.15,0.6328,0.0891,0.077,0.0902,0.142,0.143,58088327582447.94,94120525757194.06,94946758655608.28,62.08
0.01,0.25,0.5,5.0,0.15,0.3189,0.071,0.0909,0.1228,0.1434,0.1419,79937730027111.14,92165264986099.12,92587192452735.2,4.74
1.0,0.75,0.25,25.0,0.45,0.5515,0.0955,0.1067,0.0996,0.1415,0.1407,63214887811023.16,90598561997165.52,92506600550522.92,19.76
1.0,0.25,0.5,50.0,0.15,0.4739,0.0307,0.0479,0.1079,0.1465,0.1452,87020787264041.97,108788398505105.4,110243240612208.7,46.37
1.0,0.75,0.5,5.0,0.15,0.2961,0.117,0.1228,0.1248,0.1398,0.1394,77919002101212.1,87061318298826.61,87410753619113.81,6.22
0.0,0.25,0.25,100.0,0.15,0.9384,-0.0272,-0.0421,0.0369,0.1508,0.1519,50139306132102.28,162931565582268.62,166261019767479.75,35.83
100.0,0.5,0.75,100.0,0.6,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100446286180188.58,100446520986822.92,100443895959994.6,33.75
1.0,0.5,0.5,5.0,0.6,0.2879,0.1131,0.1133,0.1255,0.1401,0.1402,78414547153189.56,87607002927320.0,88514255809710.89,6.32
0.0,0.5,0.75,50.0,0.9,0.9957,0.0209,-0.0248,0.0097,0.1472,0.1507,10378063747607.057,116798220381423.56,122867089867003.34,88.96
