n_neighbors,weights,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
20.0,distance,1.0,0.0475,0.0514,0.0,0.1452,0.145,40323364.0492,88143220429974.22,89088946425368.25,0.0
100.0,uniform,0.0969,0.0868,0.0834,0.1414,0.1422,0.1425,86406892132802.23,84952420641126.9,85490166623782.4,0.0
45.0,uniform,0.1119,0.0803,0.0729,0.1402,0.1427,0.1433,86594241258044.88,86504472337856.02,86387567857900.12,0.0
10.0,uniform,0.1885,0.0011,0.0198,0.134,0.1487,0.1474,80889103596524.7,90163322868830.25,89096703659010.28,0.0
200.0,distance,1.0,0.0857,0.0839,0.0,0.1423,0.1425,312318184.8753,84527778308403.81,85363330387982.02,0.0
130.0,distance,1.0,0.0861,0.0818,0.0,0.1422,0.1426,214454921.6321,85111740475261.89,85575467276883.19,0.0
160.0,distance,1.0,0.0848,0.0826,0.0,0.1423,0.1426,256893704.3538,84668429457139.72,85570348810896.78,0.0
90.0,distance,1.0,0.0838,0.0825,0.0,0.1424,0.1426,155204387.4139,85512104983472.4,85855376319952.83,0.0
120.0,uniform,0.0945,0.0856,0.0821,0.1416,0.1423,0.1426,86299127077546.47,84945655432132.8,85426671253443.88,0.0
20.0,uniform,0.1406,0.0478,0.0499,0.1379,0.1452,0.1451,85041868099562.55,87829325765866.73,89071305510874.88,0.0
75.0,uniform,0.1022,0.085,0.0793,0.141,0.1423,0.1428,86550216027839.38,85559598148347.11,85832195018672.53,0.0
150.0,uniform,0.0926,0.0842,0.0817,0.1417,0.1424,0.1426,86324526248818.88,84527903776747.28,85310686376958.83,0.0
200.0,uniform,0.0905,0.085,0.0833,0.1419,0.1423,0.1425,86112443168694.31,84290275810829.64,85215866623919.98,0.0
195.0,distance,1.0,0.085,0.0833,0.0,0.1423,0.1425,305623151.2807,84594394798713.36,85502202257627.12,0.0
105.0,uniform,0.0964,0.0862,0.0829,0.1414,0.1422,0.1426,86480549729492.2,84874379123087.84,85458721297519.5,0.0
55.0,distance,1.0,0.0822,0.0773,0.0,0.1425,0.143,100595475.3318,86379182738001.88,86540470365640.08,0.0
5.0,distance,1.0,-0.0711,-0.0461,0.0,0.154,0.1522,10212958.5442,91788663616635.05,89850255764812.67,0.0
10.0,distance,1.0,0.001,0.0205,0.0,0.1487,0.1473,21046312.6115,90389590562140.31,89115479914690.8,0.0
130.0,uniform,0.0937,0.0857,0.0811,0.1416,0.1423,0.1427,86333457825530.05,84863041822301.03,85392481438646.2,0.0
30.0,distance,1.0,0.0666,0.0627,0.0,0.1437,0.1441,58342147.9822,87151747901609.42,87438537459027.44,0.0
60.0,distance,1.0,0.0821,0.0781,0.0,0.1425,0.1429,108774475.6455,86289828620821.12,86578978458496.17,0.0
170.0,uniform,0.0918,0.0839,0.0827,0.1418,0.1424,0.1426,86221648933244.94,84220882674456.36,85457298432077.75,0.0
90.0,uniform,0.0992,0.0835,0.0822,0.1412,0.1424,0.1426,86420075512176.94,85230357977301.05,85682063743027.7,0.0
160.0,uniform,0.0923,0.0841,0.0821,0.1417,0.1424,0.1426,86263069325472.27,84401267520889.05,85413972179376.16,0.0
155.0,distance,1.0,0.0844,0.0826,0.0,0.1424,0.1426,249743985.9689,84705644925497.34,85538787043105.81,0.0
140.0,distance,1.0,0.0847,0.0828,0.0,0.1423,0.1426,228930819.4495,84950999893093.14,85456896781468.81,0.0
150.0,distance,1.0,0.0849,0.0823,0.0,0.1423,0.1426,242872050.2582,84788924244582.14,85484805516295.14,0.0
180.0,distance,1.0,0.0853,0.0836,0.0,0.1423,0.1425,285250684.39,84416377619231.98,85459814290656.08,0.0
105.0,distance,1.0,0.0864,0.0832,0.0,0.1422,0.1425,177216542.1823,85166280458892.64,85643493949050.67,0.0
65.0,uniform,0.1033,0.0842,0.0775,0.1409,0.1424,0.143,86773058866783.17,85866114155848.89,86213036993790.16,0.0
95.0,distance,1.0,0.0853,0.0831,0.0,0.1423,0.1425,162399753.0642,85348193675490.42,85656572002448.34,0.0
40.0,uniform,0.1147,0.0738,0.0691,0.14,0.1432,0.1436,86356275212909.39,86751120582432.48,86798171252755.89,0.0
110.0,distance,1.0,0.0858,0.0836,0.0,0.1422,0.1425,184730004.6813,85266393297434.38,85615479148128.0,0.0
85.0,distance,1.0,0.0855,0.0827,0.0,0.1423,0.1426,147744410.6905,85504534515350.48,85607022421117.5,0.0
185.0,uniform,0.0913,0.0846,0.083,0.1418,0.1423,0.1425,86098483431124.33,84191197496676.22,85260896854127.64,0.0
190.0,distance,1.0,0.0854,0.0833,0.0,0.1423,0.1425,298954201.6171,84530048423637.05,85519225466346.66,0.0
40.0,distance,1.0,0.0732,0.0699,0.0,0.1432,0.1436,75816104.9851,87024907724020.45,86959975217698.69,0.0
75.0,distance,1.0,0.0849,0.0798,0.0,0.1423,0.1428,132741906.3307,85847240221122.1,86022421066899.72,0.0
145.0,uniform,0.0931,0.0842,0.0822,0.1417,0.1424,0.1426,86300628506390.14,84559280349495.78,85180134056888.1,0.0
65.0,distance,1.0,0.0839,0.0781,0.0,0.1424,0.1429,116904064.9383,86131350139957.77,86382916414998.2,0.0
5.0,uniform,0.2757,-0.069,-0.045,0.1266,0.1538,0.1522,71560350833475.1,91736233959957.86,89909444399343.34,0.0
115.0,distance,1.0,0.0861,0.0828,0.0,0.1422,0.1426,191691481.0,85170792385611.34,85714846301395.62,0.0
15.0,uniform,0.1569,0.0308,0.0449,0.1366,0.1465,0.1455,83860806635395.81,88759542002555.08,88724197486357.62,0.0
155.0,uniform,0.0925,0.0836,0.0821,0.1417,0.1424,0.1426,86295615671379.78,84439628711001.73,85377103899824.77,0.0
180.0,uniform,0.0914,0.0846,0.0831,0.1418,0.1423,0.1425,86105004839964.53,84142286864083.75,85309557570375.05,0.0
95.0,uniform,0.098,0.0851,0.0828,0.1413,0.1423,0.1426,86503084332576.0,85060040873677.73,85460758241730.88,0.0
125.0,distance,1.0,0.0861,0.0821,0.0,0.1422,0.1426,207123858.8289,85144784517116.5,85767517126377.6,0.0
80.0,distance,1.0,0.0855,0.0817,0.0,0.1423,0.1426,140330013.964,85575749382246.9,85710678871303.08,0.0
55.0,uniform,0.107,0.0828,0.0768,0.1406,0.1425,0.143,86784020347292.34,86127260684851.83,86372175040848.38,0.0
50.0,uniform,0.1095,0.0836,0.0756,0.1404,0.1424,0.1431,86625687851048.78,86114345285863.1,86506092549198.72,0.0
175.0,uniform,0.0915,0.0841,0.0824,0.1418,0.1424,0.1426,86169746809187.45,84215254475377.23,85448078264015.14,0.0
30.0,uniform,0.1241,0.0674,0.0617,0.1392,0.1437,0.1442,85870969618954.55,86814544416752.16,87284969092017.86,0.0
115.0,uniform,0.0954,0.0858,0.0823,0.1415,0.1422,0.1426,86285875336013.05,84901902178312.3,85545379989294.14,0.0
70.0,uniform,0.1028,0.0836,0.078,0.1409,0.1424,0.1429,86687889903144.47,85720030247349.98,86157775089055.97,0.0
70.0,distance,1.0,0.0835,0.0786,0.0,0.1424,0.1429,125197606.1605,85992704807658.58,86323076538166.56,0.0
165.0,distance,1.0,0.0849,0.0823,0.0,0.1423,0.1426,263521458.9322,84619655433464.22,85604718180363.36,0.0
85.0,uniform,0.1001,0.0856,0.0824,0.1411,0.1423,0.1426,86477134714867.36,85205817513302.88,85397538083523.83,0.0
15.0,distance,1.0,0.031,0.0457,0.0,0.1464,0.1454,31005988.5392,89043868359157.56,88729662682473.0,0.0
170.0,distance,1.0,0.0846,0.0832,0.0,0.1423,0.1425,270962042.6286,84496849023807.62,85600076939682.77,0.0
135.0,distance,1.0,0.0851,0.0829,0.0,0.1423,0.1426,221602891.7683,85119274223616.78,85462733972504.42,0.0
80.0,uniform,0.1007,0.0855,0.0813,0.1411,0.1423,0.1427,86569900385575.48,85267002859352.42,85496516160816.25,0.0
195.0,uniform,0.0905,0.0843,0.0827,0.1419,0.1424,0.1426,86125519555223.0,84356952149473.38,85369036994213.5,0.0
25.0,uniform,0.1316,0.062,0.0531,0.1386,0.1441,0.1448,85833233707349.83,87372674158765.17,87735362918952.42,0.0
120.0,distance,1.0,0.0859,0.0827,0.0,0.1422,0.1426,199428135.879,85203275153070.12,85604195846782.77,0.0
135.0,uniform,0.0932,0.0845,0.0823,0.1417,0.1423,0.1426,86350731742988.81,84877063729831.55,85266286651329.53,0.0
190.0,uniform,0.0907,0.0847,0.0827,0.1419,0.1423,0.1426,86102044786169.62,84282931998434.72,85383227052685.94,0.0
50.0,distance,1.0,0.0827,0.076,0.0,0.1425,0.1431,92566582.0114,86389756034692.45,86665933851967.4,0.0
100.0,distance,1.0,0.0868,0.0836,0.0,0.1422,0.1425,169848186.9604,85245967673566.3,85676966832480.72,0.0
165.0,uniform,0.0922,0.0842,0.0816,0.1417,0.1424,0.1426,86216662235752.95,84352930871399.95,85457841707973.67,0.0
45.0,distance,1.0,0.0794,0.0735,0.0,0.1427,0.1433,84224128.8811,86762063359797.6,86576361518582.98,0.0
35.0,uniform,0.1176,0.0727,0.0699,0.1398,0.1433,0.1436,86106300716049.88,86488364697393.89,86353703660386.25,0.02
110.0,uniform,0.096,0.0856,0.0833,0.1415,0.1423,0.1425,86322876951982.98,84997163273337.86,85430134637280.52,0.01
35.0,distance,1.0,0.0719,0.0703,0.0,0.1433,0.1435,67130329.2917,86825514627055.62,86580600649207.84,0.0
25.0,distance,1.0,0.061,0.0548,0.0,0.1442,0.1447,49373452.903,87700944418566.98,87863961945308.11,0.0
60.0,uniform,0.1057,0.0824,0.0777,0.1407,0.1425,0.1429,86803482049955.61,86036545382430.97,86421432055414.02,0.0
125.0,uniform,0.0942,0.0858,0.0815,0.1416,0.1422,0.1427,86336572712908.08,84892548541529.16,85610045882981.52,0.0
145.0,distance,1.0,0.0848,0.0827,0.0,0.1423,0.1426,235843374.5068,84825846453796.98,85378064324142.78,0.0
185.0,distance,1.0,0.0853,0.0835,0.0,0.1423,0.1425,291909848.4026,84451992067789.89,85415177592171.33,0.0
140.0,uniform,0.093,0.084,0.0823,0.1417,0.1424,0.1426,86369881911805.3,84694376240923.48,85268839904316.67,0.0
175.0,distance,1.0,0.0849,0.083,0.0,0.1423,0.1425,278102863.1792,84483575838449.45,85587282544080.23,0.0
