n_estimators,max_depth,random_state,ccp_alpha,max_samples,max_features,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
100.0,50.0,19421220.0,0.0,0.75,0.5,0.8617,0.3916,0.3837,0.0936,0.1963,0.1976,80624589369987.83,173370319589480.06,174083986949711.6,29.21
100.0,5.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,10.78
100.0,100.0,19421220.0,0.0,0.75,0.75,0.8614,0.3939,0.3773,0.0937,0.1959,0.1987,80098826524649.06,172269281825690.75,174678303616080.12,43.03
100.0,10.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,21.55
50.0,100.0,19421220.0,0.0001,0.75,0.75,0.4722,0.3961,0.3754,0.1828,0.1955,0.199,167463559492488.53,181573866574515.28,184765751834097.47,21.96
100.0,5.0,19421220.0,0.01,0.5,0.5,0.191,0.1925,0.191,0.2263,0.2261,0.2265,244342182211092.2,244053107301140.03,244640457046533.12,7.44
50.0,50.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285165704217878.1,285136936701450.1,285458543893759.44,22.03
100.0,25.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,43.66
100.0,100.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,29.84
50.0,10.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285165704217878.1,285136936701450.1,285458543893759.44,14.22
50.0,50.0,19421220.0,0.0001,0.75,0.75,0.4722,0.3961,0.3754,0.1828,0.1955,0.199,167463559492488.53,181573866574515.28,184765751834097.47,22.02
50.0,50.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,10.75
100.0,25.0,19421220.0,0.0001,0.75,0.75,0.4761,0.3986,0.3775,0.1821,0.1952,0.1986,166782631832467.38,181113368838955.25,184262303567628.2,43.55
50.0,100.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285165704217878.1,285136936701450.1,285458543893759.44,22.03
