n_estimators,max_depth,random_state,ccp_alpha,max_samples,max_features,Train score,Val score,Test score,Time
50.0,5.0,19421220.0,0.0,0.5,0.5,0.1197,0.0924,0.0587,4.07
50.0,5.0,19421220.0,0.0,0.5,0.75,0.1217,0.0919,0.0569,5.99
50.0,5.0,19421220.0,0.0,0.75,0.5,0.1223,0.0906,0.0577,5.38
50.0,5.0,19421220.0,0.0,0.75,0.75,0.1241,0.0892,0.0552,7.94
50.0,5.0,19421220.0,0.0001,0.5,0.5,0.0946,0.0851,0.0544,3.99
50.0,5.0,19421220.0,0.0001,0.5,0.75,0.0991,0.087,0.0549,5.94
50.0,5.0,19421220.0,0.0001,0.75,0.5,0.0824,0.0826,0.0535,5.37
50.0,5.0,19421220.0,0.0001,0.75,0.75,0.0853,0.083,0.0511,8.05
50.0,5.0,19421220.0,0.01,0.5,0.5,-0.0,-0.0,-0.0,4.0
50.0,5.0,19421220.0,0.01,0.5,0.75,-0.0,-0.0,-0.0,5.89
50.0,5.0,19421220.0,0.01,0.75,0.5,-0.0,-0.0,-0.0,5.33
50.0,5.0,19421220.0,0.01,0.75,0.75,-0.0,-0.0,-0.0,7.91
50.0,5.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,4.03
50.0,5.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,5.93
50.0,5.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,5.32
50.0,5.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,7.99
50.0,5.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,4.09
50.0,5.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,5.9
50.0,5.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,5.32
50.0,5.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,8.01
50.0,5.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,4.0
50.0,5.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,6.0
50.0,5.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,5.33
50.0,5.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,8.06
50.0,10.0,19421220.0,0.0,0.5,0.5,0.3106,0.0977,0.0485,7.76
50.0,10.0,19421220.0,0.0,0.5,0.75,0.3019,0.0908,0.0442,11.63
50.0,10.0,19421220.0,0.0,0.75,0.5,0.3427,0.089,0.0498,10.36
50.0,10.0,19421220.0,0.0,0.75,0.75,0.3422,0.0914,0.0415,15.55
50.0,10.0,19421220.0,0.0001,0.5,0.5,0.1296,0.0899,0.0561,7.71
50.0,10.0,19421220.0,0.0001,0.5,0.75,0.1354,0.093,0.0537,11.64
50.0,10.0,19421220.0,0.0001,0.75,0.5,0.094,0.0842,0.0545,10.35
50.0,10.0,19421220.0,0.0001,0.75,0.75,0.1008,0.0855,0.0512,15.45
50.0,10.0,19421220.0,0.01,0.5,0.5,-0.0,-0.0,-0.0,7.82
50.0,10.0,19421220.0,0.01,0.5,0.75,-0.0,-0.0,-0.0,11.66
50.0,10.0,19421220.0,0.01,0.75,0.5,-0.0,-0.0,-0.0,10.54
50.0,10.0,19421220.0,0.01,0.75,0.75,-0.0,-0.0,-0.0,15.99
50.0,10.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,7.7
50.0,10.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,11.64
50.0,10.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,10.83
50.0,10.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,15.6
50.0,10.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,7.66
50.0,10.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,11.54
50.0,10.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,10.37
50.0,10.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,15.73
50.0,10.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,7.66
50.0,10.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,11.54
50.0,10.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,10.32
50.0,10.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,15.42
50.0,25.0,19421220.0,0.0,0.5,0.5,0.633,0.0654,0.0029,11.3
50.0,25.0,19421220.0,0.0,0.5,0.75,0.6265,0.0725,-0.0026,18.03
50.0,25.0,19421220.0,0.0,0.75,0.5,0.7651,0.0828,0.0081,16.1
50.0,25.0,19421220.0,0.0,0.75,0.75,0.7635,0.0496,-0.0212,25.33
50.0,25.0,19421220.0,0.0001,0.5,0.5,0.1344,0.0905,0.0539,11.41
50.0,25.0,19421220.0,0.0001,0.5,0.75,0.154,0.0922,0.0534,18.12
50.0,25.0,19421220.0,0.0001,0.75,0.5,0.0902,0.0845,0.0523,16.19
50.0,25.0,19421220.0,0.0001,0.75,0.75,0.0975,0.0846,0.0516,25.01
50.0,25.0,19421220.0,0.01,0.5,0.5,-0.0,-0.0,-0.0,11.41
50.0,25.0,19421220.0,0.01,0.5,0.75,-0.0,-0.0,-0.0,18.24
50.0,25.0,19421220.0,0.01,0.75,0.5,-0.0,-0.0,-0.0,16.01
50.0,25.0,19421220.0,0.01,0.75,0.75,-0.0,-0.0,-0.0,25.32
50.0,25.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,11.58
50.0,25.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,18.45
50.0,25.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,16.12
50.0,25.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,25.35
50.0,25.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,11.43
50.0,25.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,18.29
50.0,25.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,16.2
50.0,25.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,25.27
