learning_rate,n_estimators,subsample,max_features,ccp_alpha,max_depth,random_state,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
100.0,200.0,0.25,0.75,0.1,5.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07
100.0,50.0,0.25,0.75,0.1,5.0,19260817.0,-1.3537781716291535e+195,-1.353911589600975e+195,-1.3524215708997402e+195,5.474073568746741e+96,5.474073568746741e+96,5.474073568746741e+96,2.409470308980884e+112,2.409475941440135e+112,2.4094129732165844e+112,1.15
100.0,200.0,0.75,0.25,0.0,5.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
0.1,50.0,0.75,0.25,0.0,100.0,19260817.0,0.9995,0.0404,0.0086,0.0035,0.1457,0.1482,3058996985157.391,114345689104152.14,118991203218651.42,15.82
0.1,50.0,0.25,0.25,0.0,100.0,19260817.0,0.8578,-0.1839,-0.1308,0.0561,0.1619,0.1583,77375565818174.34,184506300228860.44,181990507404832.7,8.26
0.0001,200.0,0.75,0.75,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684462336956.22,99684695362725.4,99682090245125.22,64.51
0.1,200.0,0.75,0.75,0.0,5.0,19260817.0,0.5158,0.0377,0.0369,0.1035,0.1459,0.1461,72168666052646.23,106551197529895.6,101679980354749.92,26.32
0.1,50.0,0.25,0.75,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100585456726431.23,100585691858395.38,100583063194534.44,4.62
100.0,200.0,0.75,0.25,0.1,100.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.38
0.0001,200.0,0.75,0.25,0.0,100.0,19260817.0,0.0306,0.0046,0.0044,0.1465,0.1484,0.1485,98237765787642.38,99781003999654.72,99781698791024.9,41.87
0.0001,50.0,0.75,0.25,0.0,5.0,19260817.0,0.001,0.0009,0.0009,0.1487,0.1487,0.1488,99634281183096.86,99641455340193.64,99633030725820.3,2.55
0.0001,50.0,0.75,0.25,0.0,100.0,19260817.0,0.0077,0.0012,0.0011,0.1482,0.1487,0.1488,99322347694604.52,99703145885868.08,99707781453678.4,10.62
0.0001,50.0,0.25,0.25,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99682920074395.88,99683153096559.8,99680548019264.56,1.65
0.1,200.0,0.75,0.75,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99889846706386.23,99890080212268.84,99887469727228.05,26.17
100.0,50.0,0.75,0.75,0.1,100.0,19260817.0,-8.955927008357022e+194,-8.956809635690125e+194,-8.946952408701974e+194,4.452379237656503e+96,4.452379237656503e+96,4.452379237656502e+96,1.9597609426927013e+112,1.959765523896135e+112,1.9597143082141284e+112,3.18
0.0001,50.0,0.25,0.25,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99682920074395.88,99683153096559.8,99680548019264.56,0.97
0.1,200.0,0.25,0.25,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100156112812361.3,100156346940676.58,100153729497133.86,3.83
0.1,200.0,0.75,0.25,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99889846706386.23,99890080212268.84,99887469727228.05,8.89
0.1,200.0,0.25,0.25,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100156112812361.3,100156346940676.58,100153729497133.86,3.81
0.1,200.0,0.75,0.75,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99889846706386.23,99890080212268.84,99887469727228.05,62.5
0.0001,200.0,0.75,0.25,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684462336956.22,99684695362725.4,99682090245125.22,8.82
0.1,50.0,0.25,0.25,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100585456726431.23,100585691858395.38,100583063194534.44,0.96
0.1,200.0,0.25,0.75,0.0,5.0,19260817.0,0.4325,-0.0272,-0.0313,0.1121,0.1508,0.1512,92947965866107.2,121924240844339.86,119118256906993.66,11.26
0.0001,200.0,0.25,0.75,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99678853794927.88,99679086807586.31,99676481836557.77,18.41
0.1,50.0,0.75,0.75,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100367850150931.64,100368084774211.28,100365461797201.72,18.0
100.0,200.0,0.25,0.25,0.1,100.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.47
