n_estimators,learning_rate,random_state,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
150.0,0.1,19421221.0,-0.5108,-0.5029,-0.5412,0.1829,0.1824,0.1848,463756559482681.1,464639170776918.5,464913640124535.5,10.93
50.0,0.1,19421221.0,-0.3514,-0.34,-0.3797,0.173,0.1722,0.1748,399110867209619.44,399757805647467.75,399874003219050.0,6.42
100.0,0.1,19421221.0,-0.5108,-0.5029,-0.5412,0.1829,0.1824,0.1848,463756559482681.1,464639170776918.5,464913640124535.5,10.82
200.0,0.1,19421221.0,-0.5108,-0.5029,-0.5412,0.1829,0.1824,0.1848,463756559482681.1,464639170776918.5,464913640124535.5,10.99
150.0,0.0001,19421221.0,0.0608,0.0721,0.0428,0.1442,0.1433,0.1456,90560160892634.5,89806352895078.05,90625497112377.94,20.11
150.0,0.001,19421221.0,0.0612,0.0735,0.0403,0.1442,0.1432,0.1458,106082875061014.61,105170057271177.97,106039926606120.8,20.08
150.0,0.01,19421221.0,-0.0519,-0.0342,-0.0814,0.1526,0.1513,0.1548,238783433651788.5,238053111661637.78,239505235904693.25,20.01
150.0,1.0,19421221.0,0.0542,0.059,0.0344,0.1447,0.1443,0.1463,94874748106975.19,94382195935500.62,94895490430427.97,1.42
150.0,10.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.26
150.0,100.0,19421221.0,-41.1128,-41.123,-41.0732,0.9655,0.9656,0.9655,4197829889781157.0,4198150441287008.5,4197805923820187.0,0.22
200.0,1.0,19421221.0,0.0542,0.059,0.0344,0.1447,0.1443,0.1463,94874748106975.19,94382195935500.62,94895490430427.97,1.43
100.0,0.01,19421221.0,0.0076,0.0242,-0.0206,0.1482,0.147,0.1504,192140321479705.6,191020471032238.78,192799150810665.47,13.47
200.0,0.01,19421221.0,-0.1101,-0.0921,-0.1379,0.1568,0.1555,0.1588,276563689035088.75,275992499050784.22,276981269034270.62,28.04
100.0,1.0,19421221.0,0.0542,0.059,0.0344,0.1447,0.1443,0.1463,94874748106975.19,94382195935500.62,94895490430427.97,1.42
50.0,0.001,19421221.0,0.0608,0.0716,0.0426,0.1442,0.1433,0.1456,95871975746631.78,95170540383857.19,95969679777074.27,6.77
200.0,10.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.25
100.0,0.001,19421221.0,0.0615,0.0731,0.0413,0.1441,0.1432,0.1457,100261157390413.67,99403612849281.61,100284765130309.3,13.58
200.0,0.001,19421221.0,0.0603,0.0731,0.0393,0.1442,0.1432,0.1459,111578395162856.44,110587580156503.95,111647688268033.84,26.98
50.0,1.0,19421221.0,0.0542,0.059,0.0344,0.1447,0.1443,0.1463,94874748106975.19,94382195935500.62,94895490430427.97,1.41
50.0,0.01,19421221.0,0.0477,0.0622,0.0254,0.1452,0.1441,0.147,143405093672851.6,142287685082134.44,143809983794377.84,6.64
50.0,10.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.24
100.0,10.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.24
100.0,0.0001,19421221.0,0.0604,0.0717,0.043,0.1442,0.1433,0.1456,90553530807247.27,89752339476728.64,90654180551842.66,13.18
50.0,0.0001,19421221.0,0.06,0.0708,0.0428,0.1442,0.1434,0.1456,90244144483403.89,89468118374069.92,90439536888667.1,6.67
50.0,100.0,19421221.0,-41.1128,-41.123,-41.0732,0.9655,0.9656,0.9655,4197829889781157.0,4198150441287008.5,4197805923820187.0,0.22
200.0,100.0,19421221.0,-41.1128,-41.123,-41.0732,0.9655,0.9656,0.9655,4197829889781157.0,4198150441287008.5,4197805923820187.0,0.22
100.0,100.0,19421221.0,-41.1128,-41.123,-41.0732,0.9655,0.9656,0.9655,4197829889781157.0,4198150441287008.5,4197805923820187.0,0.22
200.0,0.0001,19421221.0,0.0607,0.072,0.0429,0.1442,0.1433,0.1456,91749500424062.31,90982952926001.88,91820881032895.9,26.81
