n_estimators,eta,max_depth,l2_leaf_reg,colsample_bylevel,subsample,max_bin,random_seed,silent,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
400.0,0.0001,2.0,0.9,0.75,0.25,4.0,19260817.0,1.0,0.0046,0.0047,0.0046,0.1484,0.1484,0.1485,99451367088159.56,99430611434152.69,99452550979332.08,1.37
400.0,1.0,2.0,0.3,0.75,0.25,1024.0,19260817.0,1.0,0.251,-0.0023,0.0123,0.1288,0.1489,0.1479,124766947293018.86,139113855216844.5,135856666687988.12,1.54
25.0,0.0001,2.0,0.9,0.75,0.75,1024.0,19260817.0,1.0,0.0004,0.0004,0.0004,0.1488,0.1487,0.1488,99667708736338.52,99667724763066.8,99665079919046.02,0.2
25.0,1.0,16.0,0.9,0.25,0.25,1024.0,19260817.0,1.0,0.9735,-0.3186,-0.291,0.0242,0.1708,0.1691,51195263477125.74,197933629897667.1,191749782933433.2,18.28
25.0,1.0,16.0,0.9,0.25,0.75,4.0,19260817.0,1.0,0.8997,-0.3188,-0.3061,0.0471,0.1708,0.1701,55284956799872.29,210933320117019.03,209394041818536.8,2.8
25.0,1.0,2.0,0.9,0.25,0.75,65535.0,19260817.0,1.0,0.1108,0.0806,0.1013,0.1403,0.1427,0.1411,101577232495714.4,101932525684114.44,100540716714212.48,0.21
400.0,0.0001,2.0,0.3,0.75,0.75,65535.0,19260817.0,1.0,0.0056,0.0056,0.0056,0.1484,0.1484,0.1484,99402110982093.06,99399078358160.9,99394472815684.98,1.93
25.0,1.0,2.0,0.3,0.25,0.75,1024.0,19260817.0,1.0,0.111,0.0714,0.0986,0.1403,0.1434,0.1413,100428035457493.23,101881424600024.69,100277904610583.28,0.19
25.0,1.0,2.0,0.9,0.25,0.75,1024.0,19260817.0,1.0,0.1108,0.0806,0.1013,0.1403,0.1427,0.1411,101577232495714.4,101932525684114.44,100540716714212.48,0.2
400.0,0.0001,16.0,0.3,0.75,0.75,1024.0,19260817.0,1.0,0.0243,0.0053,0.0056,0.147,0.1484,0.1484,98246789978667.12,98766656509848.77,98725172557876.1,856.18
25.0,1.0,16.0,0.3,0.25,0.75,1024.0,19260817.0,1.0,0.9853,-0.3371,-0.3562,0.018,0.172,0.1733,42466939955299.37,196411226539076.1,200633177396859.5,18.73
400.0,1.0,2.0,0.3,0.25,0.75,65535.0,19260817.0,1.0,0.2393,-0.0107,0.0343,0.1298,0.1496,0.1463,124109001399277.36,139517404928935.22,133997840889971.28,1.75
25.0,0.0001,2.0,0.9,0.25,0.25,4.0,19260817.0,1.0,0.0003,0.0003,0.0003,0.1488,0.1488,0.1488,99672809699929.62,99671783158076.2,99670038606433.62,0.14
