n_estimators,eta,max_depth,l2_leaf_reg,colsample_bylevel,subsample,max_bin,random_seed,silent,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
25.0,0.0001,16.0,0.3,0.75,0.25,65535.0,19260817.0,1.0,0.0027,0.001,0.001,0.2513,0.2515,0.2516,284819852982992.94,285044574910536.56,285370510198447.9,82.16
400.0,0.0001,16.0,0.9,0.25,0.75,4.0,19260817.0,1.0,0.0336,0.0175,0.0175,0.2474,0.2494,0.2496,280434712813142.16,282816264711955.5,283131490258238.7,50.64
400.0,0.0001,2.0,0.3,0.75,0.75,4.0,19260817.0,1.0,0.0161,0.0159,0.0158,0.2496,0.2496,0.2498,282868820675050.9,282860680929745.75,283195240510086.5,2.21
400.0,0.0001,16.0,0.9,0.25,0.75,65535.0,19260817.0,1.0,0.0328,0.0151,0.0149,0.2475,0.2497,0.2499,280594273867818.25,283245447052093.75,283600949663896.3,421.55
400.0,1.0,2.0,0.9,0.75,0.25,4.0,19260817.0,1.0,0.401,0.3598,0.3478,0.1948,0.2013,0.2033,170533934784769.94,178650953993077.97,178745476156093.56,1.61
25.0,0.0001,2.0,0.3,0.25,0.75,4.0,19260817.0,1.0,0.0009,0.0009,0.0009,0.2515,0.2515,0.2517,285074499134031.6,285045766389961.6,285366840939540.94,0.19
400.0,1.0,2.0,0.9,0.25,0.75,4.0,19260817.0,1.0,0.3951,0.3618,0.3418,0.1957,0.201,0.2043,172130619945522.75,179710128486123.6,180155930056469.8,1.89
25.0,0.0001,2.0,0.9,0.75,0.25,65535.0,19260817.0,1.0,0.0012,0.0012,0.0012,0.2515,0.2515,0.2516,285024867259777.6,284997458941293.3,285319437427793.1,0.23
400.0,1.0,2.0,0.3,0.25,0.25,65535.0,19260817.0,1.0,0.4886,0.3416,0.3256,0.18,0.2042,0.2068,150989146896077.84,175085270660224.0,178470178206039.22,1.47
25.0,1.0,2.0,0.9,0.75,0.75,1024.0,19260817.0,1.0,0.3909,0.3644,0.3507,0.1964,0.2006,0.2029,174574556792588.03,179903459086093.88,182488741590738.84,0.28
25.0,0.0001,16.0,0.9,0.75,0.25,65535.0,19260817.0,1.0,0.0021,0.0008,0.0008,0.2514,0.2515,0.2517,284905913613449.3,285067280622947.1,285392028227799.25,75.52
25.0,1.0,16.0,0.9,0.25,0.25,65535.0,19260817.0,1.0,0.9936,0.1179,0.0621,0.0201,0.2363,0.2438,6565073961927.13,215584137256383.03,220175868330612.8,24.23
400.0,0.0001,16.0,0.3,0.25,0.75,1024.0,19260817.0,1.0,0.0406,0.0173,0.0169,0.2465,0.2495,0.2496,279390201296179.88,282894008898870.56,283267105807422.0,420.12
400.0,0.0001,2.0,0.3,0.25,0.75,4.0,19260817.0,1.0,0.0132,0.0132,0.0132,0.25,0.25,0.2501,283294997413242.9,283266105897766.56,283579093694814.4,1.73
25.0,0.0001,16.0,0.9,0.75,0.75,65535.0,19260817.0,1.0,0.0021,0.0009,0.0009,0.2514,0.2515,0.2517,284904239742848.6,285062038592925.7,285385643893896.94,85.47
400.0,1.0,16.0,0.3,0.25,0.25,65535.0,19260817.0,1.0,1.0,0.0118,0.0093,0.0,0.2501,0.2506,6.0253,221601069928285.47,216803595008041.4,426.63
25.0,0.0001,2.0,0.9,0.25,0.25,1024.0,19260817.0,1.0,0.0011,0.0011,0.0011,0.2515,0.2515,0.2516,285044906552544.9,285015666951149.6,285337905335006.1,0.21
400.0,1.0,2.0,0.9,0.25,0.75,1024.0,19260817.0,1.0,0.5015,0.3427,0.3133,0.1777,0.204,0.2086,147933254828082.12,174846141355448.2,179629573833139.56,1.91
25.0,0.0001,16.0,0.9,0.25,0.25,1024.0,19260817.0,1.0,0.0021,0.0009,0.0009,0.2514,0.2515,0.2517,284907845608223.2,285060283407324.44,285384155424668.3,24.63
25.0,1.0,16.0,0.9,0.75,0.25,1024.0,19260817.0,1.0,0.9949,0.1259,0.1056,0.018,0.2353,0.2381,5675796333989.547,220499304445366.28,223049245320345.2,73.68
400.0,1.0,16.0,0.3,0.75,0.75,65535.0,19260817.0,1.0,1.0,-0.0254,-0.0043,0.0,0.2548,0.2523,0.3444,229063628087098.4,226914056019429.8,1236.32
25.0,1.0,2.0,0.3,0.75,0.75,65535.0,19260817.0,1.0,0.3909,0.3643,0.3507,0.1964,0.2006,0.2029,174564573621970.88,179901514505706.03,182487066223213.28,0.3
400.0,1.0,16.0,0.3,0.25,0.25,4.0,19260817.0,1.0,1.0,0.0118,-0.0428,0.0,0.2501,0.2571,126.0151,207070399374010.2,220769638658820.56,46.5
25.0,0.0001,2.0,0.3,0.75,0.25,65535.0,19260817.0,1.0,0.0012,0.0012,0.0012,0.2515,0.2515,0.2516,285024795145213.4,284997390086052.2,285319365119464.7,0.22
400.0,0.0001,2.0,0.3,0.75,0.25,1024.0,19260817.0,1.0,0.0189,0.0188,0.0187,0.2493,0.2493,0.2494,282464543845199.6,282449192583761.3,282781626149218.25,1.61
25.0,0.0001,2.0,0.9,0.25,0.75,65535.0,19260817.0,1.0,0.0011,0.0011,0.0011,0.2515,0.2515,0.2516,285044831507219.06,285015666458201.06,285337949376526.94,0.24
400.0,0.0001,2.0,0.9,0.25,0.75,4.0,19260817.0,1.0,0.0132,0.0132,0.0132,0.25,0.25,0.2501,283295366930275.06,283266473124987.06,283579465242031.2,1.69
25.0,0.0001,2.0,0.9,0.25,0.75,1024.0,19260817.0,1.0,0.0011,0.0011,0.0011,0.2515,0.2515,0.2516,285044831507219.06,285015666458201.06,285337949376526.94,0.22
400.0,1.0,2.0,0.3,0.25,0.75,4.0,19260817.0,1.0,0.3944,0.3659,0.3442,0.1958,0.2004,0.2039,172638064844557.06,179758916304683.03,180570306661965.03,1.85
25.0,0.0001,16.0,0.9,0.75,0.75,1024.0,19260817.0,1.0,0.0021,0.0009,0.0009,0.2514,0.2515,0.2517,284904239742848.6,285062038592925.7,285385643893896.94,75.78
