n_estimators,max_depth,random_state,ccp_alpha,max_samples,max_features,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
50.0,10.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100837283511478.64,100837519232121.55,100834883987110.73,3.09
100.0,5.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100533005572205.77,100533240581558.3,100530613288436.83,4.88
100.0,25.0,19421220.0,0.0,0.75,0.5,0.7765,0.0353,0.0092,0.0703,0.1461,0.1482,56247743222285.37,118141655075863.7,120158579389819.6,10.44
100.0,50.0,19421220.0,0.0001,0.75,0.5,0.0571,0.0654,0.0473,0.1445,0.1438,0.1453,95451859495855.81,95210850700963.22,95569888615007.17,10.09
100.0,50.0,19421220.0,0.0,0.5,0.5,0.638,0.0339,0.0097,0.0895,0.1462,0.1481,72769714231345.34,119465134324513.69,121687607346365.47,7.42
100.0,100.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100533005572205.77,100533240581558.3,100530613288436.83,11.06
100.0,25.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100533005572205.77,100533240581558.3,100530613288436.83,11.07
50.0,25.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100837283511478.64,100837519232121.55,100834883987110.73,5.43
50.0,100.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100617003423932.53,100617238629641.27,100614609141350.4,7.7
50.0,25.0,19421220.0,0.01,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100837283511478.64,100837519232121.55,100834883987110.73,5.41
100.0,25.0,19421220.0,0.0001,0.5,0.5,0.0648,0.0674,0.0475,0.1439,0.1437,0.1453,94786169387680.03,94910891967379.56,95495126674134.5,7.29
50.0,50.0,19421220.0,0.0,0.75,0.5,0.7712,0.0228,-0.004,0.0712,0.1471,0.1491,55826652766133.305,117420349906047.83,120051966606445.2,5.03
50.0,5.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100617003423932.53,100617238629641.27,100614609141350.4,2.2
50.0,100.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100837283511478.64,100837519232121.55,100834883987110.73,5.43
100.0,10.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100533005572205.77,100533240581558.3,100530613288436.83,9.13
100.0,10.0,19421220.0,0.01,0.5,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100533005572205.77,100533240581558.3,100530613288436.83,6.13
50.0,25.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100617003423932.53,100617238629641.27,100614609141350.4,7.76
100.0,25.0,19421220.0,0.0,0.5,0.5,0.6374,0.0345,0.0096,0.0896,0.1462,0.1481,72846679428371.64,119818443253692.72,121648121596205.77,7.24
100.0,5.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100527637958194.78,100527872954999.8,100525245802153.61,6.41
50.0,25.0,19421220.0,0.01,0.5,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100837283511478.64,100837519232121.55,100834883987110.73,3.61
100.0,10.0,19421220.0,0.0001,0.5,0.75,0.0722,0.0688,0.0456,0.1433,0.1436,0.1454,93996471200563.27,94053766218312.2,95050711281040.56,9.09
50.0,10.0,19421220.0,0.0,0.75,0.5,0.3514,0.0588,0.0297,0.1198,0.1443,0.1466,77896541433130.25,97467206294864.53,98598657302296.78,4.11
100.0,5.0,19421220.0,0.0001,0.75,0.75,0.0567,0.0666,0.0463,0.1445,0.1437,0.1454,95313517270475.03,95109700346130.23,95463603951689.1,6.37
50.0,25.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100837283511478.64,100837519232121.55,100834883987110.73,3.68
50.0,5.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100837283511478.64,100837519232121.55,100834883987110.73,1.68
50.0,50.0,19421220.0,0.0001,0.5,0.5,0.0656,0.0678,0.0481,0.1438,0.1436,0.1452,94876868056685.84,95097024404428.89,95602405838973.95,3.68
100.0,10.0,19421220.0,0.0,0.5,0.75,0.3195,0.0559,0.0251,0.1227,0.1446,0.147,82047984280587.89,99598031571792.16,101923498605874.44,9.08
50.0,50.0,19421220.0,0.01,0.75,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100617003423932.53,100617238629641.27,100614609141350.4,7.72
100.0,50.0,19421220.0,0.0,0.75,0.5,0.7778,0.0329,0.0072,0.0701,0.1463,0.1483,56302342959535.016,118125622943682.45,120707238828338.73,10.05
100.0,5.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100533005572205.77,100533240581558.3,100530613288436.83,4.88
100.0,100.0,19421220.0,0.0,0.75,0.75,0.7764,0.0302,0.0039,0.0704,0.1465,0.1486,56702924175031.19,119784790449484.78,122220968457209.03,15.1
100.0,10.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100533005572205.77,100533240581558.3,100530613288436.83,9.12
50.0,100.0,19421220.0,0.0001,0.75,0.75,0.0561,0.0655,0.0465,0.1445,0.1438,0.1453,95376902066287.22,95227480114567.23,95495280698879.97,7.69
100.0,5.0,19421220.0,0.01,0.5,0.5,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100533005572205.77,100533240581558.3,100530613288436.83,3.36
