n_estimators,learning_rate,random_state,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
150.0,0.1,19421221.0,0.2769,0.2733,0.2559,0.214,0.2145,0.2172,164694336921350.12,166282315569266.06,168003505518839.72,62.9
50.0,0.1,19421221.0,0.3356,0.3334,0.316,0.2051,0.2054,0.2082,168617309118310.6,170354954867512.25,172042749554467.75,34.77
100.0,0.1,19421221.0,0.2769,0.2733,0.2559,0.214,0.2145,0.2172,164694336921350.12,166282315569266.06,168003505518839.72,61.71
200.0,0.1,19421221.0,0.2769,0.2733,0.2559,0.214,0.2145,0.2172,164694336921350.12,166282315569266.06,168003505518839.72,61.83
150.0,0.0001,19421221.0,0.3816,0.3843,0.3623,0.1979,0.1975,0.2011,180058140808698.06,178572423727678.25,185081299283521.9,104.73
150.0,0.001,19421221.0,0.3926,0.3898,0.3681,0.1961,0.1966,0.2001,179309580901001.3,179332208050265.47,184731726504498.1,104.32
150.0,0.01,19421221.0,0.3988,0.3958,0.3694,0.1951,0.1956,0.1999,175007471923631.4,176181826041769.4,180266188683151.47,102.99
150.0,1.0,19421221.0,0.2723,0.2609,0.2413,0.2147,0.2163,0.2193,158383991703775.22,160838852471987.84,163104312030510.3,8.67
150.0,10.0,19421221.0,-13.7182,-13.7197,-13.7032,0.9654,0.9654,0.9654,0.9321,0.9321,0.932,1.62
150.0,100.0,19421221.0,-13.7182,-13.7197,-13.7032,0.9654,0.9654,0.9654,0.9321,0.9321,0.932,0.76
200.0,1.0,19421221.0,0.2723,0.2609,0.2413,0.2147,0.2163,0.2193,158383991703775.22,160838852471987.84,163104312030510.3,8.16
100.0,0.01,19421221.0,0.4053,0.401,0.3774,0.1941,0.1948,0.1986,175796704492693.3,177058590817853.84,180786084904419.16,68.01
200.0,0.01,19421221.0,0.392,0.39,0.3648,0.1962,0.1965,0.2007,173756598496110.66,175154979440004.3,178543586688717.28,136.33
100.0,1.0,19421221.0,0.2723,0.2609,0.2413,0.2147,0.2163,0.2193,158383991703775.22,160838852471987.84,163104312030510.3,8.26
50.0,0.001,19421221.0,0.3825,0.3848,0.3625,0.1978,0.1974,0.201,180185993250965.94,179478319291136.66,185041119307494.9,35.08
200.0,10.0,19421221.0,-13.7182,-13.7197,-13.7032,0.9654,0.9654,0.9654,0.9321,0.9321,0.932,1.62
100.0,0.001,19421221.0,0.3863,0.3865,0.3647,0.1971,0.1971,0.2007,180095854290695.72,179568056312094.53,185296630522236.56,71.02
200.0,0.001,19421221.0,0.3976,0.3938,0.3699,0.1953,0.1959,0.1998,178391461215037.2,178825754973020.53,184253579420863.0,142.14
50.0,1.0,19421221.0,0.2723,0.2609,0.2413,0.2147,0.2163,0.2193,158383991703775.22,160838852471987.84,163104312030510.3,8.12
50.0,0.01,19421221.0,0.4063,0.4006,0.372,0.1939,0.1948,0.1995,176616380819163.1,177834485498877.38,183086184750850.16,35.1
50.0,10.0,19421221.0,-13.7182,-13.7197,-13.7032,0.9654,0.9654,0.9654,0.9321,0.9321,0.932,1.61
100.0,10.0,19421221.0,-13.7182,-13.7197,-13.7032,0.9654,0.9654,0.9654,0.9321,0.9321,0.932,1.64
100.0,0.0001,19421221.0,0.3818,0.3839,0.3641,0.1979,0.1975,0.2008,180239004152075.5,178884195918286.75,185063792444869.47,71.04
50.0,0.0001,19421221.0,0.3833,0.3824,0.3619,0.1976,0.1978,0.2011,180675198776265.25,180139521491170.94,186090558623900.7,36.93
50.0,100.0,19421221.0,-13.7182,-13.7197,-13.7032,0.9654,0.9654,0.9654,0.9321,0.9321,0.932,0.78
200.0,100.0,19421221.0,-13.7182,-13.7197,-13.7032,0.9654,0.9654,0.9654,0.9321,0.9321,0.932,0.78
100.0,100.0,19421221.0,-13.7182,-13.7197,-13.7032,0.9654,0.9654,0.9654,0.9321,0.9321,0.932,0.78
200.0,0.0001,19421221.0,0.3815,0.3825,0.362,0.1979,0.1977,0.2011,179937676600641.9,178603768973550.12,184959021732009.34,143.82
