n_neighbors,weights,Train score,Val score,Test score,Time
20.0,distance,1.0,0.0664,0.0915,0.0
100.0,uniform,0.1259,0.1071,0.1138,0.0
45.0,uniform,0.1429,0.103,0.1071,0.0
10.0,uniform,0.2188,0.0296,0.0537,0.0
200.0,distance,1.0,0.109,0.1118,0.0
130.0,distance,1.0,0.1088,0.1141,0.0
160.0,distance,1.0,0.1101,0.113,0.0
90.0,distance,1.0,0.1067,0.115,0.0
120.0,uniform,0.1229,0.1093,0.1126,0.0
20.0,uniform,0.1688,0.0674,0.091,0.0
75.0,uniform,0.1303,0.1084,0.1134,0.0
150.0,uniform,0.1209,0.11,0.1135,0.0
200.0,uniform,0.1171,0.1089,0.1108,0.0
195.0,distance,1.0,0.1089,0.1119,0.0
105.0,uniform,0.1248,0.1079,0.1136,0.0
55.0,distance,1.0,0.1032,0.1102,0.0
5.0,distance,1.0,-0.0712,-0.0219,0.0
10.0,distance,1.0,0.0276,0.054,0.0
130.0,uniform,0.1224,0.109,0.1134,0.0
30.0,distance,1.0,0.0892,0.1032,0.0
60.0,distance,1.0,0.1048,0.1107,0.0
170.0,uniform,0.1181,0.1092,0.1124,0.0
90.0,uniform,0.1275,0.1072,0.1145,0.0
160.0,uniform,0.1192,0.1103,0.1121,0.0
155.0,distance,1.0,0.1095,0.1141,0.0
140.0,distance,1.0,0.1085,0.114,0.0
150.0,distance,1.0,0.1098,0.1143,0.0
180.0,distance,1.0,0.1095,0.1128,0.0
105.0,distance,1.0,0.1076,0.1142,0.0
65.0,uniform,0.1346,0.1063,0.1127,0.0
95.0,distance,1.0,0.107,0.1145,0.0
40.0,uniform,0.1447,0.0989,0.1063,0.0
110.0,distance,1.0,0.1076,0.1124,0.0
85.0,distance,1.0,0.1057,0.1139,0.0
185.0,uniform,0.1167,0.1098,0.1113,0.0
190.0,distance,1.0,0.109,0.112,0.0
40.0,distance,1.0,0.0974,0.107,0.0
75.0,distance,1.0,0.1075,0.1139,0.0
145.0,uniform,0.1213,0.1095,0.113,0.0
65.0,distance,1.0,0.1053,0.1132,0.0
5.0,uniform,0.3128,-0.071,-0.0226,0.0
115.0,distance,1.0,0.1083,0.1124,0.0
15.0,uniform,0.1881,0.0477,0.083,0.0
155.0,uniform,0.1199,0.1096,0.1133,0.0
180.0,uniform,0.1167,0.1095,0.1119,0.0
95.0,uniform,0.1276,0.1074,0.1139,0.0
125.0,distance,1.0,0.1093,0.1135,0.0
80.0,distance,1.0,0.1064,0.1147,0.0
55.0,uniform,0.1388,0.1044,0.1094,0.0
50.0,uniform,0.1402,0.1049,0.1086,0.0
175.0,uniform,0.1175,0.1091,0.1118,0.0
30.0,uniform,0.1523,0.0908,0.1027,0.0
115.0,uniform,0.1237,0.1087,0.1115,0.0
70.0,uniform,0.1322,0.108,0.1119,0.0
70.0,distance,1.0,0.107,0.1126,0.0
165.0,distance,1.0,0.1093,0.1129,0.0
85.0,uniform,0.1289,0.1062,0.1132,0.0
15.0,distance,1.0,0.0471,0.0831,0.0
170.0,distance,1.0,0.1092,0.1132,0.0
135.0,distance,1.0,0.1086,0.1143,0.0
80.0,uniform,0.1298,0.107,0.1142,0.0
195.0,uniform,0.1167,0.1088,0.1109,0.0
25.0,uniform,0.1599,0.0822,0.0983,0.0
120.0,distance,1.0,0.109,0.1134,0.0
135.0,uniform,0.122,0.1088,0.1136,0.0
190.0,uniform,0.1168,0.109,0.111,0.0
50.0,distance,1.0,0.1034,0.1093,0.0
100.0,distance,1.0,0.1068,0.1144,0.0
165.0,uniform,0.1185,0.1093,0.112,0.0
45.0,distance,1.0,0.1014,0.1078,0.0
35.0,uniform,0.1486,0.0971,0.1053,0.0
110.0,uniform,0.1248,0.1079,0.1115,0.0
35.0,distance,1.0,0.0954,0.1059,0.0
25.0,distance,1.0,0.0805,0.0988,0.0
60.0,uniform,0.1368,0.1059,0.1099,0.0
125.0,uniform,0.1229,0.1096,0.1128,0.0
145.0,distance,1.0,0.1093,0.1138,0.0
185.0,distance,1.0,0.1097,0.1123,0.0
140.0,uniform,0.1215,0.1087,0.1132,0.0
175.0,distance,1.0,0.1091,0.1128,0.0
