n_estimators,eta,max_depth,l2_leaf_reg,colsample_bylevel,subsample,max_bin,random_seed,boosting_type,max_ctr_complexity,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,silent
25,1.0,16,0.3,0.25,0.75,4,19260817,Plain,1.0,0.9992,0.006,-0.0261,0.0069,0.2509,0.255,2092281577265.08,204044408660147.0,201762873399556.0,3.67,
25,0.0001,16,0.3,0.25,0.25,1024,19260817,Plain,1.0,0.0028,0.0013,0.0012,0.2513,0.2515,0.2516,284803359445730.0,285004970657148.0,285326816090489.0,416.58,
200,0.0001,2,0.3,0.75,0.75,4,19260817,Plain,1.0,0.0069,0.0069,0.0069,0.2508,0.2508,0.2509,284204367053017.0,284171146355407.0,284484457740245.0,1.25,
25,1.0,2,0.3,0.25,0.25,1024,19260817,Plain,1.0,0.449,0.436,0.3885,0.1868,0.189,0.1969,159646217187815.0,163123975143068.0,168753226713655.0,0.35,
200,1.0,16,0.9,0.25,0.25,4,19260817,Plain,1.0,1.0,0.0792,0.0928,0.0,0.2415,0.2398,13399724.4655,214037462304713.0,216300937926296.0,27.16,
200,0.0001,16,0.3,0.75,0.25,4,19260817,Plain,1.0,0.0216,0.0093,0.009,0.2489,0.2505,0.2506,282116257850892.0,283918058038722.0,284268654317131.0,39.12,
200,0.0001,16,0.3,0.75,0.75,1024,19260817,Plain,1.0,0.0219,0.0113,0.0108,0.2489,0.2502,0.2504,282088273691684.0,283646226966132.0,284046863296630.0,9957.64,
25,1.0,2,0.9,0.25,0.75,1024,19260817,Plain,1.0,0.4482,0.4335,0.4053,0.1869,0.1894,0.1942,162369013173351.0,166280788718362.0,168820508431028.0,0.61,
200,1.0,2,0.9,0.75,0.75,4,19260817,Plain,1.0,0.385,0.3646,0.3385,0.1973,0.2006,0.2048,175671904773801.0,181338927465677.0,183458068326193.0,1.44,
25,1.0,16,0.9,0.25,0.75,4,19260817,Plain,1.0,0.9978,0.116,0.0787,0.0117,0.2366,0.2417,4196360368630.2,197350818034671.0,202603042252261.0,3.6,
