max_bins,interactions,learning_rate,max_rounds,min_samples_leaf,max_leaves,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
4.0,16.0,100.0,500.0,1.0,100000.0,-3776046.6855,-3812684.7952,-3788989.7252,289.105,290.4899,289.7453,9.55571766604966e+17,9.632245448386047e+17,9.578051087858486e+17,6.49
65535.0,16.0,0.1,25.0,32.0,100.0,0.2643,0.1147,0.1071,0.1276,0.14,0.1407,95285166478255.75,100629087520430.61,102471911314022.84,15.67
4.0,2.0,100.0,25.0,1.0,100.0,-3776046.6855,-3812684.7952,-3788989.7252,289.105,290.4899,289.7453,9.55571766604966e+17,9.632245448386047e+17,9.578051087858486e+17,3.8
4.0,2.0,0.1,500.0,32.0,100.0,0.1192,0.1054,0.1059,0.1396,0.1407,0.1408,112949241708416.47,111941631810595.72,112129124129517.67,5.11
1024.0,16.0,0.0001,25.0,1.0,100000.0,-0.0042,-0.0078,-0.0079,0.1491,0.1494,0.1494,10264685385637.047,10455693988546.258,10451773465088.174,7.51
1024.0,2.0,0.0001,25.0,32.0,100.0,-0.0118,-0.0137,-0.0138,0.1497,0.1498,0.1499,7449888655459.07,7539969648390.024,7547531043989.0625,5.4
4.0,2.0,100.0,500.0,32.0,100000.0,-3776046.6855,-3812684.7952,-3788989.7252,289.105,290.4899,289.7453,9.55571766604966e+17,9.632245448386047e+17,9.578051087858486e+17,4.83
65535.0,16.0,100.0,500.0,1.0,100000.0,-6531280.169,-6541617.5118,-6511927.3561,380.221,380.503,379.8476,9.213584886298446e+17,9.165402161474463e+17,9.112357032621005e+17,14.7
1024.0,2.0,0.0001,500.0,32.0,100000.0,0.1007,0.0536,0.0533,0.1411,0.1447,0.1448,66532712413111.42,68881682233271.26,69097446384587.81,52.23
65535.0,2.0,0.0001,25.0,1.0,100.0,-0.0054,-0.0135,-0.0136,0.1492,0.1498,0.1499,7128578092071.004,7544280118290.853,7527221114155.19,17.19
65535.0,16.0,0.1,25.0,1.0,100000.0,0.4601,0.1016,0.1033,0.1093,0.141,0.141,78336885009880.45,100144091325536.89,99200009621628.48,39.51
65535.0,16.0,0.1,500.0,32.0,100.0,0.2646,0.1148,0.1072,0.1276,0.14,0.1406,95264585243714.05,100625737076895.36,102471667144959.98,30.95
65535.0,2.0,0.1,500.0,32.0,100000.0,0.2771,0.1098,0.1052,0.1265,0.1404,0.1408,98206085425911.19,103977760549669.17,105529669319941.61,47.35
65535.0,2.0,100.0,500.0,1.0,100.0,-5586780.7365,-5581878.5316,-5649714.4827,351.6558,351.4841,353.8082,9.357375452900942e+17,9.318474718246865e+17,9.295374330777014e+17,10.32
1024.0,2.0,100.0,500.0,32.0,100.0,-5464757.4924,-5488520.4745,-5512821.9114,347.7942,348.5324,349.4955,9.366765916204731e+17,9.356070086087834e+17,9.295150580934595e+17,5.81
65535.0,2.0,100.0,25.0,1.0,100000.0,-6531280.169,-6541617.5118,-6511927.3561,380.221,380.503,379.8476,9.213584886298446e+17,9.165402161474463e+17,9.112357032621005e+17,10.37
1024.0,2.0,0.0001,25.0,32.0,100000.0,-0.0106,-0.0137,-0.0137,0.1496,0.1498,0.1499,7384837844517.534,7539219591265.76,7555711634683.1875,7.53
1024.0,16.0,100.0,500.0,1.0,100.0,-5670088.6651,-5656704.2691,-5750768.1596,354.2679,353.8321,356.9584,9.350709210330044e+17,9.301122346734941e+17,9.333646915555585e+17,9.71
4.0,2.0,100.0,25.0,32.0,100.0,-3776046.6855,-3812684.7952,-3788989.7252,289.105,290.4899,289.7453,9.55571766604966e+17,9.632245448386047e+17,9.578051087858486e+17,3.84
4.0,16.0,0.1,500.0,32.0,100000.0,0.14,0.1121,0.1152,0.138,0.1402,0.14,105163140503368.16,105722362479208.78,105457915240748.2,6.96
