num_iterations,max_depth,bagging_fraction,feature_fraction,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
100.0,50.0,0.5,0.5,0.5935,0.4096,0.3914,0.1604,0.1933,0.1964,137986830744645.77,171487064297739.34,173923461482336.28,0.7
50.0,25.0,0.25,0.25,0.4963,0.3991,0.3748,0.1786,0.1951,0.1991,162390489499426.22,181534726722659.34,182682923215747.6,0.14
50.0,25.0,0.25,0.75,0.5324,0.4103,0.3885,0.1721,0.1932,0.1969,150792699757407.5,173099293817159.38,175631702467580.25,0.29
50.0,25.0,0.75,0.25,0.4963,0.3991,0.3748,0.1786,0.1951,0.1991,162390489499426.22,181534726722659.34,182682923215747.6,0.15
50.0,25.0,0.75,0.75,0.5324,0.4103,0.3885,0.1721,0.1932,0.1969,150792699757407.5,173099293817159.38,175631702467580.25,0.29
50.0,75.0,0.25,0.25,0.4963,0.3991,0.3748,0.1786,0.1951,0.1991,162390489499426.22,181534726722659.34,182682923215747.6,0.14
50.0,75.0,0.25,0.75,0.5324,0.4103,0.3885,0.1721,0.1932,0.1969,150792699757407.5,173099293817159.38,175631702467580.25,0.32
50.0,75.0,0.75,0.25,0.4963,0.3991,0.3748,0.1786,0.1951,0.1991,162390489499426.22,181534726722659.34,182682923215747.6,0.15
50.0,75.0,0.75,0.75,0.5324,0.4103,0.3885,0.1721,0.1932,0.1969,150792699757407.5,173099293817159.38,175631702467580.25,0.29
50.0,25.0,0.25,0.25,0.4963,0.3991,0.3748,0.1786,0.1951,0.1991,162390489499426.22,181534726722659.34,182682923215747.6,0.16
50.0,25.0,0.25,0.75,0.5324,0.4103,0.3885,0.1721,0.1932,0.1969,150792699757407.5,173099293817159.38,175631702467580.25,0.32
50.0,25.0,0.75,0.25,0.4963,0.3991,0.3748,0.1786,0.1951,0.1991,162390489499426.22,181534726722659.34,182682923215747.6,0.13
50.0,25.0,0.75,0.75,0.5324,0.4103,0.3885,0.1721,0.1932,0.1969,150792699757407.5,173099293817159.38,175631702467580.25,0.29
50.0,75.0,0.25,0.25,0.4963,0.3991,0.3748,0.1786,0.1951,0.1991,162390489499426.22,181534726722659.34,182682923215747.6,0.15
50.0,75.0,0.25,0.75,0.5324,0.4103,0.3885,0.1721,0.1932,0.1969,150792699757407.5,173099293817159.38,175631702467580.25,0.29
50.0,75.0,0.75,0.25,0.4963,0.3991,0.3748,0.1786,0.1951,0.1991,162390489499426.22,181534726722659.34,182682923215747.6,0.15
50.0,75.0,0.75,0.75,0.5324,0.4103,0.3885,0.1721,0.1932,0.1969,150792699757407.5,173099293817159.38,175631702467580.25,0.31
50.0,50.0,0.5,0.5,0.5268,0.4151,0.3919,0.1731,0.1925,0.1963,152568817846025.38,173362278743670.5,176659809041578.0,0.21
50.0,50.0,0.5,0.5,0.5268,0.4151,0.3919,0.1731,0.1925,0.1963,152568817846025.38,173362278743670.5,176659809041578.0,0.24
100.0,5.0,0.5,0.5,0.546,0.4057,0.3887,0.1696,0.194,0.1969,146570283831183.3,173229594785008.88,174029855389018.62,0.46
100.0,10.0,0.5,0.5,0.591,0.4093,0.3898,0.1609,0.1934,0.1967,138704240134550.5,171503684103063.4,174054461494930.7,0.42
100.0,25.0,0.5,0.5,0.5935,0.4096,0.3914,0.1604,0.1933,0.1964,137986830744645.77,171487064297739.34,173923461482336.28,0.38
100.0,75.0,0.5,0.5,0.5935,0.4096,0.3914,0.1604,0.1933,0.1964,137986830744645.77,171487064297739.34,173923461482336.28,0.44
100.0,100.0,0.5,0.5,0.5935,0.4096,0.3914,0.1604,0.1933,0.1964,137986830744645.77,171487064297739.34,173923461482336.28,0.41
100.0,50.0,0.25,0.5,0.5935,0.4096,0.3914,0.1604,0.1933,0.1964,137986830744645.77,171487064297739.34,173923461482336.28,0.42
100.0,50.0,0.75,0.5,0.5935,0.4096,0.3914,0.1604,0.1933,0.1964,137986830744645.77,171487064297739.34,173923461482336.28,0.41
