n_estimators,max_depth,random_state,ccp_alpha,max_samples,max_features,Train score,Val score,Test score,Time
50.0,5.0,19421220.0,0.0,0.5,0.5,0.17845626878016918,0.12341914887664984,0.11795046573341483,4.347782850265503
100.0,5.0,19421220.0,0.0,0.5,0.75,0.1855409677779155,0.12512170852505322,0.11742860684474044,12.915119171142578
50.0,5.0,19421220.0,1.0,0.75,0.75,-2.3873203858215675e-07,-2.239835446005145e-07,-4.1550951102031775e-07,8.881233930587769
50.0,10.0,19421220.0,0.0001,0.75,0.75,0.18405035934831482,0.11859917860025515,0.11819215682794659,16.750131130218506
100.0,10.0,19421220.0,10000.0,0.5,0.5,-5.649550605113518e-09,-8.194667389105348e-09,-6.5799996562532215e-09,16.326786041259766
100.0,5.0,19421220.0,0.0,0.75,0.5,0.18210660555158953,0.1253316854572768,0.11981680027208474,11.303605318069458
50.0,5.0,19421220.0,0.01,0.5,0.75,-1.6965831917126195e-06,-1.6569778407138358e-06,-2.1261132538974437e-06,6.445779085159302
50.0,25.0,19421220.0,0.0001,0.5,0.5,0.2182610946950876,0.12664320995311296,0.1107524729313224,11.252466201782227
100.0,5.0,19421220.0,1.0,0.75,0.5,-4.273337750326789e-08,-4.932304475957494e-08,-2.537531296198381e-09,11.321715831756592
50.0,50.0,19421220.0,0.01,0.5,0.5,-1.6965831917126195e-06,-1.6569778407138358e-06,-2.1261132538974437e-06,11.274367809295654
100.0,5.0,19421220.0,10000.0,0.75,0.5,-4.273337750326789e-08,-4.932304475957494e-08,-2.537531296198381e-09,11.329345941543579
50.0,25.0,19421220.0,0.01,0.75,0.5,-2.3873203858215675e-07,-2.239835446005145e-07,-4.1550951102031775e-07,15.954890966415405
100.0,25.0,19421220.0,0.0,0.75,0.5,0.7872334567007617,0.0948911749300192,0.07620721831451382,31.845826148986816
100.0,100.0,19421220.0,100.0,0.5,0.75,-5.649550605113518e-09,-8.194667389105348e-09,-6.5799996562532215e-09,34.466625928878784
50.0,10.0,19421220.0,1.0,0.5,0.75,-1.6965831917126195e-06,-1.6569778407138358e-06,-2.1261132538974437e-06,12.455658912658691
50.0,100.0,19421220.0,10000.0,0.75,0.5,-2.3873203858215675e-07,-2.239835446005145e-07,-4.1550951102031775e-07,16.023517847061157
