gamma,subsample,colsample_bytree,max_depth,eta,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
0.01,0.25,0.75,100.0,0.9,0.9563,0.2889,0.2806,0.0526,0.2122,0.2135,32708510380119.63,173508979369623.2,174748821632170.75,99.68
100.0,0.5,0.75,5.0,0.75,0.1758,0.1779,0.1722,0.2285,0.2282,0.2291,253659448650306.16,253421657290629.28,254439407717682.1,8.69
0.01,0.5,0.5,100.0,0.9,0.9911,0.3341,0.3381,0.0237,0.2053,0.2048,13646839556934.703,176812718289802.38,177609346300610.44,84.2
1.0,0.25,0.5,10.0,0.75,0.5933,0.3824,0.3489,0.1605,0.1978,0.2032,133863419436278.48,171881321118259.94,174526824677442.6,12.94
0.0,0.5,0.75,100.0,0.9,0.9989,0.3489,0.3261,0.0084,0.203,0.2067,5041376133089.905,171464468315591.53,175398644059028.2,115.62
0.0001,0.75,0.5,5.0,0.45,0.563,0.4111,0.3913,0.1664,0.1931,0.1964,143595816269800.5,172380816506038.28,173938963881368.62,6.24
0.0001,0.25,0.75,50.0,0.45,0.9649,0.3025,0.2828,0.0471,0.2102,0.2132,31299142047104.12,170019632105247.78,175006305339387.9,84.7
0.01,0.5,0.5,10.0,0.45,0.9118,0.3555,0.3472,0.0747,0.202,0.2034,52932642885478.266,173758967176547.8,174746024238610.62,16.37
100.0,0.5,0.75,5.0,0.45,0.1758,0.1779,0.1722,0.2285,0.2282,0.2291,253659448650306.16,253421657290629.28,254439407717682.1,8.61
0.01,0.5,0.75,50.0,0.15,0.9918,0.3473,0.3367,0.0228,0.2033,0.205,13042773381090.604,172925555214074.88,174117791973143.22,106.46
1.0,0.75,0.25,50.0,0.9,0.6773,0.3965,0.3768,0.1429,0.1955,0.1987,123116188515573.06,176275305259757.47,178105886692794.34,38.3
100.0,0.25,0.75,50.0,0.45,0.0959,0.0965,0.0958,0.2393,0.2392,0.2394,269410487930730.6,269310438123365.88,269732145066280.6,27.1
1.0,0.5,0.75,50.0,0.45,0.7158,0.3827,0.3681,0.1342,0.1977,0.2001,111158338713216.56,170420941599825.7,172301990653398.53,105.75
1.0,0.75,0.5,50.0,0.15,0.7275,0.3868,0.3726,0.1314,0.197,0.1994,111599524407749.4,174315199630911.44,175676523456465.34,77.17
0.01,0.25,0.5,5.0,0.15,0.5319,0.4038,0.3738,0.1722,0.1943,0.1992,147899920846470.5,170756054566185.66,176749287410609.7,6.98
1.0,0.75,0.25,25.0,0.45,0.6751,0.3969,0.3776,0.1434,0.1954,0.1986,123422372904651.52,176028904586437.06,178119456186842.94,24.68
1.0,0.25,0.5,50.0,0.15,0.6273,0.3744,0.3461,0.1536,0.199,0.2036,126546781945065.2,170924503379508.4,173579905587313.25,58.6
1.0,0.75,0.5,5.0,0.15,0.5172,0.4093,0.3898,0.1749,0.1934,0.1967,152469197039304.7,172405138736233.7,175359057837521.9,6.18
0.0,0.25,0.25,100.0,0.15,0.9625,0.3004,0.265,0.0487,0.2105,0.2158,32976799556865.69,176154851199874.06,183006046644351.1,31.65
100.0,0.5,0.75,100.0,0.6,0.1758,0.1779,0.1722,0.2285,0.2282,0.2291,253659448650306.16,253421657290629.28,254439407717682.1,42.36
1.0,0.5,0.5,5.0,0.6,0.5036,0.4127,0.3848,0.1773,0.1928,0.1975,154709171468993.53,171759617817346.66,174481458570670.34,6.87
0.0,0.5,0.75,50.0,0.9,0.9989,0.3529,0.3283,0.0085,0.2024,0.2063,5064874833931.337,170481307656107.16,175090338716759.16,106.49
1.0,0.5,0.5,10.0,0.9,0.6418,0.3924,0.3795,0.1506,0.1962,0.1983,127547938790619.52,172227576439378.38,175554546669862.28,15.86
0.0,0.5,0.25,5.0,0.6,0.5283,0.4073,0.3808,0.1728,0.1937,0.1981,151153737648329.72,173661405087305.6,177268378909223.16,4.69
