num_iterations,max_depth,bagging_fraction,feature_fraction,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
100.0,50.0,0.5,0.5,0.3978,0.0787,0.0329,0.1155,0.1428,0.1464,73832066049903.42,92095514602154.31,96572744044420.03,0.63
50.0,25.0,0.25,0.25,0.2439,0.0921,0.0431,0.1294,0.1418,0.1456,83209822448526.28,92696782652696.5,92971468079808.5,0.13
50.0,25.0,0.25,0.75,0.3001,0.0947,0.0459,0.1245,0.1416,0.1454,79153396279761.66,90208052889651.66,93111497024557.48,0.29
50.0,25.0,0.75,0.25,0.2439,0.0921,0.0431,0.1294,0.1418,0.1456,83209822448526.28,92696782652696.5,92971468079808.5,0.15
50.0,25.0,0.75,0.75,0.3001,0.0947,0.0459,0.1245,0.1416,0.1454,79153396279761.66,90208052889651.66,93111497024557.48,0.28
50.0,75.0,0.25,0.25,0.2439,0.0921,0.0431,0.1294,0.1418,0.1456,83209822448526.28,92696782652696.5,92971468079808.5,0.14
50.0,75.0,0.25,0.75,0.3001,0.0947,0.0459,0.1245,0.1416,0.1454,79153396279761.66,90208052889651.66,93111497024557.48,0.3
50.0,75.0,0.75,0.25,0.2439,0.0921,0.0431,0.1294,0.1418,0.1456,83209822448526.28,92696782652696.5,92971468079808.5,0.14
50.0,75.0,0.75,0.75,0.3001,0.0947,0.0459,0.1245,0.1416,0.1454,79153396279761.66,90208052889651.66,93111497024557.48,0.29
50.0,25.0,0.25,0.25,0.2439,0.0921,0.0431,0.1294,0.1418,0.1456,83209822448526.28,92696782652696.5,92971468079808.5,0.13
50.0,25.0,0.25,0.75,0.3001,0.0947,0.0459,0.1245,0.1416,0.1454,79153396279761.66,90208052889651.66,93111497024557.48,0.33
50.0,25.0,0.75,0.25,0.2439,0.0921,0.0431,0.1294,0.1418,0.1456,83209822448526.28,92696782652696.5,92971468079808.5,0.15
50.0,25.0,0.75,0.75,0.3001,0.0947,0.0459,0.1245,0.1416,0.1454,79153396279761.66,90208052889651.66,93111497024557.48,0.34
50.0,75.0,0.25,0.25,0.2439,0.0921,0.0431,0.1294,0.1418,0.1456,83209822448526.28,92696782652696.5,92971468079808.5,0.14
50.0,75.0,0.25,0.75,0.3001,0.0947,0.0459,0.1245,0.1416,0.1454,79153396279761.66,90208052889651.66,93111497024557.48,0.35
50.0,75.0,0.75,0.25,0.2439,0.0921,0.0431,0.1294,0.1418,0.1456,83209822448526.28,92696782652696.5,92971468079808.5,0.13
50.0,75.0,0.75,0.75,0.3001,0.0947,0.0459,0.1245,0.1416,0.1454,79153396279761.66,90208052889651.66,93111497024557.48,0.28
50.0,50.0,0.5,0.5,0.2817,0.0838,0.0502,0.1261,0.1424,0.1451,80349446379819.22,90934657182514.11,93861379825234.3,0.2
50.0,50.0,0.5,0.5,0.2817,0.0838,0.0502,0.1261,0.1424,0.1451,80349446379819.22,90934657182514.11,93861379825234.3,0.23
100.0,5.0,0.5,0.5,0.2738,0.0897,0.0405,0.1268,0.1419,0.1458,82369098789148.56,93300446568660.88,96661984155756.05,0.45
100.0,10.0,0.5,0.5,0.3876,0.0713,0.0374,0.1164,0.1434,0.146,74675398509714.58,93697558962999.92,94431863057400.5,0.45
100.0,25.0,0.5,0.5,0.3978,0.0787,0.0329,0.1155,0.1428,0.1464,73832066049903.42,92095514602154.31,96572744044420.03,0.47
100.0,75.0,0.5,0.5,0.3978,0.0787,0.0329,0.1155,0.1428,0.1464,73832066049903.42,92095514602154.31,96572744044420.03,0.42
100.0,100.0,0.5,0.5,0.3978,0.0787,0.0329,0.1155,0.1428,0.1464,73832066049903.42,92095514602154.31,96572744044420.03,0.43
100.0,50.0,0.25,0.5,0.3978,0.0787,0.0329,0.1155,0.1428,0.1464,73832066049903.42,92095514602154.31,96572744044420.03,0.46
100.0,50.0,0.75,0.5,0.3978,0.0787,0.0329,0.1155,0.1428,0.1464,73832066049903.42,92095514602154.31,96572744044420.03,0.43
100.0,50.0,0.5,0.25,0.3536,0.0864,0.0346,0.1196,0.1422,0.1463,76908818364868.81,92869902437724.9,94425280799631.3,0.31
100.0,50.0,0.5,0.75,0.4175,0.0894,0.0305,0.1135,0.142,0.1466,72476871348917.19,91454485420594.11,96328478889487.27,0.55
100.0,75.0,0.5,0.25,0.3536,0.0864,0.0346,0.1196,0.1422,0.1463,76908818364868.81,92869902437724.9,94425280799631.3,0.28
100.0,50.0,0.25,0.75,0.4175,0.0894,0.0305,0.1135,0.142,0.1466,72476871348917.19,91454485420594.11,96328478889487.27,0.61
100.0,50.0,0.25,0.25,0.3536,0.0864,0.0346,0.1196,0.1422,0.1463,76908818364868.81,92869902437724.9,94425280799631.3,0.27
100.0,75.0,0.75,0.75,0.4175,0.0894,0.0305,0.1135,0.142,0.1466,72476871348917.19,91454485420594.11,96328478889487.27,0.62
50.0,25.0,0.75,0.5,0.2817,0.0838,0.0502,0.1261,0.1424,0.1451,80349446379819.22,90934657182514.11,93861379825234.3,0.24
