gamma,subsample,colsample_bytree,max_depth,eta,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
0.01,0.25,0.75,100.0,0.9,0.9613,0.3956,0.3684,0.0495,0.1956,0.2001,30360580112458.86,152962840214909.7,153477530620871.47,158.95
100.0,0.5,0.75,5.0,0.75,0.2114,0.2131,0.2051,0.2235,0.2232,0.2245,246164116255733.88,246288785091542.9,247558367845134.1,12.99
0.01,0.5,0.5,100.0,0.9,0.9929,0.4414,0.406,0.0212,0.1881,0.194,11965488644428.258,158379137443109.97,158488136139664.9,162.8
1.0,0.25,0.5,10.0,0.75,0.6342,0.4617,0.4432,0.1522,0.1846,0.1879,122975573156973.98,154264231183089.12,154750809744703.47,14.39
0.0,0.5,0.75,100.0,0.9,0.9989,0.4524,0.4255,0.0083,0.1862,0.1908,4693388827604.961,149768256795582.0,152231753112190.0,228.8
0.0001,0.75,0.5,5.0,0.45,0.632,0.4924,0.4633,0.1526,0.1793,0.1844,125588356159746.28,153498639910362.84,156544501623055.2,11.02
0.0001,0.25,0.75,50.0,0.45,0.9614,0.3984,0.3528,0.0495,0.1952,0.2025,31123771969225.445,151215259678656.38,154882333792842.3,98.03
0.01,0.5,0.5,10.0,0.45,0.8887,0.4582,0.4265,0.0839,0.1852,0.1907,59011224864940.03,153034401051914.28,156106566177099.72,21.06
100.0,0.5,0.75,5.0,0.45,0.2114,0.2131,0.2051,0.2235,0.2232,0.2245,246164116255733.88,246288785091542.9,247558367845134.1,13.42
0.01,0.5,0.75,50.0,0.15,0.9918,0.4505,0.4238,0.0228,0.1865,0.1911,12421737789901.207,151728468591921.03,153657494991514.2,140.54
1.0,0.75,0.25,50.0,0.9,0.7615,0.467,0.4314,0.1229,0.1837,0.1898,100865923183292.66,159584535819641.03,162926681752653.38,60.71
100.0,0.25,0.75,50.0,0.45,0.1006,0.1013,0.1003,0.2387,0.2386,0.2388,268630433233457.3,268572934904264.84,268992416426543.47,39.5
1.0,0.5,0.75,50.0,0.45,0.7744,0.4726,0.4406,0.1195,0.1827,0.1883,92824441299718.42,149292775901971.28,151017483767710.97,125.9
1.0,0.75,0.5,50.0,0.15,0.7864,0.4755,0.4511,0.1163,0.1822,0.1865,93118644411906.94,152135914933535.5,153934694368610.56,98.55
0.01,0.25,0.5,5.0,0.15,0.5903,0.4708,0.45,0.1611,0.1831,0.1867,133805478181944.16,155786860569244.22,157357417800158.62,7.05
1.0,0.75,0.25,25.0,0.45,0.7454,0.4682,0.4326,0.127,0.1835,0.1896,104894384377585.44,159470098451987.16,162972291694858.1,31.32
