gamma,subsample,colsample_bytree,max_depth,eta,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
1.0,0.25,0.5,50.0,0.15,0.6986,0.4506,0.4213,0.1382,0.1865,0.1915,108328611515325.72,151774150569465.3,153824168083019.94,66.96
1.0,0.75,0.5,5.0,0.15,0.5854,0.4893,0.455,0.162,0.1798,0.1859,135562832775847.7,154384208767013.84,157661202748085.9,10.51
0.0,0.25,0.25,100.0,0.15,0.9674,0.3815,0.3453,0.0455,0.1979,0.2037,30079712295368.062,160359202953805.8,165011204448793.8,64.01
100.0,0.5,0.75,100.0,0.6,0.2114,0.2131,0.2051,0.2235,0.2232,0.2245,246164116255733.88,246288785091542.9,247558367845134.1,71.43
1.0,0.5,0.5,5.0,0.6,0.5775,0.4883,0.4627,0.1636,0.18,0.1845,136548511238397.98,152687599439238.88,157062026410512.97,9.36
0.0,0.5,0.75,50.0,0.9,0.998,0.4496,0.4152,0.0114,0.1867,0.1925,5793043370513.76,150077403712371.25,152740605066761.34,143.03
1.0,0.5,0.5,10.0,0.9,0.6907,0.4761,0.4458,0.14,0.1821,0.1874,112442266485467.84,152012044476006.22,155116876275104.03,19.78
0.0,0.5,0.25,5.0,0.6,0.6024,0.4795,0.4511,0.1587,0.1815,0.1865,133566255855313.31,158320544479227.38,161453218174279.78,6.16
100.0,0.5,0.75,5.0,0.6,0.2114,0.2131,0.2051,0.2235,0.2232,0.2245,246164116255733.88,246288785091542.9,247558367845134.1,12.83
0.0001,0.5,0.25,100.0,0.75,0.9987,0.4215,0.3855,0.0091,0.1914,0.1974,5274446267224.962,166732801382812.6,169278236487998.84,77.49
1.0,0.25,0.5,10.0,0.9,0.6342,0.4617,0.4432,0.1522,0.1846,0.1879,122975573156973.98,154264231183089.12,154750809744703.47,14.32
0.0,0.75,0.5,50.0,0.9,0.9999,0.4541,0.432,0.002,0.1859,0.1897,922513548839.9106,154947181261876.16,156263445840311.8,111.98
100.0,0.75,0.75,5.0,0.15,0.2501,0.2551,0.2396,0.2179,0.2172,0.2195,237664304399352.16,237373526233503.3,239698196688290.75,12.9
0.0001,0.25,0.75,100.0,0.6,0.9683,0.3879,0.3673,0.0448,0.1969,0.2003,28752093338815.01,154048832929880.66,153188301287317.8,155.48
0.0001,0.5,0.25,50.0,0.3,0.9983,0.425,0.384,0.0103,0.1908,0.1976,5760475063959.984,165770547100248.88,169850675279580.53,58.2
0.0,0.75,0.75,50.0,0.75,0.9999,0.4589,0.4124,0.0021,0.1851,0.193,912933268240.837,148443029508932.25,154786964088844.47,159.13
0.0,0.25,0.25,5.0,0.75,0.5814,0.4737,0.4348,0.1628,0.1826,0.1893,137749871549349.05,157654580851535.25,163623966768405.44,4.92
0.0001,0.75,0.75,100.0,0.3,0.9999,0.4597,0.4152,0.0027,0.185,0.1925,1344079400158.7798,148837274124657.22,154406222047340.56,223.32
0.0001,0.5,0.25,5.0,0.9,0.6024,0.4795,0.4511,0.1587,0.1815,0.1865,133566260176440.94,158320548471282.38,161453222443330.0,6.2
100.0,0.25,0.75,25.0,0.3,0.1006,0.1013,0.1003,0.2387,0.2386,0.2388,268630433233457.3,268572934904264.84,268992416426543.47,38.81
1.0,0.5,0.25,100.0,0.75,0.7398,0.4552,0.4354,0.1284,0.1857,0.1892,104390885874949.9,160398400941864.03,160429375158974.75,86.79
0.0001,0.75,0.25,5.0,0.45,0.612,0.4883,0.4525,0.1568,0.18,0.1863,131636651624864.77,156299676280212.72,159417859646872.16,6.18
0.01,0.75,0.75,100.0,0.45,0.9961,0.4598,0.4215,0.0157,0.1849,0.1915,9343796971995.36,150492223802973.0,154808647155061.53,232.93
0.0,0.5,0.75,10.0,0.75,0.8903,0.4564,0.433,0.0833,0.1855,0.1896,57762850821557.96,150271016867794.78,152065846829907.9,28.11
0.0,0.75,0.5,10.0,0.45,0.9246,0.4672,0.4355,0.0691,0.1837,0.1892,46855106073897.38,151471586445523.34,156731136596613.4,21.74
100.0,0.25,0.5,100.0,0.3,0.1006,0.1011,0.1003,0.2387,0.2386,0.2388,268707962607051.38,268693258496532.53,269029987732035.7,29.8
100.0,0.5,0.25,10.0,0.6,0.1875,0.1905,0.1838,0.2268,0.2264,0.2275,251548582834808.53,251358185532847.47,252316839639535.7,13.23
1.0,0.75,0.75,25.0,0.15,0.7821,0.4867,0.4415,0.1175,0.1803,0.1882,93405783353070.31,148876492571997.34,152813469912373.75,72.39
100.0,0.5,0.75,50.0,0.45,0.2114,0.2131,0.2051,0.2235,0.2232,0.2245,246164116255733.88,246288785091542.9,247558367845134.1,72.77
0.0,0.75,0.25,50.0,0.6,0.9999,0.4246,0.3994,0.002,0.1909,0.1951,1010137793536.0746,170711298503458.97,174783678669474.56,60.18
0.0001,0.25,0.5,25.0,0.75,0.9354,0.4055,0.3874,0.064,0.194,0.1971,40151205675334.32,156209115953014.5,154947376345702.5,38.83
0.01,0.5,0.5,50.0,0.6,0.9918,0.44,0.4082,0.0228,0.1883,0.1937,12615685745029.629,158166588307458.78,158619499023588.47,100.38
0.01,0.25,0.75,25.0,0.15,0.9305,0.4196,0.371,0.0663,0.1917,0.1997,41380658645960.8,152656250224470.22,153143965868543.94,51.92
100.0,0.25,0.25,100.0,0.15,0.1208,0.1209,0.1208,0.236,0.2359,0.2361,264688529964514.25,264758776428524.62,264987781029579.4,19.28
100.0,0.25,0.25,50.0,0.9,0.1208,0.1209,0.1208,0.236,0.2359,0.2361,264688529964514.25,264758776428524.62,264987781029579.4,19.33
1.0,0.25,0.75,5.0,0.15,0.5652,0.4812,0.4511,0.1659,0.1812,0.1865,137728727081243.72,152152677239814.94,156576055308654.8,9.12
100.0,0.5,0.25,50.0,0.3,0.1875,0.1905,0.1838,0.2268,0.2264,0.2275,251548582834808.53,251358185532847.47,252316839639535.7,33.16
0.0001,0.75,0.75,50.0,0.15,0.9999,0.4593,0.4182,0.003,0.185,0.192,1424838047811.5696,148872122783912.9,153737385391888.22,160.48
100.0,0.25,0.5,5.0,0.3,0.1006,0.1011,0.1003,0.2387,0.2386,0.2388,268707962607051.38,268693258496532.53,269029987732035.7,7.23
1.0,0.25,0.25,5.0,0.15,0.5406,0.4774,0.4437,0.1706,0.1819,0.1878,145801297603077.12,158636523284023.16,163073502292180.06,4.91
100.0,0.25,0.5,50.0,0.75,0.1006,0.1011,0.1003,0.2387,0.2386,0.2388,268707962607051.38,268693258496532.53,269029987732035.7,31.01
1.0,0.25,0.75,50.0,0.9,0.7104,0.4356,0.4117,0.1354,0.189,0.1931,104032622246687.02,151504879730592.0,153873741581004.53,86.57
0.01,0.25,0.5,10.0,0.3,0.7823,0.4312,0.4031,0.1174,0.1898,0.1945,87832342842287.86,155741844009807.25,155041419404496.62,14.7
0.01,0.75,0.5,100.0,0.75,0.9959,0.4531,0.4365,0.0161,0.1861,0.189,9689013328430.818,156692997324940.28,155732018406364.66,170.82
0.0001,0.5,0.5,5.0,0.9,0.6234,0.4826,0.4525,0.1544,0.181,0.1863,127182709423504.69,153550688217620.53,157401264579204.94,10.47
0.0,0.5,0.25,5.0,0.45,0.6024,0.4795,0.4511,0.1587,0.1815,0.1865,133566255855313.31,158320544479227.38,161453218174279.78,6.17
1.0,0.25,0.25,5.0,0.45,0.5406,0.4774,0.4437,0.1706,0.1819,0.1878,145801297603077.12,158636523284023.16,163073502292180.06,4.86
100.0,0.5,0.5,25.0,0.6,0.2108,0.214,0.2064,0.2236,0.2231,0.2243,246245510696329.47,246069252490766.53,247231339372024.72,50.32
100.0,0.25,0.25,100.0,0.9,0.1208,0.1209,0.1208,0.236,0.2359,0.2361,264688529964514.25,264758776428524.62,264987781029579.4,19.32
100.0,0.75,0.25,10.0,0.75,0.2562,0.2602,0.2496,0.217,0.2164,0.2181,235907390219838.1,235793823495493.3,237230134526809.44,13.6
0.01,0.5,0.75,100.0,0.75,0.9932,0.4463,0.4179,0.0207,0.1872,0.1921,11433543454595.562,152243742259542.4,154262395429069.12,224.88
0.0,0.5,0.5,50.0,0.3,0.9984,0.4381,0.4034,0.0101,0.1886,0.1945,5411001452772.646,156524663192470.34,157533305409498.12,103.3
100.0,0.5,0.75,50.0,0.75,0.2114,0.2131,0.2051,0.2235,0.2232,0.2245,246164116255733.88,246288785091542.9,247558367845134.1,71.85
100.0,0.25,0.5,25.0,0.75,0.1006,0.1011,0.1003,0.2387,0.2386,0.2388,268707962607051.38,268693258496532.53,269029987732035.7,29.66
0.01,0.5,0.5,100.0,0.45,0.9929,0.4414,0.406,0.0212,0.1881,0.194,11965488644428.258,158379137443109.97,158488136139664.9,162.23
1.0,0.25,0.5,10.0,0.45,0.6342,0.4617,0.4432,0.1522,0.1846,0.1879,122975573156973.98,154264231183089.12,154750809744703.47,14.39
100.0,0.25,0.25,5.0,0.45,0.1208,0.1209,0.1208,0.236,0.2359,0.2361,264688529964514.25,264758776428524.62,264987781029579.4,5.01
0.0001,0.5,0.25,100.0,0.9,0.9987,0.4215,0.3855,0.0091,0.1914,0.1974,5274446267224.962,166732801382812.6,169278236487998.84,77.76
0.0,0.75,0.5,25.0,0.45,0.9995,0.4529,0.4338,0.0055,0.1861,0.1894,2599977733557.0195,155585480855694.12,155181872549643.16,65.58
0.0001,0.5,0.25,5.0,0.6,0.6024,0.4795,0.4511,0.1587,0.1815,0.1865,133566260176440.94,158320548471282.38,161453222443330.0,6.21
0.0,0.25,0.25,5.0,0.3,0.5814,0.4737,0.4348,0.1628,0.1826,0.1893,137749871549349.05,157654580851535.25,163623966768405.44,4.93
0.01,0.5,0.5,10.0,0.75,0.8887,0.4582,0.4265,0.0839,0.1852,0.1907,59011224864940.03,153034401051914.28,156106566177099.72,20.87
1.0,0.75,0.25,100.0,0.15,0.7709,0.4675,0.4327,0.1204,0.1836,0.1896,98646432965085.02,159093135427241.6,162532339834179.62,98.96
1.0,0.25,0.5,50.0,0.45,0.6986,0.4506,0.4213,0.1382,0.1865,0.1915,108328611515325.72,151774150569465.3,153824168083019.94,67.04
0.0,0.25,0.5,25.0,0.6,0.9325,0.3989,0.3831,0.0654,0.1951,0.1977,41498580211063.4,154200502122897.5,155911363325709.06,38.42
0.0001,0.25,0.75,50.0,0.9,0.9614,0.3984,0.3528,0.0495,0.1952,0.2025,31123771969225.445,151215259678656.38,154882333792842.3,92.25
1.0,0.25,0.75,5.0,0.75,0.5652,0.4812,0.4511,0.1659,0.1812,0.1865,137728727081243.72,152152677239814.94,156576055308654.8,9.1
100.0,0.5,0.5,50.0,0.15,0.2108,0.214,0.2064,0.2236,0.2231,0.2243,246245510696329.47,246069252490766.53,247231339372024.72,54.19
100.0,0.25,0.5,10.0,0.75,0.1006,0.1011,0.1003,0.2387,0.2386,0.2388,268707962607051.38,268693258496532.53,269029987732035.7,15.96
0.0,0.25,0.25,50.0,0.75,0.9649,0.3769,0.3564,0.0471,0.1986,0.202,30802449317251.63,163135681365636.72,163449236571246.72,44.93
1.0,0.75,0.75,5.0,0.3,0.5935,0.4924,0.4609,0.1604,0.1793,0.1849,133139982278174.69,150870677164676.22,154415509472074.66,12.49
1.0,0.5,0.5,25.0,0.45,0.7395,0.4781,0.4406,0.1284,0.1818,0.1883,102368578874519.31,150777033126203.66,155935839228804.88,50.2
1.0,0.5,0.25,10.0,0.3,0.6613,0.4752,0.4413,0.1465,0.1823,0.1882,121667973650618.6,157574278744762.66,161581181743699.97,12.33
1.0,0.5,0.5,25.0,0.75,0.7395,0.4781,0.4406,0.1284,0.1818,0.1883,102368578874519.31,150777033126203.66,155935839228804.88,51.39
100.0,0.25,0.5,10.0,0.45,0.1006,0.1011,0.1003,0.2387,0.2386,0.2388,268707962607051.38,268693258496532.53,269029987732035.7,15.99
1.0,0.5,0.75,50.0,0.15,0.7744,0.4726,0.4406,0.1195,0.1827,0.1883,92824441299718.42,149292775901971.28,151017483767710.97,124.51
0.0001,0.5,0.75,50.0,0.6,0.9981,0.4467,0.4236,0.0108,0.1872,0.1912,5651836812230.509,151407093496534.34,152354944579828.4,145.13
100.0,0.5,0.75,25.0,0.75,0.2114,0.2131,0.2051,0.2235,0.2232,0.2245,246164116255733.88,246288785091542.9,247558367845134.1,66.2
1.0,0.75,0.25,5.0,0.6,0.5685,0.4908,0.452,0.1653,0.1796,0.1864,140703148279388.36,156689979845487.56,160491849575354.94,6.08
0.01,0.5,0.5,50.0,0.3,0.9918,0.44,0.4082,0.0228,0.1883,0.1937,12615685745029.629,158166588307458.78,158619499023588.47,100.14
1.0,0.5,0.5,50.0,0.9,0.7642,0.4738,0.436,0.1222,0.1825,0.1891,96433433002728.9,149396086867965.22,154916987308475.06,93.85
100.0,0.25,0.75,50.0,0.6,0.1006,0.1013,0.1003,0.2387,0.2386,0.2388,268630433233457.3,268572934904264.84,268992416426543.47,39.07
100.0,0.5,0.25,100.0,0.9,0.1875,0.1905,0.1838,0.2268,0.2264,0.2275,251548582834808.53,251358185532847.47,252316839639535.7,32.96
0.0,0.75,0.25,25.0,0.15,0.9995,0.4287,0.3968,0.0055,0.1902,0.1955,2603003979498.747,169799880788245.8,174419816210345.22,36.18
0.01,0.5,0.25,50.0,0.45,0.9906,0.4139,0.3799,0.0244,0.1927,0.1983,13506933842983.092,170411340344633.4,171811595498459.78,57.33
0.01,0.5,0.25,5.0,0.15,0.6017,0.4811,0.4534,0.1588,0.1813,0.1861,133662798469498.66,158050557505002.53,161220398329476.25,6.15
100.0,0.75,0.25,50.0,0.75,0.2562,0.2602,0.2496,0.217,0.2164,0.2181,235907390219838.1,235793823495493.3,237230134526809.44,41.0
100.0,0.75,0.25,50.0,0.15,0.2562,0.2602,0.2496,0.217,0.2164,0.2181,235907390219838.1,235793823495493.3,237230134526809.44,41.14
1.0,0.75,0.25,25.0,0.3,0.7454,0.4682,0.4326,0.127,0.1835,0.1896,104894384377585.44,159470098451987.16,162972291694858.1,32.4
0.0001,0.5,0.75,10.0,0.45,0.8921,0.4584,0.4323,0.0827,0.1852,0.1897,57290709626212.05,150891190203207.88,153186986071663.47,28.08
100.0,0.25,0.5,100.0,0.45,0.1006,0.1011,0.1003,0.2387,0.2386,0.2388,268707962607051.38,268693258496532.53,269029987732035.7,29.59
100.0,0.5,0.25,25.0,0.3,0.1875,0.1905,0.1838,0.2268,0.2264,0.2275,251548582834808.53,251358185532847.47,252316839639535.7,29.76
100.0,0.5,0.5,25.0,0.75,0.2108,0.214,0.2064,0.2236,0.2231,0.2243,246245510696329.47,246069252490766.53,247231339372024.72,50.18
1.0,0.25,0.25,10.0,0.6,0.6083,0.4643,0.4358,0.1575,0.1842,0.1891,130626112654205.56,157764543443082.44,160095550024860.38,9.47
1.0,0.5,0.5,25.0,0.6,0.7395,0.4781,0.4406,0.1284,0.1818,0.1883,102368578874519.31,150777033126203.66,155935839228804.88,50.04
1.0,0.5,0.5,100.0,0.3,0.7722,0.4705,0.4388,0.1201,0.1831,0.1886,94521899212245.02,149826135650383.38,154215653295384.66,165.02
100.0,0.25,0.25,25.0,0.3,0.1208,0.1209,0.1208,0.236,0.2359,0.2361,264688529964514.25,264758776428524.62,264987781029579.4,19.09
100.0,0.25,0.75,100.0,0.45,0.1006,0.1013,0.1003,0.2387,0.2386,0.2388,268630433233457.3,268572934904264.84,268992416426543.47,39.57
100.0,0.75,0.25,25.0,0.75,0.2562,0.2602,0.2496,0.217,0.2164,0.2181,235907390219838.1,235793823495493.3,237230134526809.44,33.62
100.0,0.75,0.25,50.0,0.9,0.2562,0.2602,0.2496,0.217,0.2164,0.2181,235907390219838.1,235793823495493.3,237230134526809.44,41.53
100.0,0.5,0.5,10.0,0.15,0.2108,0.214,0.2064,0.2236,0.2231,0.2243,246245510696329.47,246069252490766.53,247231339372024.72,21.73
100.0,0.25,0.5,5.0,0.45,0.1006,0.1011,0.1003,0.2387,0.2386,0.2388,268707962607051.38,268693258496532.53,269029987732035.7,7.24
100.0,0.5,0.75,25.0,0.3,0.2114,0.2131,0.2051,0.2235,0.2232,0.2245,246164116255733.88,246288785091542.9,247558367845134.1,67.76
0.01,0.25,0.25,50.0,0.45,0.9554,0.3887,0.3422,0.0531,0.1967,0.2042,32906175958367.5,161227204863151.88,165337953753267.78,44.28
0.0,0.25,0.75,100.0,0.75,0.9692,0.3866,0.3675,0.0441,0.1971,0.2002,28244562117860.188,153923948006495.6,154009680689969.3,156.16
0.0,0.5,0.75,50.0,0.15,0.998,0.4496,0.4152,0.0114,0.1867,0.1925,5793043370513.76,150077403712371.25,152740605066761.34,143.8
0.0,0.25,0.5,100.0,0.9,0.9693,0.3998,0.3594,0.0441,0.1949,0.2015,28683017177647.71,154751262740053.66,158145666405921.9,116.56
100.0,0.25,0.75,100.0,0.9,0.1006,0.1013,0.1003,0.2387,0.2386,0.2388,268630433233457.3,268572934904264.84,268992416426543.47,39.38
100.0,0.75,0.5,25.0,0.15,0.2528,0.2572,0.2443,0.2175,0.2169,0.2189,237099793718835.7,236943792732701.7,238843116827900.0,60.16
100.0,0.25,0.5,25.0,0.9,0.1006,0.1011,0.1003,0.2387,0.2386,0.2388,268707962607051.38,268693258496532.53,269029987732035.7,29.59
1.0,0.5,0.5,100.0,0.9,0.7722,0.4705,0.4388,0.1201,0.1831,0.1886,94521899212245.02,149826135650383.38,154215653295384.66,163.56
0.0,0.25,0.75,10.0,0.3,0.7964,0.4277,0.3944,0.1136,0.1904,0.1959,83075519124573.86,154323088318187.12,154517704600181.75,19.61
0.01,0.25,0.75,10.0,0.3,0.7975,0.4255,0.3909,0.1132,0.1907,0.1965,83087521857873.81,155657000668285.06,156652818115030.78,19.67
0.01,0.5,0.75,50.0,0.75,0.9918,0.4505,0.4238,0.0228,0.1865,0.1911,12421737789901.207,151728468591921.03,153657494991514.2,139.14
100.0,0.25,0.5,25.0,0.45,0.1006,0.1011,0.1003,0.2387,0.2386,0.2388,268707962607051.38,268693258496532.53,269029987732035.7,29.61
0.0001,0.25,0.25,50.0,0.15,0.9639,0.3899,0.3515,0.0478,0.1965,0.2028,31345187399260.2,158456700833816.06,163112294818529.4,44.53
1.0,0.5,0.5,100.0,0.75,0.7722,0.4705,0.4388,0.1201,0.1831,0.1886,94521899212245.02,149826135650383.38,154215653295384.66,164.81
0.01,0.75,0.5,100.0,0.45,0.9959,0.4531,0.4365,0.0161,0.1861,0.189,9689013328430.818,156692997324940.28,155732018406364.66,171.68
0.0001,0.75,0.5,50.0,0.9,0.9999,0.4521,0.4326,0.0031,0.1863,0.1896,1491038699670.4836,156039634528131.4,156137994985411.03,114.39
1.0,0.5,0.5,100.0,0.6,0.7722,0.4705,0.4388,0.1201,0.1831,0.1886,94521899212245.02,149826135650383.38,154215653295384.66,163.85
100.0,0.25,0.5,25.0,0.15,0.1006,0.1011,0.1003,0.2387,0.2386,0.2388,268707962607051.38,268693258496532.53,269029987732035.7,30.92
0.0,0.75,0.25,5.0,0.9,0.612,0.4883,0.4525,0.1568,0.18,0.1863,131637126371456.8,156299245380215.28,159417653369998.53,6.21
1.0,0.25,0.25,50.0,0.45,0.6699,0.449,0.419,0.1446,0.1868,0.1919,116383797365340.88,156166718892365.2,160063230059883.88,43.15
1.0,0.5,0.75,10.0,0.75,0.7,0.4868,0.4497,0.1378,0.1803,0.1868,109140470059119.6,149461015041677.9,152707981529926.06,26.79
0.0001,0.25,0.25,25.0,0.9,0.9352,0.3933,0.3678,0.0641,0.196,0.2002,41489155176382.52,161401222820022.8,162802514655653.84,24.52
1.0,0.5,0.25,5.0,0.6,0.5603,0.4878,0.4547,0.1669,0.1801,0.1859,142360981892686.47,158177751439048.97,161648875422165.38,6.16
0.0001,0.25,0.5,50.0,0.15,0.963,0.4032,0.3626,0.0484,0.1944,0.201,30743971146588.09,155454622396613.56,158016695401202.5,71.39
0.01,0.75,0.75,25.0,0.6,0.9932,0.4559,0.427,0.0208,0.1856,0.1906,11884298626908.402,150882000961358.78,153192654204699.78,83.61
0.0001,0.25,0.75,25.0,0.9,0.9289,0.4118,0.3597,0.0671,0.193,0.2015,42316509858084.016,148657557569757.56,157190309855930.6,50.5
1.0,0.25,0.75,100.0,0.45,0.7138,0.4411,0.4183,0.1346,0.1881,0.192,104208283964996.16,150674088370770.38,154382119913216.56,148.81
0.01,0.5,0.75,25.0,0.3,0.9864,0.4515,0.4161,0.0294,0.1864,0.1924,16229925428357.584,150699319897342.28,153821529809980.75,79.85
0.0001,0.5,0.5,50.0,0.6,0.9983,0.4384,0.4101,0.0103,0.1886,0.1934,5500576907194.702,157063703226871.0,157876201124816.66,103.6
0.01,0.75,0.5,50.0,0.75,0.9952,0.4532,0.4356,0.0174,0.1861,0.1891,10347670921196.4,156835939719388.6,155967545086365.03,104.78
0.0001,0.5,0.5,50.0,0.75,0.9983,0.4384,0.4101,0.0103,0.1886,0.1934,5500576907194.702,157063703226871.0,157876201124816.66,103.52
0.0001,0.25,0.75,5.0,0.15,0.6009,0.4805,0.4433,0.159,0.1814,0.1879,130979747602141.16,151605822288985.06,158365297307685.88,9.19
0.0001,0.75,0.75,10.0,0.15,0.9248,0.4663,0.439,0.069,0.1838,0.1886,46267620752540.76,150696249296339.47,151425860022276.62,29.46
100.0,0.25,0.75,5.0,0.3,0.1006,0.1013,0.1003,0.2387,0.2386,0.2388,268630433233457.3,268572934904264.84,268992416426543.47,9.32
100.0,0.5,0.25,100.0,0.3,0.1875,0.1905,0.1838,0.2268,0.2264,0.2275,251548582834808.53,251358185532847.47,252316839639535.7,33.26
0.0,0.5,0.25,10.0,0.45,0.8693,0.4506,0.4249,0.091,0.1865,0.1909,66589683518527.59,158320510229210.03,161736338542376.75,12.69
0.0001,0.25,0.5,100.0,0.75,0.9685,0.3957,0.3725,0.0447,0.1956,0.1994,28834467270693.14,157611596081758.44,157646727428188.9,118.56
0.0,0.25,0.25,100.0,0.6,0.9674,0.3815,0.3453,0.0455,0.1979,0.2037,30079712295368.062,160359202953805.8,165011204448793.8,64.58
0.01,0.5,0.5,10.0,0.9,0.8887,0.4582,0.4265,0.0839,0.1852,0.1907,59011224864940.03,153034401051914.28,156106566177099.72,20.85
1.0,0.25,0.25,50.0,0.6,0.6699,0.449,0.419,0.1446,0.1868,0.1919,116383797365340.88,156166718892365.2,160063230059883.88,43.1
100.0,0.5,0.75,10.0,0.15,0.2114,0.2131,0.2051,0.2235,0.2232,0.2245,246164116255733.88,246288785091542.9,247558367845134.1,29.38
1.0,0.25,0.5,50.0,0.75,0.6986,0.4506,0.4213,0.1382,0.1865,0.1915,108328611515325.72,151774150569465.3,153824168083019.94,68.31
1.0,0.75,0.25,10.0,0.3,0.6848,0.4806,0.4424,0.1413,0.1814,0.188,117497924925110.8,157527739745592.4,161540584786706.78,12.29
0.01,0.75,0.25,100.0,0.9,0.995,0.4258,0.4026,0.0178,0.1907,0.1946,10674236453778.486,171161294601826.53,174247449795379.16,94.11
0.0001,0.25,0.5,50.0,0.75,0.963,0.4032,0.3626,0.0484,0.1944,0.201,30743971146588.09,155454622396613.56,158016695401202.5,71.23
0.0,0.75,0.75,25.0,0.15,0.9995,0.4607,0.4268,0.0056,0.1848,0.1906,2573565518895.002,149182064210375.94,151371691739479.25,91.4
0.01,0.75,0.5,25.0,0.15,0.993,0.4534,0.4368,0.021,0.186,0.1889,12220742007472.115,156304894274135.0,155862141842706.2,58.2
0.0001,0.25,0.75,10.0,0.9,0.7965,0.4373,0.3956,0.1135,0.1888,0.1957,83238408011321.8,154801787518835.72,157578810835664.72,19.51
0.0001,0.5,0.25,10.0,0.15,0.8676,0.4499,0.413,0.0916,0.1866,0.1929,67040497392645.68,159106291199134.28,164625276540682.7,12.63
1.0,0.25,0.5,5.0,0.3,0.5575,0.4817,0.4526,0.1674,0.1812,0.1863,140349427622599.84,154746990878288.06,158109609689812.4,7.03
0.0001,0.75,0.5,100.0,0.15,0.9999,0.4524,0.431,0.0029,0.1862,0.1899,1401389270268.3318,156041029418683.12,156205509318351.56,147.97
1.0,0.75,0.5,10.0,0.6,0.7133,0.4861,0.4502,0.1348,0.1804,0.1867,109149587953108.86,151826660594175.3,156064403841136.72,19.89
0.0001,0.5,0.5,10.0,0.75,0.8886,0.4539,0.4182,0.084,0.186,0.192,59649085470548.79,154937994484818.6,157868670156896.1,20.82
0.0,0.5,0.25,100.0,0.45,0.9988,0.423,0.3842,0.0087,0.1911,0.1976,5205012072085.012,165808623819858.66,169887106127985.25,77.55
100.0,0.25,0.5,5.0,0.9,0.1006,0.1011,0.1003,0.2387,0.2386,0.2388,268707962607051.38,268693258496532.53,269029987732035.7,7.2
0.0,0.5,0.25,10.0,0.3,0.8693,0.4506,0.4249,0.091,0.1865,0.1909,66589683518527.59,158320510229210.03,161736338542376.75,12.64
0.01,0.25,0.75,10.0,0.75,0.7975,0.4255,0.3909,0.1132,0.1907,0.1965,83087521857873.81,155657000668285.06,156652818115030.78,20.74
0.01,0.25,0.75,10.0,0.15,0.7975,0.4255,0.3909,0.1132,0.1907,0.1965,83087521857873.81,155657000668285.06,156652818115030.78,19.57
